A: 	ja nou staan die weer bij mij een beetje een lastig figuur maar er liggen dat komme en daarbovenop liggen een bal 
A: 	en daarvoor staan een paal 
A: 	en aan de beide kant zijn twee uitsteeksel 
B: 	ja 
B: 	oké die hebben ik vinden 
B: 	daarvoor staan zo'n heel lang paal toch 
A: 	ja 
B: 	en dan twee uitsteeksel en één zijn lang dan die ander 
A: 	ja ja 
B: 	oké 
B: 	dan zeggen ik D 
A: 	en hij staan eigenlijk de onderste rij 
B: 	ja 
A: 	en dan van hij staan eigenlijk net iets link van het midden dus als je het midden hebben staan die daar net één stap link van 
B: 	en helemaal onderaan toch 
A: 	helemaal onderaan 
B: 	ja dan staan die op dezelfde plek 
B: 	oké volgens mij hebben we deze al hebben 
B: 	dit zijn het komme en er zitten dus weer zo'n ei liggen er achterop met een groot balk hiervoor en die twee armp 
A: 	ja 
B: 	waar één armp lang zijn dan die ander 
A: 	ja 
A: 	hoe hebben je hem noemen bij test 
B: 	volgens mij hebben ik dat iets met die armpjes zeggen of zo 
A: 	oké 
A: 	ja 
A: 	maar inderdaad die bal erbovenop en die staaf ervoor 
B: 	ja 
A: 	ja 
B: 	ik hebben ook heel erg omschrijven als in groot balk voor 
A: 	oké 
B: 	of armp omheen 
A: 	oké 
A: 	ja ik hebben er wel een waterpomp van maken 
A: 	maar het zijn vijftien 
B: 	hij staan helemaal rechts onderin 
A: 	nee daar staan die bij mij niet hij staan in midden van het midden 
A: 	dus niet dezelfde plek 
A: 	dit zijn ja de lang staaf voor recht staaf en de bal bovenop 
A: 	en twee armp zo 
B: 	dit zijn L 
A: 	en deze staat er zullen er net wel net niet één boven kunnen 
A: 	of sorry eerst al aan de linkerkant van het scherm 
A: 	net één positie links van het midden 
A: 	en bovenin ja zullen er dus net wel net niet één tussen kunnen 
A: 	twee drie vinger passen ertussen 
B: 	net echt wel twee ? bij mij zijn het echt wel drie dan 
A: 	ja drie dan zitten ik wel wat tegen de bol aan 
B: 	ja 
B: 	ja oké dat zijn bij mij ook wel zo 
B: 	dit zijn met die armpjes 
A: 	die twee 
B: 	ja en die balk voor 
B: 	ei bovenop 
A: 	ja ja ik zien hem nu staan 
A: 	nummer zes 
B: 	hij staan als je het midden van het scherm hebben aan de rechterkant en dan precies in het midden van dat scherm 
A: 	ja 
A: 	en dan precies ook in de lengte ook 
B: 	nou nee niet precies 
B: 	in de hoogte wel 
B: 	maar er kunnen aan de rechterkant kunnen er nog één dus naar het echt naar de zijkant van het scherm nog één en naar het midden nog twee 
A: 	oké 
B: 	denken ik 
A: 	ja om bij mij staan die in de hoogte niet precies in het midden staan die eigenlijk net eronder 
B: 	nee hier staan die wel in het midden 
A: 	dus dan zijn het niet dezelfde 
A: 	dit zijn die bal en die staaf voor en die twee arm opzij 
B: 	armp dat zijn J 
A: 	en die staan in de staat aan de rechterkant van het scherm 
A: 	in de hoogte staan die mooi in het midden 
B: 	ja 
A: 	en de breedte neigen die net iets naar de zijkant maar ook wel nog wel in het midden 
B: 	neigen die naar de naar de zijkant van het scherm 
A: 	ja 
B: 	oké dan staan die op dezelfde plek 
B: 	dit zijn met die armp en die balk voor en dat ei bovenop 
A: 	ja 
A: 	dat zijn nummer drie 
B: 	hij staan helemaal rechts van het scherm er kunnen er rechts kunnen maar twee vinger en dan staan die in de hoogte net iets onder het midden 
A: 	maar net iets onder het midden 
B: 	net iets 
A: 	ja 
A: 	ja 
