B: 	oké 
B: 	deze hebben een vierkant aan de zijkant van zijn hoofd 
A: 	ja 
B: 	en een toefje op zijn hoofd en twee van die blken kijker 
A: 	ja 
A: 	ja ja ja 
A: 	ja 
A: 	dat zijn nummer twee 
B: 	hij zitten helemaal onderin en dan zijn die de twee van link 
A: 	oké en bij mij zitten die niet helemaal onderin en ook die zitten niet helemaal links dus dat zijn niet dezelfde nee 
B: 	nee 
B: 	oké 
A: 	ik hebben nu weer wel die met dat vierkantje aan de voorkant 
A: 	en met dat schoorsteen waar ik het over hebben 
B: 	ja 
B: 	en dat schoorsteen en twee van die spriet 
A: 	ja 
B: 	oké dat zijn G 
A: 	bij mij zitten die rond het midden maar dan links onder het midden 
B: 	ja 
B: 	nog iets veel naar onder misschien dan het midden 
A: 	ja 
A: 	ja dat wel ja 
B: 	oké 
B: 	ja dan denken ik dezelfde plek 
A: 	ja 
A: 	denken het ook 
B: 	oké 
B: 	oké 
B: 	ik hebben weer die met het schoorsteen en het het vierkant voor zijn aan de zijkant 
A: 	en die twee blok allemaal 
B: 	ja en de twee blok 
A: 	ja 
A: 	dat zijn negen 
B: 	en hij zitten bij mij denken ik iets veel van het midden 
B: 	link bedoelen ik 
A: 	ja 
B: 	iets veel aan de linkerkant 
B: 	en dan past er nog één onder 
A: 	ja 
A: 	ik hebben er ook nog één onder staan 
B: 	oké 
A: 	dus die ja die passen 
B: 	oké 
A: 	ja 
A: 	ik hebben dat ook ja 
A: 	ik hebben dat ding met dat schoorsteen en dat vierkant ding aan de voorkant van zijn gezicht 
B: 	die 
B: 	ja dat zijn D 
A: 	bij mij zitten die weer een beetje richting het midden 
A: 	maar dan linksboven ervan 
A: 	als je zeggen maar het midden hebben dan zitten die eigenlijk zo precies daar zo beetje zo in die hoek van Linksboven 
B: 	ja 
B: 	ik denken dat die bij mij echt precies in het midden zitten maar hij zitten er wel iets boven 
B: 	maar hij zitten op de middellijn 
B: 	alleen dan ja misschien iets naar links maar niet heel erg denken ik 
A: 	nee bij mij ook niet supererg naar links horen 
B: 	oké weer op de schaal van nul tot tien waar ongeveer 
A: 	dat zullen ik 
A: 	ja ik denken vier en een half 
A: 	vijf 
B: 	ja oké dan zijn dat denken ik wel hetzelfde en hij zitten op de middellijn ook 
A: 	ja 
B: 	ja oké 
B: 	ik denken dan wel hetzelfde 
A: 	ja denken het ook wel 
B: 	oké 
A: 	ik weten niet hoe moeilijk ze het maken maar 
B: 	nee 
B: 	ik hebben die met het schoorsteen en het vierkant ervoor 
A: 	ja oké ja dat zijn één 
B: 	en hij zitten ik denken rechts van de middellijn 
B: 	ertegenaan zeggen maar 
B: 	en dan ook op de middellijn misschien er iets onder 
B: 	hij zitten op dezelfde hoogte nou iets hoog dan de Eiffeltoren 
A: 	nee bij mij zitten die echt hoog dan dat 
A: 	en ik kunnen me ook niet helemaal vinden wat wat jij zeggen met die middellijn dus bij mij zitten die echt een stuk veel naar rechts 
A: 	ik denken dat deze ook te hoogte een beetje van die bank zitten bij jou of niet 
B: 	nee hij zitten hij zitten er rechts van de 
A: 	van de bank 
B: 	van de bank 
A: 	ja 
B: 	en onder de bank recht onder de bank 
B: 	ik bedoelen zeggen maar onder de bank 
A: 	ja 
B: 	en dan er rechts er iets rechts van 
A: 	ja bij mij zitten die een stuk veel naar maar die bank zijn sowieso al fout 
A: 	maar bij mij zitten die wel echt ja de de de bovenkant van die Eiffeltoren raken de onderkant van deze als ik het de lijn zullen doortrekken 
