B: 	dit vinden ik een soort van tafel die erdoorheen zijn steken 
A: 	ik hebben volgens mij precies hetzelfde inderdaad en dan zitten er nog een soort van ander uithengsel ook 
B: 	ding en er zitten een bak bovenop 
A: 	en er zitten ja er zitten een bak ja 
B: 	ja 
A: 	ja ik hebben precies hetzelfde inderdaad zestien 
B: 	ja die staan ongeveer in het midden van rechts 
A: 	bij mij staan die in de hoek van rechts 
B: 	oké dat zijn anders 
A: 	het veel in de hoek boven van rechts in ieder geval 
B: 	nee dat zijn anders 
A: 	dan zijn het hem niet 
A: 	dit zijn de tafel die door het komme heen gaan 
A: 	met met ook met een bak erop 
B: 	met een bak erop P 
A: 	hij zitten bij mij eigenlijk gewoon in het midden van de rechterhelft 
B: 	helemaal in het midden 
A: 	ja 
B: 	ja 
B: 	oké bij mij ook 
B: 	dit zijn de tafel die erdoorheen steken de groot tafel met een bak erbovenop 
A: 	oké ja dat zijn veertien 
B: 	in het midden helemaal onderaan 
A: 	ja hebben ik ook 
A: 	dit zijn de tafel die erdoorheen zitten met het komme er ook op en dat dinge aan de zijkant nog 
B: 	oké 
B: 	N 
A: 	hij zitten ja een beetje in het midden van het midden van links maar dan nog iets naar boven 
B: 	naar boven ja precies 
B: 	dit zijn de groot tafel met een bak erop 
A: 	ja met met ja ja die tien 
B: 	en die staan bij mij ongeveer op het midden van of ongeveer op de scheidslijn en dan net iets bovenaan 
A: 	ja 
A: 	ja dat hebben ik ook 
A: 	dit zijn de tafel met de bakkie erop die in de kom zitten 
B: 	ja 
B: 	d 
B: 	ja 
A: 	hij zitten bij mij vrij veel naar rechts iets naar boven 
A: 	ja dat zijn het eigenlijk 
B: 	bij mij zitten die echt soort van rechtsboven in de hoek 
B: 	maar dat zijn bij jou dan dus niet zo 
A: 	hij zitten wel hij zitten wel rechtsboven maar er zitten nog wel iets boven hij zijn niet het veel hoog of zo 
B: 	nee oké dan zijn dat hem niet 
