A: 	ja dit vinden ik eruitzien als een koffiekop met een bijzettafel erlangs zullen ik maar zeggen een zo'n rond dinget erlangs en dan een raar uitstekend nier die er zo 
B: 	ja 
B: 	welk cijfer hebben die bij jou 
B: 	zijn het hoog cijfer 
A: 	dat ding 
A: 	negen 
B: 	negen 
B: 	oké nee 
B: 	er zijn een spijker in in het handvat ongeveer 
A: 	ja precies ja ja ja 
B: 	ja 
B: 	oké bij mij zijn dat L 
A: 	en die staan bij mij helemaal onderin en dan op het midden van link 
B: 	onderin 
B: 	nee hij staan bij mij helemaal links en dan in het midden van onderin 
B: 	staan anders 
A: 	hoe bedoelen je 
B: 	helemaal aan de linkerkant zitten die bij mij 
A: 	dus helemaal tegen de rand aan van 
B: 	ja 
A: 	nee dan kloppen dat niet 
B: 	oké 
B: 	dit zijn het kop met de bijzet tafel 
A: 	die 
B: 	en met die spijker in het 
A: 	die zeggen maar door met het wacht even je bedoelen die een met dat ding dat Nierdinguitsteeksel waar dan die spijker zo op zitten 
B: 	ja ja 
A: 	oké 
A: 	ja dat zijn nummer zeven 
B: 	hij staan best wel ver naar boven 
B: 	en een beetje naar links 
A: 	lastig 
A: 	ik hebben hem denken ik op de helft van de van het midden 
A: 	en dan maar echt een klein beetje naar boven hij zijn echt maar zo'n 
B: 	oké dan zijn die anders 
A: 	het zijn dus niet heel erg omhoog 
B: 	nou hij zijn best wel ver omhoog er kunnen er denken ik geen veel boven 
A: 	nee bij mij echt wel 
B: 	maar 
B: 	oké 
A: 	dat zijn 
A: 	dit zijn die een met dat bijzettafel en die spijker 
B: 	ah ja C 
A: 	en die staan bij mij iets boven het midden 
A: 	en iets naar rechts 
B: 	nee bij mij staan die onder het midden 
A: 	nee 
B: 	die met de spijker 
A: 	ja 
B: 	en het bijzettafel 
A: 	dat zijn één 
B: 	en hij staan naar links 
B: 	er zullen er nog één link bij kunnen 
B: 	en iets veel naar beneden denken ik 
A: 	ja precies ja hebben ik ook 
A: 	dat bijzettafel met die spijker 
B: 	ja 
B: 	A 
A: 	en dan zo op het midden 
A: 	en dan ik bedoelen ik bedoelen ja qua zo staan die op het midden en dan staan die zo staan die in het midden van link 
B: 	ja dezelfde 
B: 	met de spijker en het bijzettafel 
A: 	nummer dertien 
B: 	daaronder past er nog één 
A: 	nee bij mij passen er wel twee of drie onder 
B: 	oké 
B: 	dan zijn die anders 
