A: 	oké 
A: 	oeh ja ook een soort Pinokkio Pinokko Pinokkio omdat het hebben zo'n pilaar zo opsteken zo naar rechts een beetje uit 
A: 	en hij hebben één of ander heel gek hoed 
A: 	die ja het zijn een soort vierkan die echt in hem zitten alsof het één ja 
B: 	met aan allebei de kant twee blokkentoren 
A: 	ja 
A: 	ja 
B: 	oké dan zijn het M 
A: 	en hij staan een heel klein beetje naar beneden en dan midden links zullen ik zeggen 
B: 	even ruimtelijk inzicht doen 
B: 	en hij staan bij mij wel net iets hoog dan het midden en dan 
A: 	nee hij staan niet hoog dan het midden dat sowieso niet 
B: 	oké nee dan zijn het niet goed dus dan zijn het geel 
A: 	ja 
B: 	ja oké 
B: 	ja dit zijn ja ik zien het als een karatepoppe 
B: 	met aan de voorkant wel nog een soort Pinokkioneus 
A: 	ja 
B: 	die naar rechts gaan 
A: 	ja 
B: 	en aan de onderkant en aan de rechterkant een soort van buigen dinget 
A: 	ja 
A: 	en hij hebben zo'n suf gek hoed op 
B: 	ja 
A: 	ja 
A: 	negen 
A: 	geel ja 
B: 	en dit poppet staan helemaal op de onderste rij 
B: 	en dan een stuk naar links 
A: 	ja zelfde plek 
A: 	dus dat zijn rood 
B: 	ja 
A: 	dit zijn die Karate Kid 
B: 	Karate Kid waar staan Karate Kid 
A: 	met het pinokkioneusje en de twee ding 
B: 	ja 
A: 	ja je weten het oké 
B: 	dat zijn H 
A: 	en hij staan links hij staan midden in het linkerbovenvak ja 
B: 	ja dat kloppen dus rood 
B: 	geel nee wat 
A: 	rood ja sorry rood 
B: 	het kloppen het kloppen dan zijn het rood 
A: 	ja het kloppen rood 
A: 	ja 
B: 	dit zijn Karate Kid poppet met het hoed ook wel 
A: 	elf met de cilinder ja 
B: 	ja 
A: 	elf 
B: 	en deze staat van het midden naar links 
B: 	en dan omhoog 
A: 	ja 
A: 	midden in dat vak ongeveer 
B: 	ja midden in het vak ongeveer 
A: 	ja 
A: 	oké dat zijn rood 
A: 	de Karate Kid 
B: 	karate Kid staan dat zijn D 
A: 	even kijken 
A: 	bijna helemaal naar beneden 
A: 	en halverwege link 
B: 	nee hij staan bij mij staan die zijn het het veel links figuurt 
A: 	nee 
B: 	dan zijn het niet dan zijn het geel 
A: 	dan zijn 
A: 	geel 
B: 	karatepoppe 
A: 	staan die bij jou links 
A: 	ook 
B: 	ja hij staan bij mij helemaal links in het midden 
A: 	veertien 
A: 	in het midden qua hoogte bedoelen je 
B: 	ja qua hoogte 
A: 	nee hij staan bij mij wel iets omlaag 
B: 	nee 
B: 	dat zijn niet hetzelfde denken ik 
A: 	oké 
A: 	geel 
