B: 	oké 
B: 	even kijken 
B: 	deze hebben het ei van voor 
B: 	maar dan niet doorboren 
B: 	en dan ook zo van die drie van die ander klein dinge zo erop en één er link van 
A: 	ja 
A: 	zo'n soort van staart hebben die hier of zo 
B: 	zoiets 
A: 	ja 
A: 	oké dat zijn veertien 
B: 	en bij mij staan die beetje rechts van het midden 
B: 	redelijk onderaan maar toch niet heel ver onderaan 
A: 	bij mij staan die echt best wel erg in het midden 
B: 	hij staan wel redelijk in het midden ja 
A: 	staan er iets zeggen maar staan er één ander plaat best wel links of link daarvan en een klein beetje naar onder 
B: 	ja links en een klein beetje naar beneden 
B: 	ja 
A: 	en dan ja oké 
A: 	dan staan ze wel op dezelfde plek 
B: 	ik denken het wel ja 
A: 	dit zijn dat met dat ei aan de voorkant 
A: 	alleen niet zoveel spannends 
A: 	weer die buttplug 
B: 	het het nietdoorboord ei en nog een ander buttplug ja 
A: 	ja 
A: 	en die wolkenkrabber er zeggen maar bovenop dan 
B: 	ja een miniwolkenkrabber en een gigantisch buttplug 
A: 	ja 
B: 	dus dat zijn N 
A: 	bij mij zijn dat die zijn dat de allerlinker 
B: 	nee ander plek 
B: 	dit zijn weer die met het ei van voor 
B: 	met de gigantisch buttplug en de klein wolkenkrabber 
A: 	die niet doorboren zijn 
B: 	nietdoorboord ei 
A: 	dat zijn negen 
B: 	die zitten bij mij iets hoog van het midden horizontaal en dan naar links helemaal 
A: 	bij mij zijn dat echt de veel Linksboven 
B: 	nee dat zijn niet hetzelfde dan 
A: 	dit zijn weer dat gewoon dat ei op de voorkant 
A: 	en die wolkenkrabber en die buttplug 
B: 	ja dus G 
A: 	en als je in de middel lijn zitten 
B: 	ja boven die middel lijn 
A: 	dan zijn het ja dan ja 
B: 	tik naar links toch en beetje naar beneden 
A: 	ja een beetje naar beneden je hebben er zeggen maar drie die echt in het midden zitten en dan dit zijn dan de middel 
B: 	ja 
B: 	ja 
B: 	ja dat zijn hetzelfde 
B: 	dit zijn die met het ei van voor en de buttplug en de wolkenkrabber erop 
A: 	ja dat zijn vijf 
B: 	en die zitten een stuk rechtsboven van het midden 
A: 	maar het zijn niet degeen die het veel naar rechtsboven zitten of wel 
B: 	nee 
A: 	oké dan zijn het niet hetzelfde 
A: 	dit zijn weer dat ei met die wolkenkrabber erbovenop 
B: 	dus J 
A: 	en zitten zeggen maar rechts in rechtsboven in de hoek 
A: 	maar er zitten er nog wel twee die nog veel in de hoek zitten 
A: 	er zitten zeggen maar 
B: 	nee bij mij zitten die echt veel in het midden in het middel en dan een beetje naar rechts 
B: 	dus dat zijn niet hetzelfde denken ik 
A: 	nee 
