B: 	ik hebben in principe een mokvormig paasding met een cirkel daartegenaan plopken waar dan een soort tui aan zitten aan beide kant zitten 
B: 	van die ruitvormig dinge het 
A: 	ja 
B: 	yes 
A: 	nummer vijf 
B: 	ja 
B: 	prima 
B: 	bij mij als je hem verdeelen het scherm dan zitten die in de onderste kant van de linkerkant en dan zijn het de bovenste als 
B: 	ik hebben er drie 
B: 	en het staan een soort van in een driehoek en dan zijn het de bovenste punt 
A: 	even kijken hoor dus in ieder geval bovenhoek 
B: 	ja 
B: 	van de onderste kant onderste kwart van het scherm 
B: 	als je hem in vier verdeelen het scherm 
A: 	ja 
B: 	dan zitten die in de onderste kant 
A: 	ja 
B: 	en dan bovenaan daar 
A: 	de onderste kant naar boven 
A: 	ja oké hetzelfde 
A: 	dan hebben ik weer de koffiemok die aan de voorkant een soort van plat satelliet hebben 
A: 	en aan de zijkant twee handvat met drie bollet 
B: 	ja 
B: 	zeggen maar ruitvormig dinge toch op een plateau ja dat zijn bij J bij mij 
A: 	ja die 
A: 	ja 
A: 	oké 
A: 	die staan bij mij helemaal rechts onderin 
B: 	ja bij mij ook 
B: 	ik hebben de basisvorm met een plat cirkel 
B: 	en aan weerszijde die drie klein rui en dan staan het op een soort plateau of ja een een bodemp 
B: 	er zitten in principe de enig waarbij er aan weerszijde van de basisvorm drie klein rui zitten 
A: 	ja 
B: 	en dan vooraan zitten een plat cirkel 
A: 	ja 
A: 	ja ja 
A: 	dat zijn nummer elf hier 
B: 	yes 
B: 	en bij mij staan die dan veel richting de horizontalig lijn 
B: 	wel de onderkant van het linkerkwart maar dan wel veel tegen die horizontaal lijn schurken 
B: 	dus veel richting het midden denken 
A: 	en ook een beetje tegen de verticaal lijn aan eigenlijk 
B: 	nou ja er zullen er kunnen nog wel echt een een vorm tussen dan 
A: 	zeggen maar dat die rechts onderin 
A: 	ja 
B: 	ja bij mij wel 
A: 	oké dan zijn dat hier ander 
A: 	dit zijn de mok met twee of handvat aan beide kant die maken zijn van drie bollet 
B: 	ja 
A: 	die 
B: 	en dan een vlakke cirkel toch ? ja dat zijn hetzelfde 
A: 	ja 
A: 	ja 
B: 	P 
A: 	en die staan eigenlijk in het vlak rechtsboven 
B: 	ja 
A: 	en dan naar de verticaal lijn toe een beetje in het midden 
B: 	ja 
B: 	maar er kunnen nog wel iets naast bij jou 
A: 	nee 
B: 	nee dan zijn het 
A: 	nee 
B: 	nee dat zijn niet hetzelfde 
B: 	ik hebben degeen met de plat cirkel voor 
B: 	en dan de ruitvormig uitsteekseltjes aan weerszijde 
A: 	ja 
A: 	nummer negen 
B: 	en bij mij staan die horizontaal lijn vrijwel in het midden bovenaan 
B: 	dus 
A: 	hij gaat niet richting de kruising van die twee lijn of wel 
B: 	ja richting de kruising ja zeggen maar hij zitten als je dan dit zijn de lijn dan zitten de zeggen maar het plaat er een beetje op 
A: 	oké 
A: 	ja 
A: 	dit zijn de mok met de handvaat die drie bollet hebben aan beide kant 
B: 	ah 
B: 	en dan een plat cirkel voor 
A: 	ja 
B: 	yes L 
A: 	en die zitten in het kwadrant linksboven en dan eigenlijk in het midden 
B: 	ja 
A: 	en richting de verticaal lijn 
B: 	ja bij mij zitten die aan de rechterkant van het scherm echt wel op op verticaal en horizontaal lijn dus ik denken dat het iets ander zijn 
A: 	ja 
