B: 	oké 
B: 	er zitten een vlak doorheen 
A: 	ja 
B: 	en er zitten twee dinget bovenaan uit 
A: 	ja en aan de linkerkant opsteken nog iets uit en aan de voorkant 
B: 	ja 
A: 	oké 
A: 	dan zijn het zes 
B: 	oké hij zitten bij mij aan de rechterkant van het scherm 
B: 	helemaal bovenaan maar niet het allerrechtst 
A: 	een beetje naar het midden toe 
B: 	ja een beetje naar het midden toe 
A: 	oké en er zitten er nog één een beetje onder en dan één aan de rechterkant 
B: 	één 
B: 	ja ja 
A: 	ja oké dan zitten die op dezelfde plek 
A: 	dit zijn de met dat vlak erdoorheen 
A: 	en met die twee klein dinge aan de bovenkant 
B: 	ja ja 
B: 	ja dat zijn C 
A: 	en die staan bij mij helemaal rechts dat rij van vijf helemaal bovenaan 
B: 	ja dan staan die op dezelfde plek 
B: 	oké ik hebben diegene met die plaat erdoorheen en dan twee uitsteeksel en nog twee in het midden zeggen maar 
A: 	ja oké 
A: 	dat zijn dertien 
B: 	oké die staan bij mij helemaal Linksboven 
A: 	nee dan staan die niet op dezelfde plek 
B: 	oké 
A: 	ik hebben die met die plaat erdoorheen en die twee klein uitsteekseltjes boven 
B: 	ja 
B: 	ja dat zijn J 
A: 	en die staan bij mij ja in het midden van het scherm onderaan een beetje soort van alleen 
B: 	in zijn één 
B: 	ja 
A: 	ja 
B: 	oké dan staan die op dezelfde plek 
B: 	oké bij mij ik hebben die met de er erdoorheen en dan twee klein uitsteeksel Erboven 
B: 	en zo'n soort van ik vinden het een pijp lijken 
A: 	ja 
A: 	ja dat zijn negen 
B: 	oké 
B: 	als je de twee helemaal rechts hebben 
A: 	ja 
B: 	zijn het de boven 
A: 	oké dan staan die niet op dezelfde plek 
B: 	nee 
A: 	dit zijn die met die plaat erdoorheen en die twee klein dinge bovenop 
B: 	ja dat zijn N 
A: 	en die staan bij mij ja bovenaan in het midden 
B: 	ja 
B: 	ja er zitten er nog één rechts onder nee links onder 
A: 	ja 
B: 	oké 
B: 	dan staan die op dezelfde plek 
