B: 	oké dit zijn een beetje een soort wijnglas hij hebben een poo dat driehoekig zijn en er komen een 
B: 	twisen een soort kaasstengel uit en dan hebben je daar een kop bovenop en boven op het kop staan ook nog een kubus 
B: 	en aan de linkerkant een soort zwaard 
A: 	armp 
B: 	armp 
A: 	ja 
A: 	dat zijn nummer vier 
B: 	oké en deze staat best wel rechtsboven in de hoek 
B: 	en er past eigenlijk precies zo'n rechthoek aan de zeggen maar de rechthoek die je om dit plaat heen kunnen tekenen kunnen je nog een keer recht zetten 
A: 	ja 
B: 	en er zitten een klein beetje ruimte aan de bovenkant nog 
A: 	en de ruimte aan de bovenkant oppasen daar nog een plaat in 
B: 	nee 
B: 	nee echt lang niet 
A: 	oké 
A: 	en de ruimte aan de rechterkant als je zeggen maar die dat plaat zullen kopiëren dan past die er dus nog een keer naast zeggen je 
B: 	perfect 
B: 	ja 
A: 	maar dan zitten die ook echt tegen de rand aan 
B: 	tegen de rand 
A: 	oké dat zijn bij mij niet zo ik hebben denken ik twee keer zoveel ruimte aan beide kant 
A: 	dit zijn weer dat ja een soort wijnglas met de draaien poo 
B: 	ja 
B: 	A 
A: 	en hij staan bij mij aan de linkerkant van het scherm ongeveer in het midden 
B: 	iets boven het midden 
A: 	net iets ja hij staan ja net iets onder het midden eerder 
A: 	en ik zullen zeggen dat er aan de onderkant nog twee figuurt passen en aan de bovenkant twee en een half 
A: 	zeggen maar 
B: 	nee dat zijn bij mij staan die net boven het midden dus dat zullen wel niet dan 
A: 	oké 
B: 	dit zijn het wijnglas 
B: 	met de kubus 
B: 	bovenop 
A: 	ja 
A: 	nummer tien 
B: 	helemaal onderin 
B: 	een kwart vanaf links 
A: 	ja 
A: 	daar staan die bij mij denken ik ook ongeveer 
A: 	passen er bij jou nog twee plaat aan de linkerkant naast 
B: 	ja ik denken het wel 
A: 	ja 
A: 	misschien iets veel 
A: 	ongeveer twee 
B: 	ongeveer twee ja 
A: 	ja 
A: 	zelfde plek 
A: 	oké dit zijn het wijnglas met het draaien poo 
B: 	L 
A: 	en hij staan bijna helemaal rechtsboven in de hoek 
A: 	er zijn voor hetzelfde plaat zullen er precies nog een keer naast passen tot aan de rand denken ik 
A: 	en aan de bovenkant zijn er de ruimte voor een heel klein plaat of misschien net niet 
B: 	ja dat zijn dezelfde plek 
B: 	het wijnglas 
A: 	nummer vier 
B: 	hij staan ja de bovenkant van het wijnglas zijn ongeveer waar het midden zitten 
B: 	qua hoogte 
B: 	en hij zitten net iets link van het midden qua breedte 
A: 	dus hij zitten net iets onder het midden eigenlijk 
B: 	net iets ja 
A: 	ja 
A: 	en te opzicht van 
A: 	net iets naar links ook 
B: 	net iets naar links 
A: 	ja zelfde plek 
A: 	dit zijn het wijnglas 
B: 	F 
A: 	en hij staan net iets boven het midden maar ver net ook net iets rechts van het midden 
B: 	hij staan op een heel ander plek 
