A: 	oké ik gaan weer over dat ei praten 
B: 	ja 
A: 	die zitten nu bovenop 
B: 	het ei zitten erbovenop 
A: 	ja 
B: 	zijn het een langwerpig ei of zijn het echt een ei ei 
A: 	het zijn net zo'n ei als net die neus zijn 
B: 	oké 
A: 	en dan hebben die dan staan die eigenlijk aan een paal 
B: 	oké 
B: 	ja 
A: 	en met twee van die armpjes een beetje zo 
B: 	ja 
B: 	ja en de een gaan iets naar voren 
B: 	de linker 
A: 	ja 
B: 	die gaan zo 
A: 	denken het ja 
A: 	ja 
B: 	ja 
B: 	oké dan weten ik welk je bedoelen 
B: 	dat zijn D 
A: 	bij mij staan die helemaal onderaan 
A: 	in ieder geval 
B: 	ja 
A: 	en dan niet in het midden maar net iets er link van 
B: 	bij mij ook 
B: 	ja ja bij mij ook 
A: 	oké 
B: 	oké dat zijn oké en dan moeten ik nu op de geel drukken toch 
A: 	ja 
B: 	oké 
B: 	oké dit deze hebben weer een een bolle op zijn hoofd 
B: 	en hij hebben een een balk voor zich 
A: 	ja 
B: 	en hij hebben één uitsteeksel zo en één uitsteeksel dat gaan zo 
A: 	dat zijn die een die ik ook wel hebben doen of niet 
A: 	hebben we deze nog niet hebben 
B: 	weten ik niet 
B: 	ja 
A: 	wat ik van waarvan ik zeggen het ei 
B: 	we hebben jij hebben deze denken ik ook al wel hebben 
A: 	ja 
B: 	want ze zitten nu bij mij allemaal weer op een ander plek 
A: 	ja dat hebben ik ook volgens mij ja het vallen me niet eens op 
A: 	ja oké 
B: 	ja maar dus dat ei en die balk en zo 
A: 	ja dan hebben je die balk en dat kop of ja dat dat dat die normaal vorm die zitten net iets hoog dan die balk toch 
B: 	ja 
A: 	ja oké 
A: 	zijn nummer vijftien 
B: 	en hij zitten helemaal rechts en helemaal onderin 
A: 	nee dat hebben ik niet 
A: 	nee 
B: 	oké 
A: 	bij mij zitten die wel helemaal onderop maar niet helemaal rechts 
A: 	dus dat zijn niet dezelfde 
A: 	ik hebben dat ei hoofd 
B: 	ja 
A: 	of dat ei op dat hoofd met die armp die we net ook bespraken die zo tussen de veger zitten en de 
B: 	met die balk 
B: 	die ervoor zitten 
A: 	ja 
B: 	ja oké dat zijn L 
B: 	en die zitten dan ook wel op dezelfde plek toch 
A: 	ja volgens mij wel 
B: 	oké 
A: 	nu zijn jij 
B: 	oké ik hebben die die waar ik de heel tijd over praat met die balk aan de voorkant en die arm die zo gaan 
A: 	ja en dat ei 
B: 	ja 
A: 	ja oké dat zijn zes 
B: 	en hij staan rechts en dan precies op de middellijn denken ik misschien nee wel op de middellijn 
A: 	nee bij mij zitten die echt daaronder 
A: 	ja 
B: 	oké nee dan zijn het niet dezelfde plek 
A: 	dat weten ik zeker ja 
A: 	nee 
A: 	ik hebben die met die armp en dat eihoofd 
B: 	armp en eihoofd 
A: 	dat ei op zijn de bovenkant 
A: 	die jij heel tijd eerder zeggen met die paal ook ervoor 
B: 	die 
B: 	ja 
B: 	ik inzien nu pas eihoofd oké 
B: 	J 
B: 	ik weten eigenlijk niet die hebben voor mij niet echt een vorm of zo 
B: 	maar oké maken niet uit 
A: 	bij mij halen dat allemaal niet uit 
A: 	hij zitten wel echt op de middellijn voor mij van boven naar beneden 
B: 	echt op de middellijn 
A: 	ja 
B: 	van boven ja ja oké ja 
A: 	en ja en sowieso aan de rechterkant 
A: 	ja er past nog sowieso één naast en heel iets veel dan één 
B: 	ja 
B: 	ja 
B: 	ik hebben een best wel breed daarnaast zitten en daarom denken ik alleen één maar ja misschien nog een heel klein stuk ernaast 
A: 	hebben jij die met die pion met die kegel 
B: 	ja 
B: 	ja die kegel hebben ik ernaast zitten 
A: 	ja 
A: 	bij mij zitten die daaronder 
A: 	ja 
B: 	ik denken dan wel dezelfde plek op zich 
A: 	denken het ook wel 
B: 	hij zitten recht boven het gaspedaal maar ik weten niet veel of we het gaspedaal op dezelfde plek hebben 
A: 	rechtsbof 
B: 	nee recht 
B: 	zeggen maar als je het gaspedaal hebben dan 
A: 	nee bij mij zijn het gaspedaal echt veel in het midden 
B: 	oké 
B: 	nee oké ja ik denken dan dat deze op zich wel dezelfde plek zijn 
A: 	nee 
A: 	oké ja 
B: 	ik hebben het het Eihoofdman 
B: 	Eihoofdman 
A: 	ja met die armpjes 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer drie 
B: 	en hij zitten helemaal rechts 
A: 	ja 
B: 	en iets onder de middellijn 
A: 	ja hebben ik ook 
B: 	oké dan denken ik dat het hetzelfde zijn 
A: 	ja 
A: 	denken hij zitten ook een beetje te hoogte van die kip alleen dan net iets er beneden van 
B: 	ja ja 
A: 	ja oké 
