A: 	zo 
A: 	oké dan mogen ik gaan omschrijven 
A: 	nou het zijn wel mooi dat we allebei in koffie en theebeker denken 
A: 	er zijn een een lepel dat mooit schuin hangen 
A: 	en aan de zijkant zitten een bol 
A: 	en door die bol heen zitten een staaf met een soort zuignap aan de rechterkant 
B: 	dan 
B: 	nee ja 
B: 	een soort spijker in de 
B: 	hebben ik het idee maar ik weten welk je bedoelen in ieder geval 
A: 	oké 
B: 	dat zijn letter F 
B: 	oké taak twee waar die staan 
B: 	ja moeten jij dat dan of ik dat dan gaan 
A: 	samen 
A: 	bij mij staan die halverwege het scherm qua hoogte 
A: 	en wat veel 
B: 	nee bij mij staan die sorry ja oké 
A: 	nou ja als die bij jou heel 
B: 	qua hoogte wel inderdaad 
A: 	oké en dan rechts staan er 
B: 	helemaal rechts van het scherm 
B: 	echt als allerrecht 
A: 	éénnarechtste 
B: 	nee dan staan die ergens ander 
A: 	oké 
B: 	dat zijn rood 
A: 	ja 
B: 	koffiekopje met iets door het ei heen klein lepel erbovenuit 
B: 	het zijn een soort spijk of zoals jij het noemen een zuignap 
A: 	ja 
A: 	ja dat zijn duidelijk dat zijn nummer vijf 
B: 	hij staan in ieder geval links van het midden 
B: 	ja als je net ja ik weten niet hoe bij jou alles staan 
A: 	welk kwadrant 
A: 	Linksboven 
B: 	nee ja Linksboven 
A: 	oké 
B: 	ik zeggen nee 
B: 	en iets rechts van het midden van het kwadrant 
A: 	ja 
A: 	schuin boven dat oording waar we net zo lang over 
B: 	schuin boven 
B: 	ja 
A: 	ja daar staan die schuin rechts boven bij mij 
B: 	ja 
A: 	oké kijken dus die durf ik wel hetzelfde te noemen 
A: 	ei aan de voorkant met spijker dan wel zuignap 
B: 	ja 
B: 	en een dinge 
A: 	een lepeltje 
B: 	ja 
B: 	dat zijn letter A 
A: 	en die staan zo goed als in het midden van het kwadrant rechtsonder 
B: 	zowel horizontaal verticaal 
A: 	ja 
B: 	nee 
B: 	daar staan die bij mij niet 
B: 	de ei met het spijker erdoorheen 
A: 	lepeltje Bovenkant 
B: 	ja 
A: 	nummer vijf 
B: 	hij staan iets boven de horizontaal middellijn 
B: 	en 
A: 	tja perspectief hè ? ik zullen hem er bij mij zullen die er midden doorheen gaan maar vooruit 
B: 	ja oké nou het onderste stuk zullen die denken ik wel raken 
B: 	en er zullen tussen verticaal middellijn en dat plaat net niks veel passen of een heel klein plaat 
A: 	hij staan heel dicht tegen de middellijn bij jou 
B: 	nee ja er zullen denken ik nog wel een plek 
A: 	bij mij staan die namelijk behoorlijk rechts 
B: 	veel naar de rechts 
A: 	ja 
B: 	nee dan zullen het de ander kant 
A: 	ei aan de voorkant met spijker en zuignap erdoorheen 
B: 	ja 
A: 	lepel aan de bovenkant 
B: 	dat zijn letter H 
A: 	die staan bij mij laag 
A: 	er zullen weinig veel onder passen 
A: 	er staan bij mij ook niks onder 
A: 	en hij zullen horizontaal staan die ook behoorlijk in het midden 
B: 	horizontaal in het midden 
B: 	dus hij staat niet zo in het midden 
B: 	ja 
B: 	bij de bij de 
A: 	zo in het midden 
B: 	ja 
A: 	gewoon het midden van je scherm laag 
B: 	er zullen nog wel als je als je naar de horizontaal middellijn kijken zullen er nog wel tussen dat plaat en de middellijn iets passen bij jou 
A: 	nee de middellijn zullen hem iets doorkruisen 
B: 	nee 
B: 	deze middellijn 
A: 	ja 
B: 	ja nee dan een ander plek 
B: 	de spijker door het ei 
B: 	zuignap 
A: 	even kijken check 
B: 	ja 
A: 	dat zijn nummer vijftien 
B: 	hij staan rechtsboven het kwadrant 
B: 	en ja je kunnen het wel het midden van het kwadrant noemen denken ik 
B: 	ongeveer 
A: 	midden midden van het kwadrant 
B: 	misschien 
B: 	ja 
A: 	nee 
B: 	nee 
A: 	nee nee 
B: 	absoluut niet bij jou 
A: 	nee echt niet 
A: 	nee 
B: 	ja met mijn inzicht weten je het niet veel 
A: 	nee niet aan jezelf gaan twijfelen 
B: 	hij staan 
A: 	dat zijn niet nodig 
B: 	nee dan 
A: 	nee ik ik hebben wel een plaat in het midden staan maar daar staan die van mij echt schuin onder 
A: 	onderkant van het kop zullen ook het horizontaal lijn raken 
B: 	nee 
B: 	nee dan hebben jij die ander denken ik 
A: 	het zijn nee 
B: 	ja 
