A: 	deze hij hebben een hoofd en twee armp met een staaf 
B: 	ja ja 
B: 	ja 
B: 	dat zijn nummer D 
A: 	en hij staan bij mij links van het scherm maar wel bijna in het midden 
B: 	bijna in het onderaan 
A: 	onderaan ja 
B: 	ja 
B: 	plek D 
B: 	deze hebben zo'n paal op de voorgrond met twee van die armp die een beetje zo en dan zo'n bolle 
A: 	ja die die 
A: 	ja 
B: 	ja 
A: 	vijftien 
B: 	die staan helemaal rechtsonder in de hoek 
A: 	nee 
A: 	het 
B: 	rok 
A: 	nee het ik willen je omarmen 
B: 	met die paal in het 
A: 	ja 
B: 	L 
A: 	en hij staan links 
A: 	ja link in het 
B: 	zeggen maar als je een middellijn hebben en links ook een middellijn staan die in het midden daarvan 
A: 	ja dan staan die in de 
A: 	nee ja ja hij staan tussen midden van links en het midden van het scherm 
B: 	ja en dan bijstaan er er staan zo'n zo'n rij van vier zo en dan de éénnaboven zeggen 
A: 	dus 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	deze zijn die met die omarmen 
A: 	zijn zes 
B: 	en die staan aan de in het midden van de rechterkant zitten er nog één boven en één onder 
A: 	nee 
A: 	dit zijn de hug me 
B: 	omarm me 
B: 	J 
A: 	en hij zijn in het midden van dat rechtervlak 
A: 	en hij worden wel omringen met amme 
B: 	met vier ander zo 
A: 	ja 
B: 	ja 
B: 	dit zijn die met die twee armp 
A: 	met die die wokkel 
B: 	zo 
B: 	nee die die 
A: 	die 
A: 	ja 
A: 	drie 
B: 	hij zitten helemaal rechts zeggen maar veel rechts zitten er niet 
A: 	ja en onder zitten ook niks 
B: 	nee onder zitten ook niks 
A: 	nee 
