B: 	oké ik hebben een rood scherm 
B: 	deze hebben één uitsteeksel 
A: 	aan de bovenkant 
B: 	aan de bovenkant en een soort cilindervormig balk met een met rond zijkant aan de onderkant 
B: 	en een stuk dat uitsteken aan de zijkant 
A: 	wachten een cilindervormig balk 
B: 	ja zeggen maar aan de onderkant zitten een balk 
B: 	maar die zijn rond afronden zeggen maar 
A: 	ja 
A: 	en er zijn ook aan de linkerkant zo'n rond ding wat uitsteken 
B: 	met zo'n 
B: 	ja die 
A: 	en bovenop zitten zo'n lijken op 
B: 	met zo'n er zitten nog een half rond 
A: 	ja 
B: 	en er zitten een pluimp aan 
A: 	ja 
A: 	oké 
B: 	ja 
A: 	ja 
A: 	dan zijn het dertien 
B: 	oké 
B: 	hij staan bij mij in het midden van mijn scherm en dan zitten er één rechts boven en één link onder 
A: 	zitten die een beetje aan de onderkant van het scherm wel 
B: 	ja 
A: 	oké 
B: 	ja hij zitten op de onderste helft maar in de middel strook om het zo maar te zeggen 
A: 	ja 
A: 	ja oké dan denken ik dat die op dezelfde plek zitten 
B: 	oké 
A: 	deze hebben ja zo'n zo'n soort ding onderaan nog die niet zo heel ver uitsteken maar een beetje halfrond of zo 
B: 	ja 
A: 	en één zo'n ding bovenop 
A: 	ook afronden 
A: 	en er zitten nog zo'n rond schijf aan de achterkant 
A: 	en er opsteken nog een ander ding uit aan de linkerkant 
B: 	oké wachten even 
B: 	nu moeten ik even ik ik zijn het even 
B: 	ze staan ook allemaal op een ander plek nu 
A: 	ja 
B: 	oké 
A: 	er zitten iets aan de onderkant en link opsteken iets uit 
B: 	er zitten iets aan de onderkant en link opsteken iets uit 
A: 	maar dat ding staan echt op dat wat aan de onderkant zitten zeggen maar 
A: 	en dat wat link uitsteken zijn best wel rond 
B: 	wat link uitsteken best wel rond 
B: 	oké sorry wachten even nu weten ik het niet veel 
B: 	oké nog één keer 
A: 	er zitten iets aan de onderkant het lijken alsof dat of dat kop zeggen maar daar echt in staat 
B: 	ja ja ja ja hier hebben we de vorig keer ook 
B: 	ja deze hebben zo zo'n soort van balk maar dan met rond zijkant eronder 
A: 	ja 
B: 	en er zitten zo'n fliebel aan de aan de voorkant erop 
A: 	ja 
A: 	en er zitten aan de achterkant nog zo'n rond schijf die je half zien 
B: 	rond ja ja ja oké dan zijn het O 
B: 	sorry 
A: 	dat maken niet uit 
A: 	die staan bij mij eigenlijk best wel in het midden van het scherm 
B: 	daar zitten zo'n ze daar zitten zo'n vierkant aan vormp 
A: 	ja ja 
A: 	en het zijn rechtsboven bij mij 
B: 	welk zijn het 
B: 	oké dan staan die niet op dezelfde plek 
B: 	ze zijn weer veranderen 
A: 	ja 
B: 	oké 
B: 	dit zijn diegene waar we het net zo lang over doen die onderaan zo'n balk hebben en zo'n fliepje aan de voorkant en zo achteraan een schijf 
B: 	en één rond dat uitsteken 
A: 	ja 
A: 	ja oké dat zijn acht 
B: 	oké 
B: 	bij mij staan die helemaal rechtsboven in zijn één 
A: 	ja dan staan die op dezelfde plek 
B: 	oké 
A: 	dit zijn die waar we toestraks zo lang over meedoen met dat ding aan de onderkant 
B: 	ja ja ja en één zo'n fliebel aan de bovenkant 
A: 	en dat flietje bovenop 
B: 	ja ja 
A: 	ja 
A: 	ja 
A: 	en dat rond half rond 
B: 	ja dat zijn C 
A: 	ja 
A: 	en die staan bij mij in die driehoek aan de rechterkant 
B: 	in dat driehoek 
A: 	bovenaan in het midden 
B: 	dan zijn het niet dezelfde plek 
B: 	oké ik hebben die waar we zo lang over meedoen met die afgeron balk en één zo'n fliebel en een rond 
A: 	ja dat zijn zeven 
B: 	oké die staan bij mij aan de linkerkant van het scherm niet helemaal onderaan maar daar een beetje zo schuin rechts boven 
A: 	oké dan staan die niet op dezelfde plek 
A: 	dit zijn die waar we zo lang over meedoen met dat fliebel en 
B: 	ja met die afgeron ding 
B: 	ja 
A: 	ja 
B: 	dat zijn C 
A: 	en die staan bij mij helemaal rechtsboven 
B: 	oké dat zijn niet dezelfde plek 
