A: 	oké ik zullen proberen met het in een gezichtsvorm te praten 
B: 	oké 
A: 	hij hebben een beetje zo'n eineus 
B: 	ja 
A: 	snapan je dan wat ik bedoelen 
B: 	ja 
A: 	oké daar zijn er dus twee van over 
B: 	ja 
A: 	en die van mij hebben dan eigenlijk zo ook zo'n klein sprie als net 
B: 	ja 
A: 	niet dus niet twee 
B: 	en hebben die iets door zijn neus 
A: 	ja 
B: 	ja dan weten ik welk je bedoelen 
A: 	oké 
B: 	oké F 
A: 	hij staan bij mij nu veel naar de rechterkant 
A: 	niet helemaal rechts maar de twee 
B: 	de twee van rechts 
A: 	ja 
B: 	en dan 
A: 	redelijk in het midden ook 
A: 	weer van van boven naar laag zeggen maar 
B: 	oké 
B: 	bij mij staan die ook in het midden van boven naar laag maar hij staan helemaal aan de rechterkant 
A: 	helemaal nee dan zijn ze niet hetzelfde 
B: 	ja dus 
B: 	niet hetzelfde 
A: 	nee want ik hebben echt nog één rechter staan dan dat 
B: 	oké nee dat hebben ik niet 
A: 	nee 
B: 	oké 
B: 	oké dit zijn weer dat poppe met die eineus en daar zitten een ding doorheen 
A: 	ja 
A: 	ja en dat pluimp bovenin 
B: 	ja 
A: 	ja 
A: 	oké dat zijn vijf 
B: 	en hij zitten link 
B: 	maar niet helemaal links en er zitten nog één en een half zitten er denken ik aan de bovenkant boven 
A: 	en hoe ver zitten die links bij jou want bij mij zitten er echt wel drie tussen 
B: 	ja drie en een half 
A: 	ja of misschien wel veel ja 
B: 	nou 
B: 	nee juist weinig denken ik eigenlijk 
B: 	er zitten er sowieso twee tussen 
B: 	maar drie zullen weten ik niet 
A: 	kunnen het twee en een half zijn bij jou 
B: 	ja 
A: 	dat wel ja 
A: 	ja bij mij inderdaad vanaf de bovenkant zitten het ja driekwart denken ik of zo van de boven 
B: 	driekwart 
A: 	ja 
B: 	dus niet een heel bovenste 
A: 	nee 
B: 	bij mij zitten er wel één helemaal boven 
A: 	nee bij mij zijn dat niet 
B: 	staan bij jou die Eiffeltoren staan die Erboven 
A: 	nee daaronder 
A: 	die staan linksonder daarvan 
B: 	oké 
B: 	oeh 
A: 	deze zijn lastig 
B: 	ja 
A: 	ja ik hebben echt één ik hebben rechts daar hebben ik één nog staan rechtsboven 
B: 	ja 
B: 	ja dat hebben ik ook 
A: 	en die maar die die raken elkaar dan zeggen maar als je een lijn zullen doortrekken 
B: 	ja 
B: 	ja 
B: 	maar dan zitten er helemaal als jij helemaal aan de rechterkant zij kijken 
A: 	ja 
B: 	dan zitten er bij mij wel één boven en die zitten er echt boven 
A: 	nee dat hebben ik die hebben ik niet 
B: 	maar zullen je daar op zich nog een dinge boven kunnen zetten of niet 
A: 	ik twijfelen een beetje door dat pluimp wat eruit opsteken 
A: 	bij deze 
B: 	oké 
B: 	de bovenkant zijn lastig en de hij zitten wel links bij jou 
A: 	ja 
B: 	en dan zitten er bij mij zitten er één echt vlak onder en die zijn iets veel naar links 
A: 	ja 
B: 	en dan zitten er ook nog nog één en die zitten daar weer wat boven 
B: 	dit zijn echt moeilijk uitleggen 
A: 	ik hebben ik hebben er echt denken ik drie die ertussen passen 
B: 	nee dat hebben ik niet 
A: 	jij hebben veel 
B: 	bij mij passen er denken ik niet drie tussen 
A: 	jij denken veel twee 
B: 	ja 
B: 	twee en een half denken ik 
A: 	twee en een half 
A: 	oeh dat zijn net zo ja ik denken echt wel drie bij mij 
B: 	oké dan denken ik toch niet dezelfde plek 
A: 	nee 
A: 	oké 
B: 	nee 
A: 	ik hebben weer een eineus 
A: 	maar dan met die balk door zijn neus 
B: 	ja 
B: 	ja 
B: 	oké dat zijn A 
A: 	bij mij zitten die rechts onderin in het rechtsonderinvlak 
A: 	en dan als je die middellijn hebben van boven naar beneden dan zitten die net ja daar zitten die wel eronder 
B: 	dus hij zitten echt onder de middellijn 
A: 	ja 
B: 	nou dan zijn het niet dezelfde plek 
A: 	duidelijk ja 
B: 	oké ik hebben de neus met de ding erdoorheen 
A: 	ja 
A: 	ja en het pluimp 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	en hij zitten zeggen maar boven de boven op de middellijn 
B: 	en ik denken dat er nog één hij zitten best wel naar rechts en er past er denken ik nog één naast 
B: 	en dan zijn die op de middellijn 
A: 	ja 
A: 	ja dat denken ik ook 
A: 	hij zitten inderdaad op de middellijn 
A: 	aan de rechterkant 
B: 	ja 
A: 	ja 
A: 	ik hebben er nog één naast staan 
A: 	ongeveer 
B: 	aan de aan de rechterkant 
A: 	heel 
A: 	ja 
B: 	ik denken dat er bij mij wel twee naast passen op zich 
A: 	ja 
B: 	ja 
A: 	oeh 
B: 	sowieso dat helixding 
A: 	ja 
B: 	die past er sowieso naast 
B: 	en ik hebben ook diegene met die balk ervoor en die twee armp 
A: 	die staan bij mij links daarvan 
A: 	dus die die zitten er helemaal niet bij 
B: 	oké 
A: 	oeh ik weten niet of er bij mij twee naast zullen toepassen 
A: 	stel dat die dat die dat ik het beeldscherm een schaal zijn van nul tot honderd waar zullen die bij jou dan zitten 
B: 	nul tot 
A: 	ja 
B: 	kunnen we dan eerst nul tot tien doen 
A: 	dat zijn ook goed 
B: 	want dan 
B: 	oké dan zitten die denken ik bij zeven denken ik zeven en een half zoiets 
A: 	ja bij mij zeven en een half acht zoiets 
B: 	ja zoiets 
A: 	ja 
A: 	ik denken dat die dan wel hetzelfde zijn 
B: 	ja 
A: 	ja 
A: 	oké 
A: 	ik hebben weer dat eineusding met een zo'n zo'n paal door de neus 
B: 	ja 
B: 	dat zijn H 
A: 	en bij mij hij staan eigenlijk precies onder die van net 
B: 	precies onder die van net 
A: 	ja wel redelijk 
B: 	oké bij mij staan die helemaal onderaan 
B: 	dus dan 
A: 	hij staan bij mij niet helemaal onderaan 
A: 	bij mij ja het het misgaan niet zo ver maar er zullen echt nog wel één bijna één heel eronder kunnen 
A: 	en sowieso staan er bij mij nog wat wat ander figuur die eronderdoor komen nog 
B: 	ja oké bij mij komen er ook nog wel wat onderdoor maar of er een heel onder past dat weten ik niet 
A: 	nee ik denken ik denken een goed half 
B: 	ja een goed half wel 
A: 	ja 
B: 	en dan iets veel naar rechts dan het midden 
A: 	ja hij staan bij mij echt precies onder die ander van die bank net 
B: 	nee hij staat niet onder die ander 
B: 	bij mij oké 
A: 	ja bij jou staan die veel naar rechts daarvan 
B: 	ja 
A: 	ik denken dat die dan niet hetzelfde zijn 
B: 	maar hebben we die bank net hetzelfde of niet 
A: 	ja toch 
B: 	weten ik niet 
A: 	ik hebben die bank echt in het midden en dan 
B: 	ja die bank zijn bij mij ook in het midden 
B: 	maar de neus zitten niet in het midden bij mij 
A: 	welk neus 
B: 	de neus met de balk 
A: 	zo 
A: 	ja nee die ja 
B: 	die zitten die zitten er wel die zitten wel echt aan de rechterkant vinden ik 
A: 	opsteken heel iets uit inderdaad 
B: 	ja 
A: 	te opzicht van die bank 
B: 	Jee hoe moeilijk zijn dit zullen dit dan hetzelfde zijn 
B: 	er past nog een een ruim half oppasen er nog onder toch 
A: 	ja 
B: 	bij jou 
A: 	dat hebben ik ook 
B: 	ja bij mij ook 
B: 	alleen hij staan echt niet recht onder die balk de bank bedoelen ik 
A: 	hoeveel overlappen ze elkaar zeggen maar als je zo'n lijn zullen doortrekken 
B: 	dat bank dat bank komen ja oké dat bank komen tot de helft van het hoofd van de dinge 
A: 	maar bij mij zijn het echt wel veel 
A: 	de de helft 
B: 	ja de helft 
A: 	ja bij mij komen die echt wel tot die hij komen echt wel ver dan die neus zelfs 
B: 	ver dan de neus 
A: 	ja 
B: 	oké 
B: 	nee dat zijn bij mij volgens mij echt niet 
B: 	nee hij komen hij komen net iets ver dan het sprie komen die 
B: 	tot aan het begin van de neus denken ik 
A: 	die bank 
B: 	ja de bank 
A: 	de zijkant van die bank 
A: 	nee maar dan dan zijn het sowieso niet 
A: 	ik denken dat die van jou net iets ver naar rechts staan 
B: 	ja het liggen er alleen aan of wij die bank op dezelfde plek hebben 
A: 	ja 
A: 	ik hebben er rechts van hebben ik er nu zeggen maar grofweg vier 
A: 	die daarnaast 
B: 	van de neus of van de bank 
A: 	van die neus 
B: 	oké vier 
B: 	één twee drie ja bij mij passen er ook wel vier 
A: 	oeh ja 
B: 	daarnaast 
B: 	oeh misschien hebben we deze dan op dezelfde plek alleen die vorig niet 
A: 	nee die bank misschien niet 
B: 	ik denken eigenlijk dat we deze wel op dezelfde plek hebben 
A: 	ja 
B: 	ja ik denken het wel 
A: 	op een schaal van nul tot tien zullen je hem 
B: 	vijf en een half denken ik 
A: 	ja 
A: 	ik ook 
A: 	zullen we hem doen 
B: 	ja 
A: 	zijn wel 
B: 	ja 
B: 	ik hebben de Eineus met de ding erdoorheen 
A: 	ja 
A: 	oké dat zijn nummer vijftien 
B: 	hij zitten één boven de middellijn denken ik 
B: 	en aan de rechterkant past er nog één en een half 
B: 	misschien iets veel 
A: 	bij mij wel veel 
A: 	bij mij passen er echt sowieso wel twee ik zien ik zien ze sowieso al twee daarin staan nog bij mij 
B: 	oké nee dat past bij mij niet 
A: 	nee 
A: 	denken niet op dezelfde plek dan 
B: 	nee 
A: 	nee 
