B: 	rood 
B: 	oké deze dit zijn die trofee die echt op die spiraal staan 
A: 	ja dat zijn een soort man wat aan het dansen zijn wat zo aan het twisten zijn 
B: 	ja ja ja ja en 
A: 	oké 
B: 	dat kunnen er maar één zijn 
A: 	ja 
A: 	dat zijn nummer vier 
B: 	hij staan niet helemaal rechtsboven in de hoek maar er kunnen eigenlijk bijna niks veel tussen 
B: 	dus wel rechtsboven 
A: 	oké bij mij staan die in het midden horizontaal 
A: 	twee naar rechts en één naar boven 
B: 	nee mijn staan wel nog ver naar de hoek 
A: 	oké 
B: 	dus zullen wel een ander positie zijn 
A: 	ja er staan er bij mij nog wel één rechts daarboven nog 
B: 	nee dat zullen hier niet kunnen 
A: 	oké 
A: 	dus dan zijn het niet 
A: 	dit zijn die dansen man 
A: 	met op dat voetstuk 
A: 	met die spiraal 
B: 	ja die op dat op dat driehoekig voetstuk 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij zijn dat A 
B: 	en die staan 
A: 	die staan vanaf het midden twee en een half naar links eigenlijk 
B: 	nee bij mij zijn het helemaal de uiterst links 
B: 	dus dat zijn rood 
B: 	dit zijn de trofee 
B: 	op het voetstuk 
A: 	ja 
A: 	nummer tien 
B: 	het zijn niet midden helemaal of het zijn niet ja nou moeten ik het goed zeggen 
B: 	in het midden helemaal onder staan er één 
B: 	en dan één naar links 
A: 	ja en dan staan er nog één aan de linkerkant nog 
B: 	ja 
A: 	ja 
B: 	maar het zijn de middel van die drie 
A: 	de trofee 
A: 	met die spiraal 
B: 	yes 
B: 	dat zijn L 
A: 	en die staan helemaal rechtsboven 
B: 	ja 
B: 	dit zijn de trofee 
B: 	op het voetstuk 
A: 	dat zijn nummer vier 
B: 	van de middel drie zijn het de linksonder 
A: 	ja 
A: 	de trofee 
B: 	F 
A: 	en dat een in het helemaal het midden 
B: 	nee 
B: 	bij mij zijn die daar links boven 
