A: 	nou ja dit zijn een soort van ja ja ik noemen het de neuspiercing 
B: 	dan weten ik al welk je hebben 
B: 	de rond neus met iets erdoorheen 
A: 	ja met iets erdoorheen en één haartje 
B: 	ja 
B: 	ja hebben ik hem al 
B: 	de afbeelding zijn F 
A: 	ja waar staan die 
A: 	hij staan bij mij een beetje aan de rechterkant dus voor voor jou de 
B: 	nee staan die sowieso niet op de goed kant 
A: 	oké 
B: 	bij mij staan die namelijk helemaal wel aan de rechterkant nee jawel ja 
A: 	ja ja ik willen net zeggen je moeten spiegelen dus als het voor mij ja 
B: 	sorry ja nee sorry 
B: 	ja 
B: 	rechts zijn voor ja 
A: 	ja 
A: 	en dan staan daarnaast staan een soort van poppe bij mij met twee met een kegel op het hoofd en een kegel als neus 
A: 	er gelijk naast aan de een kant staan er geen naast aan de ander kant staan een soort van ja poppe met twee zelfde figuur één als neus en één als haar 
B: 	ja ik weten welk je bedoelen 
B: 	die staan bij mij daar niet naast 
A: 	oké 
B: 	de mijn staan helemaal rechts in het midden zeggen maar dus als je lijn gaan vak gaan maken staan die helemaal rechts in het midden 
A: 	ja 
A: 	ja 
A: 	dan weten ik niet of die 
A: 	en de 
B: 	bij mij staan er één figuurt Erboven en daaronder bekendstaan eigenlijk helemaal niks 
A: 	eronder staan bij mij nog wel één 
A: 	staan staan een soort van ja helemaal beneden staan er nog één 
B: 	echt linea daaronder of zijn het een beetje iets veel naar links of iets veel naar rechts staan die 
A: 	voor mij iets veel naar rechts 
A: 	dat zijn een soort van ja met een feesthoed 
A: 	en een neus en 
B: 	ja dat die staan bij mij daar ook onderaan maar die staan voor mij als ik naar het poppe waar het om gaan 
B: 	kijken dan staan dat figuurt met de puntding staan bij mij iets naar links alsof het vijf over half zijn tien over half 
A: 	ja 
A: 	ja dat zullen ook kunnen 
B: 	hij staan bij 
A: 	maar 
A: 	maar bij jou staan ernaast geen persoont met 
B: 	ja 
B: 	aan de rechterkant niks aan de rechterkant zitten gewoon het beeldscherm en aan de linkerkant staan er bij mij een poppe dat wat ik hebben 
A: 	ja 
B: 	definieren als iemand die aan het serveren zijn alsof het een bak op een soort van 
A: 	ja die staan er bij mij helemaal niet in de buurt 
B: 	nee oké 
B: 	dan denken ik niet dat die op dezelfde plek staan 
A: 	nee 
B: 	ja het zullen kunnen natuurlijk want die zullen ook op een ander plek kunnen staan 
A: 	ja true maar ik denken niet nee 
B: 	dus je kunnen je niet 
B: 	nee ? bij jou staan er onder boven 
A: 	bij mij staan er boven staat een soort van ja ik vinden het wel een beetje op een kasteeltoren lijken met van die twee van die blok Erboven 
B: 	ja 
B: 	met en met zo'n ronde 
A: 	met zo'n raar ding eronder ja die staan er bij mij boven 
B: 	ja 
B: 	bij mij ook 
A: 	nu worden het alweer 
B: 	daarom 
B: 	en maar echt er helemaal onder staan bij jou staan het er echt pal eronder zeggen maar zoals die 
A: 	nee hij staan bij mij iets naar rechts maar echt maar ja 
B: 	ja naar rechts dus niet naar links 
A: 	nee 
A: 	voor mij naar rechts ja 
B: 	dus dan zijn het voor jou eigenlijk vijf voor half als je het zo bekijken qua klok 
A: 	ja 
B: 	ja en bij mij zijn het vijf over half 
B: 	maar dat betekenen nog niet ik denken dat die misschien wel op de juist plek staan 
B: 	maar dat ja 
A: 	hij staan voor mij echt een beetje in het midden aan de rechterkant 
B: 	ja bij mij ook 
B: 	en daarnaast staan bij mij helemaal niks zijn ook geen ruimte veel om er iets naast te bijzetten 
A: 	nee dat hebben ik dat zijn bij mij nog wel dus dan staan die dan staan die bij jou ander 
B: 	ja bij mij 
A: 	want bij mij zijn er echt wel ruimte bij mij staan er nog één rechts naast en links naast hebben ik nog heel veel ruimte 
B: 	nee bij mij staan rechts zijn dan zeggen maar het beeldscherm wat dan het zwart zijn dus daar kunnen bij mij niks veel staan 
A: 	oké 
A: 	dan zullen die dus niet op dezelfde plek staan 
B: 	oké 
A: 	dus rood 
B: 	ik hoeven er ver niks bij te zeggen dat het niet staan toch 
A: 	nee rood zijn zijn dat het niet 
B: 	ja 
B: 	neuspiercing 
A: 	die gaan ik weer even opzoeken ja dat zijn Numero vijf 
B: 	als je het beelscherm door twee delen aan de linkerkant liggen die bij mij dus nu wel op de lijn 
A: 	aan de linkerkant echt op de lijn nee dat bij mij echt niet 
B: 	ja nou ja 
A: 	bij mij zijn het wel als ik hem nu door door tweeë zullen delen dan zullen die aan de linkerkant liggen maar niet echt op de lijn hij liggen wel gewoon echt links bij mij 
A: 	en dan bovenin 
A: 	kunnen er geen veel boven 
B: 	geen boven veel ? bij mij zitten er nog zeker één boven 
A: 	nee 
A: 	dat kunnen bij mij niet 
B: 	oké 
A: 	moeten ik het doen weer doen ? ja 
B: 	ja 
A: 	dan staan die niet op dezelfde plek 
A: 	dit zijn de piercing 
A: 	de neuspiercing 
B: 	ja 
B: 	dan gaan het om a 
A: 	hij staan bij mij aan de rechterkant in het en en in en in het midden van de rechterkant 
B: 	bij mij ook 
A: 	en er kunnen er nog één onder 
B: 	nee bij mij kunnen er drie boven drie onder zeggen maar twee om twee 
A: 	nee nee 
A: 	nee dat bij mij niet dus staan die niet op 
B: 	oké dan staan die dus niet op dezelfde plek 
B: 	de neuspiercing 
A: 	de neuspiercing dat zijn Numero vijf 
B: 	hij staan bij mij aan de rechterkant 
A: 	ja 
B: 	als je het pinne rood pinne nemen dan vallen zeggen maar het het pluk van hem vallen er net op 
A: 	ja dan 
A: 	pluk vallen erop 
A: 	en het kunnen aan één kant kunnen er nog één 
B: 	nee bij mij kunnen er aan de rechterkant twee en als je de Q als scheidslijn nemen zeggen maar dan kunnen aan de linkerkant niks veel 
A: 	hij staan bij jou echt in in het midden midden 
B: 	niet echt helemaal in het midden hij hebben veel de neiging als je hem doormidden halen zeggen maar 
A: 	bij mij kunnen er echt nog maar één aan de rechterkant 
B: 	nee dan staan die niet op dezelfde plek bij mij kunnen daar twee 
A: 	oké 
A: 	niet op dezelfde plek wel goed knop indrukken 
A: 	de neuspiercing 
B: 	H zijn dat ja nummer H 
B: 	of nummer 
A: 	en hij staan bij mij eigenlijk vrij in het midden van het scherm 
A: 	er kunnen er misschien half onder 
B: 	ja 
B: 	als je de N en de Q omhoogtrekken en de E N Q 
A: 	ja en de Q omhoog 
A: 	ja dan dan uitkomen er de de B raken hem net niet 
B: 	nee bij mij ook niet 
A: 	maar de ander wel 
A: 	en daaronder zullen een half kunnen en daarboven denken ik gewoon ja 
B: 	heel veel 
B: 	staan die op dezelfde plek 
A: 	ja 
B: 	dit zijn de neuspiercing 
A: 	dat zijn nummer vijftien 
B: 	als je de ja hij staan rechts bovenin wel er kunnen nog één Erboven 
A: 	bovenin 
A: 	bij mij staan er echt nog twee boven 
B: 	ja bij mij kunnen er maar één boven 
A: 	dan staan die niet op dezelfde plek 
