B: 	ja dit weten ik niet echt helemaal een goed naam voor te aangeven maar je hebben dat rond dinge en dan zitten er gewoon eigenlijk een rechthoek zitten er gewoon op 
B: 	en aan de linkerkant iets zitten een rond wat een beetje uitlopen en aan de rechterkant zitten ook nog iets waar een staaf weer op staat 
B: 	het zijn zeggen maar wat een beetje een heel recht gezicht of zo waarmee ik het een beetje kunnen vergelijken 
A: 	ik zien hem niet nog niet 
B: 	tenmiste zitten echt zo'n zo'n zo'n rechthoek zitten echt erop op op het er op ja 
A: 	er op 
A: 	o ja misschien weten ik en dan hebben hij zeggen maar zo een ding en daar zitten weer zoiets op 
B: 	ja ja die ja 
A: 	en dan aan de zijkant een soort van vleugelt of zo 
B: 	o wachten 
A: 	of oor 
B: 	even kijken hoor ja ik hebben ik zien ik hebben maar één oor dan zeggen maar 
A: 	o ja ik gaan er gewoon vanuit in mijn imagination dat hij aan de ander kant ook wat hebben 
B: 	o wachten o ja dan zijn het denken ik wel hetzelfde ja 
A: 	ja ik denken het ook bij mij zijn dat acht 
B: 	ok bij mij N 
A: 	ok 
B: 	ja hij zitten een beetje in het midden zeggen maar net iets link van het midden en ook zeggen maar horizontaal ook iets boven het midden 
B: 	en er zitten niet zeggen maar iets heel gelijk heel dichtbij maar die linksboven zijn dan datgeen wat het veel dichtbij zitten dat zijn denken ik ja dat zijn nog wel redelijk dichtbij maar 
A: 	ja op zich komen het wel overeen alleen bij mij zijn het niet per se iets boven het midden zeggen maar maar voor de rest kloppen wel alles 
B: 	maar wel ongeveer in het midden ? of 
A: 	ja wel ongeveer in het midden maar iets naar links toe 
B: 	o ja zo ja in het midden zo iets link en dan er iets boven hebben ik 
A: 	heel klein beetje 
A: 	ja heel 
B: 	klein beetje horen echt niet veel of zo maar goed 
A: 	nee maar echt heel weinig 
B: 	ja ja dat wel het zijn wel heel weinig ja 
A: 	okan jaja dan denken ik wel dat het op dezelfde plek staan ok 
A: 	dit zijn dat gezicht beetje niets zeggen gezicht 
B: 	o die met dat dinge er 
A: 	met die oor ja en dat dinge 
B: 	o wachten 
A: 	o 
B: 	o welk oor o die oor wachten 
A: 	waarvan ik ervan uitging dat hij aan de ander kant ook een oor hebben of een vleugel 
B: 	even kijken waar die staan waar staan hij nou o hier ja dat zijn E bij mij 
A: 	ok bij mij één 
B: 	ok 
B: 	ja 
A: 	het zijn zeggen maar weer van die vier in het midden rechts onderaan 
B: 	o bij mij rechtsboven 
A: 	ok niet dezelfde dus 
B: 	o ja o dat zijn die een met die twee oor en dat gezicht een beetje 
A: 	ja 
B: 	beetje zo schuin omlaag met dat vierkantje er boven 
A: 	ja en die ding uit zijn neus 
B: 	ja ja 
A: 	ja bij mij zijn dat één 
B: 	ja bij mij O 
B: 	en hij zitten eigenlijk helemaal op de bovenste plek en dan een beetje in het midden en dan klein beetje aan de linkerkant van het midden 
A: 	ja 
A: 	ja 
A: 	bij mij ook 
B: 	ok 
A: 	dit zijn dat gezicht met die twee oor 
B: 	waar zijn hij 
A: 	die eigenlijk geen twee oor hebben 
B: 	ja ik snapen wel welk je bedoelen E zijn dat bij mij 
A: 	ja bij mij vier 
B: 	ok 
A: 	hij staan 
A: 	hoe leg je dat uit vanaf het midden een beetje naar links zeggen maar ongeveer op één vier alleen 
A: 	net iets veel naar het midden toe dan naar de linkerkant toe zeggen maar en van en ook net iets onder het midden 
B: 	o dan zijn het denken ik wel op dezelfde plek ja 
A: 	ja 
B: 	ja 
A: 	ok Chill 
B: 	o dit zijn weer die een met die twee oor en dat staaf zo en dan op het hoofd 
A: 	o 
A: 	ja 
A: 	ja zestien bij mij 
B: 	ok bij mij C 
B: 	en hij zitten gewoon echt op de onderste rij en ja eigenlijk 
B: 	ja beetje denken ik op één drie deel vanaf rechts 
A: 	ja 
A: 	ja bij mij ook wel 
B: 	nice 
A: 	ja 
A: 	wel zeggen maar iets veel naar het midden toe dan de vorig 
B: 	ja ja dat wel en er zullen nog twee dinge eventueel naast kunnen ja 
A: 	ja ok 
A: 	ja 
A: 	ja 
A: 	dit zijn de man met de twee oor 
B: 	m m o hier O 
B: 	even klikken 
A: 	o je moeten wel zeggen welk nummer die bij jou zijn 
B: 	ja O 
A: 	zeggen je doen je dat niet 
B: 	nee volgens mij wel denken ik 
A: 	o echt 
B: 	dat hij O zijn ja o dat zullen 
A: 	o o je zeggen o hier ik denken 
B: 	ja o ja het zijn in ieder geval O 
A: 	o 
A: 	ok ja hij staan helemaal links onderin de hoek 
B: 	ja bij mij ook ja 
A: 	ok 
