B: 	deze zijn ook wel 
B: 	ja 
B: 	het zijn zeggen maar ja er staan er zitten eigenlijk een balk bovenop 
A: 	wat zitten daarbovenop 
B: 	een balk 
A: 	een balk ja 
B: 	en dan 
B: 	aan de een kant ja een soort uitsteeksel dat zijn een soort ja ook een half cilinder denken ik en aan de ander kant ja ik zullen het ja ik hebben het omschrijven als een 
B: 	ja zo'n rad van een watermolen zeggen maar 
B: 	daar doen het me een beetje aan denken maar 
A: 	even 
A: 	even kijken hoor 
B: 	of het kunnen ook een armp zijn 
B: 	dat iemand net een tas vasthouden 
A: 	een rad als een 
A: 	zitten er twee punt boven 
B: 	nee het zijn één recht balk 
A: 	dus dat zijn dat zijn helemaal recht een recht balk 
A: 	en steekt die balk uit 
B: 	ja 
B: 	ja beetje ja 
B: 	ja je kunnen ook inderdaad zien net zoals dat ander zijn dit ook wel eigenlijk zo je kunnen het ook zien als een tas daar net een boek bovenuit opsteken 
A: 	even kijken 
A: 	ja inderdaad dat zijn een kop en een klein balk een boek 
B: 	ja ja ja 
A: 	ja ik zien hem 
A: 	acht 
B: 	ja en deze ja van allemaal vinden ik hem het veel in het midden staan 
B: 	en ja hij staan niet helemaal in het midden ik denken een beetje semi 
B: 	ja hij staan misschien een beetje naar de linkerkant toe maar wel vrij in het midden van ja 
A: 	ja hier ook 
B: 	ja 
A: 	ja 
A: 	dit zijn die klein boekentas 
A: 	dus niet die groot met die handvat maar die klein 
B: 	ja 
B: 	E 
A: 	hij staan zo goed als in het midden alleen ietsjes naar beneden en iets veel naar rechts 
B: 	ja 
B: 	ik denken het wel 
A: 	ja iets dat zijn wel iets veel misschien maar wel gewoon wat veel naar beneden en veel naar rechts toe 
B: 	ja 
B: 	hij staan 
B: 	ja denken het wel 
B: 	ja dit zijn dat die klein boekentas 
A: 	klein boekentas waar staan je ? de groot zien ik wel 
A: 	ja 
A: 	één 
B: 	bij mij staan die helemaal boven 
B: 	en ja ook eigenlijk helemaal in ook in het helemaal in het midden denken ik 
A: 	we kunnen het midden doen 
A: 	ja 
A: 	zullen niet veel schelen 
B: 	nee 
A: 	klein boekentas 
B: 	klein boekentas 
B: 	E 
A: 	hij staan links 
A: 	één à anderhalf zullen er naast kunnen van links 
A: 	en qua hoogte precies hetzelfde dat er één à anderhalf beneden zullen kunnen 
B: 	oeh 
B: 	ik denken dat er bij mij wel veel kunnen 
B: 	dit zijn de klein boekentas 
A: 	ja 
A: 	zestien 
B: 	hij staan bij mij onderaan 
B: 	ik denken ook niet echt dat er nog iets onder past en dan ja wel ja ja wel rechts maar gewoon midden rechts 
A: 	beetje in het midden als je rechts weer in twee delen dan 
B: 	ja ja ja 
A: 	ja dan staan die denken ik gelijk 
A: 	zullen niet veel schelen in ieder geval 
B: 	nee 
A: 	de klein rugtas 
B: 	de klein rugtas 
A: 	pijnlijk been 
B: 	ja 
B: 	O 
B: 	ja 
A: 	hij staan linksonder links 
B: 	ja ja 
A: 	ja zo goed als helemaal linksonder 
B: 	ja 
