A: 	ik hebben er één die hebben twee dezelfde vormp één recht op het midden zo'n langwerpig en één aan de zijkant ook zo'n langwerpig 
B: 	die soort van kegel van bowling 
A: 	ja ja 
B: 	ja 
A: 	en nog zo'n soort van verrekijker tenminste zo hebben ik hem 
A: 	met van die vierkant 
B: 	ja 
B: 	ja dat zijn E 
A: 	oké 
A: 	en die bij mij zijn die helemaal aan de rechterkant net iets boven het midden 
B: 	bij mij zijn die op drie vier van het totaal rechts 
A: 	dan zijn die omgedraaid dan zijn het niet hetzelfde denken ik 
B: 	oké 
A: 	tenminste net zitten daar ik denken dat het dat het niet op dezelfde plek zijn 
B: 	en hij zitten ook een flink stuk boven het midden 
A: 	bij mij niet een heel klein stuk maar 
B: 	ja dan zijn dan weten ik op welk positie die bij jou zitten in ieder geval maar dan zijn het een nee 
B: 	het zijn de kegel erbovenop een kegel naar die kant richten denken ik en dan hebben die hier zo'n verrekijkerachtig ding 
A: 	ja 
B: 	en dan nog een soort van bikinibroekachtig uitlaat aan de die kant 
A: 	even kijken wachten ik zijn even aan het zoeken ja Bingo 
A: 	elf 
B: 	en hij staan in die vier en dan zijn het linksboven 
A: 	ja 
A: 	dit zijn degeen met één verrekijker en zo'n kegel hier en een kegel aan de zijkant 
B: 	ja J 
A: 	en dan hebben je die rij die twee van drie 
B: 	ja 
A: 	en dan zijn het niet dan zijn het degeen die daarboven zijn 
A: 	niet helemaal bovenin 
B: 	nee bij mij zitten die wel in die acht 
A: 	oké nee dan zijn het niet hetzelfde dan moeten jij 
B: 	het zijn die met een kegel op zijn hoofd en een kegel als neus en dan een verrekijker 
B: 	en dan nog een mormel 
A: 	ja 
A: 	negen 
A: 	mormelt 
B: 	vier drie rij en dan de veel rechts 
A: 	nee 
A: 	dit zijn degeen met één verrekijker 
A: 	en die twee kegel 
B: 	god 
B: 	ja B 
B: 	dat zijn bij mij de veel rechts 
A: 	nee bij mij niet 
A: 	dat moeten jij doen 
B: 	het zijn die met een kegel erop kegel als neus en een verrekijker 
B: 	en nog een dinge 
A: 	ja 
A: 	vier 
B: 	en het zijn bij mij de veel Linksboven 
A: 	ja 
