A: 	even kijken dit zijn er één met een soort vierkant ja een soort paar vierkant aan de voorkant aan de rechterkant ervoor 
B: 	ja 
A: 	en één zo'n staaf naar boven en één naar de zijkant en nog iets raar naar achter 
B: 	boven 
B: 	en dan 
B: 	ja oké 
B: 	dat zijn bij mij dan E 
A: 	bij mij staan die rechts 
A: 	het zijn het veel rechterplaa er zullen zullen niet veel een heel plaat naast passen en hij zitten echt precies op de middellijn 
B: 	ja bij mij staan die niet helemaal rechts dus dat zijn sowieso al niet dezelfde plek dan 
A: 	oké 
B: 	ja ik hebben nou weer één dan waarbij dan aan de of aan de rechterkant hebben je dan 
B: 	die vierkant die dan telkens groot worden 
B: 	en dan hebben je bovenin en aan de linkerkant dan zo'n pin uitsteken die er hetzelfde uitzien en dan 
B: 	aan de achterkant hebben je nog een 
A: 	even kijken hoor 
B: 	een 
A: 	bedoelen je die een met dat soort die soort ruit erachter 
A: 	en waar die vierkant uit komen 
B: 	nee nee die niet 
A: 	of bedoelen je die met die antenne 
B: 	je hebben dan 
A: 	of die staaf één staaf Erboven en één staaf link ervan 
B: 	ja 
A: 	en zoiets raar aan de achterkant en die blok die naar voren uitsteken 
B: 	ja die 
A: 	oké dat zijn nummer elf bij mij 
B: 	en bij mij staan die ja van de middellijn zeggen maar en dan weer naar links 
B: 	en qua hoogte dan ook weer de middellijn en dan ja net iets erboven ook weer 
A: 	ja bij mij ook 
A: 	dus echt net iets link en net iets Erboven toch 
B: 	ja 
A: 	oké 
A: 	dit zijn die een met die staaf Erboven en die staaf aan de linkerkant 
A: 	aan de rechterkant wat van die blok die groot worden 
B: 	ja 
B: 	dat zijn bij mij J 
A: 	bij mij staan die echt ja op de middellijn heel misschien iets erboven ongeveer op drie vier aan de rechterkant 
A: 	hij staan wel 
B: 	nee bij mij staan die al wel echt iets boven in het scherm dus dan zullen het niet 
A: 	hij 
B: 	want bij jou zijn het echt in het midden dan 
A: 	ja je zullen het heel net iets boven het midden kunnen maar ja 
B: 	ja maar dan zullen het wel niet dezelfde dezelfde plek zijn 
A: 	nee 
B: 	nou hebben we weer die een met aan de linkerkant dan van die blok die dan telkens groot worden 
A: 	en die staaf Erboven en daarnaast 
B: 	en dan bovenin en 
A: 	ja dat zijn negen bij mij 
B: 	en bij mij liggen die 
A: 	of aan de rechterkant die blok toch die groot worden 
B: 	ja 
A: 	oké 
B: 	ja aan de rechterkant inderdaad 
A: 	oké 
B: 	dan zeggen ik dat verkeerd 
B: 	bij mij liggen die zeggen maar aan de rechterkant kunnen er nog een plaat en dan aan de onderkant kunnen er nog een plaat ruim 
A: 	bij mij kunnen er wel aan de rechterkant sowieso twee plaat naast makkelijk en 
B: 	nee 
B: 	nee bij mij niet 
A: 	oké dan liggen die op een ander plek 
A: 	ik hebben die een even kijken hij staan eigenlijk bij mij echt net rechtsboven bij het plaat die we net hebben 
A: 	met van die vierkant komen eruit 
A: 	en zo'n staaf Erboven en zo'n staaf aan de zijkant 
A: 	vierkant komen aan de rechterkant zo naar voren die worden steeds groot zeggen maar 
B: 	vierkant die worden steeds 
A: 	ja bij mij staan die echt net boven die met die vleugel die we net hebben rechts Erboven 
B: 	die 
B: 	die aan de aan de rechterkant en dan bovenin en dan de 
A: 	ja 
A: 	staaf en aan de ander kant nog een staaf 
B: 	ja oké die 
B: 	ja bij mij zijn dat B 
A: 	ja 
B: 	ja bij mij staan die helemaal aan de rechterkant en dan 
A: 	tegen de zijkant aan dan 
B: 	ja 
A: 	nee bij mij niet 
B: 	nee dan zijn het niet dezelfde plek 
B: 	dan hebben ik weer die een met aan de linkerkant dan ook die kubus die dan steeds groot worden en dan aan de bovenkant zo'n pin 
B: 	en aan de zijkant zo'n pin en dan aan de achterkant nog een raar een raar flu 
A: 	die met die met die ruit zeggen maar Erboven 
B: 	nee 
B: 	aan de aan de linkerkant hebben je dan ook 
A: 	die 
A: 	en bij mij staan die helemaal linksboven ongeveer en dan zo'n pin 
B: 	ja bij mij staan 
A: 	en dan van die vierkant die groot worden 
B: 	ja 
B: 	ja die 
A: 	bij mij nummer nummer vier zijn dat bij mij 
B: 	ja bij mij staan die ook helemaal links bovenin inderdaad 
A: 	ja diegene ja er kunnen er niet veel echt één boven heel misschien één krap maar 
B: 	ja 
A: 	ja 
B: 	ja inderdaad daar ongeveer 
A: 	staan die wel op dezelfde plek 
