A: 	oké hier opsteken echt aan al kant iets uit 
A: 	boven en naar links het zijn een beetje van die ja wat zijn het ? soort joystick of zo waar je aan kunnen zitten 
A: 	en naar rechts opsteken één of ander ja wat zijn het ? blok 
B: 	een soort blokkentoren 
A: 	ja inderdaad een blokkentoar 
B: 	oké 
B: 	dan zijn het E 
A: 	en hij staan bij mij midden en dan rechts 
A: 	bijna helemaal rechts 
B: 	niet hij staan niet een beetje omhoog 
A: 	nee 
B: 	oké 
A: 	ja wat zijn een beetje 
B: 	nee niet echt merkbaar 
A: 	nee nee nee nee 
B: 	oké 
A: 	nee 
B: 	dan zijn het niet hetzelfde dus dan zijn het rood 
B: 	dit zijn die twee waarvan jij zeggen met die joystick 
B: 	twee van die joystick één boven één link en dan aan de rechterkant een blok een blokkendoos 
A: 	ja ja ja 
A: 	elf 
B: 	en deze staan in het midden aan de linkerkant en dan een beetje naar boven 
A: 	ja dat zijn dezelfde plek 
A: 	rood 
A: 	dit zijn met die twee joystick één bovenop één aan de zijkant en die die blokkentoren erin 
B: 	ja dat zijn J 
A: 	en hij staan in het midden en dan een stuk naar rechts 
A: 	halverwege rechts 
B: 	halverwege rechts 
A: 	ja 
B: 	nee hij staan bij mij echt één tik naar rechts 
B: 	dus dan 
A: 	nee dan nee hij staan wel echt een stuk naar rechts 
B: 	nee dan zijn het geel 
A: 	ja 
B: 	dit zijn joystick boven joystick links 
A: 	ja 
B: 	blokkentoar rechts 
A: 	negen 
B: 	en deze staan in het midden 
B: 	een beetje naar onder 
B: 	en dan naar rechts 
B: 	aan de ander kant past nog één figuurt ongeveer 
A: 	nee nou hij staan bij mij wel best wel in het midden 
A: 	dus dat zijn geel 
A: 	dit zijn de joystick 
B: 	de joystick 
A: 	rechts staan die 
B: 	B 
A: 	en hij staan rechts en dan een één omlaag 
A: 	één figuurt omlaag 
B: 	zijn het de veel 
A: 	sorry rechtsmidden en dan één omlaag 
B: 	het veel rechts figuur 
A: 	nee 
A: 	nee zijn niet het veel rechts 
A: 	absoluut niet 
B: 	nee 
B: 	dan kloppen het niet dan zijn het geel 
A: 	geel 
A: 	ja 
B: 	joystick boven joystick links 
A: 	vier 
B: 	en hij staan helemaal links bovenin 
A: 	ja 
A: 	rood 
