A: 	deze vinden ik een heel apart vorm 
A: 	deze hebben een soort van piramide bovenop 
A: 	en dan zitten er ja rechts zitten een soort van afgekapte piramide 
A: 	en linksonder zitten een soort van rond 
A: 	en aan de linkerkant zitten één ja pipetachtig iets 
B: 	ja 
B: 	dat zijn J 
A: 	bij mij zijn dat de veel rechtsonder 
A: 	hij zitten een beetje lonely want de rest zijn allemaal aan de zijkant 
B: 	ja bij mij ook 
B: 	dit zijn weer die met de verschillend tint piramide daarbovenop 
A: 	die met de soort van pipet aan de 
B: 	ja 
A: 	ja dat zijn zes 
B: 	bij mij zitten die rechts onderaan maar daar zitten er nog één in de hoek en daar zitten die dan links schuin boven van die veel rechts onderaan 
A: 	ja 
A: 	je hebben nog een ander die zitten daar links onder 
B: 	ja 
A: 	ja oké dan zitten ze wel op dezelfde plek 
B: 	zijn we niet klaar 
B: 	ik zijn het beu 
A: 	dit zijn die die piramide weer bovenop in die verschillend tint en dan dat pipet weer aan de zijkant 
B: 	ja dat zijn E 
A: 	en bij mij zijn deze als je het midden hebben dan rechtsonder van het midden 
B: 	bij mij zijn die het veel rechtsonder 
A: 	nee bij mij niet 
B: 	oké dan zijn het een ander plek 
B: 	dit zijn weer die met de piramide erop en de pipetje link 
A: 	ja dat zijn tien 
B: 	bij mij zitten die het veel in de linkeronderhoek 
A: 	echt het veel 
B: 	ja 
A: 	oké dan zijn het niet dezelfde plek 
B: 	zijn we nog niet klaar 
A: 	dit zijn weer die met die piramide bovenop en die pipet aan de zijkant 
B: 	ja dus G 
A: 	en bij mij zijn dat gewoon links bovenin 
B: 	ja 
A: 	gewoon helemaal in de hoek 
B: 	dit zijn de piramide bovenop en de pipet links en rondje onderaan 
A: 	even zoeken zoeken zoeken 
A: 	ja dat zijn tien 
B: 	en hij zitten in het 
B: 	gedeelte rechtsonder maar dan een beetje dus in als je het in vier vierkant kunnen verdelen zitten het ongeveer in het midden van het rechtsondervierkant zeggen maar 
A: 	ja 
A: 	ja er zitten zeggen maar je hebben die een die helemaal rechts zitten 
B: 	ja 
A: 	en daar linksonder van 
B: 	ja 
A: 	ja dan zijn het dezelfde plek 
