B: 	oeh dit zijn een lastig 
B: 	dit zijn een heel klein 
B: 	en weinig uitsteeksel maar er liggen een horizontaal balk bovenop 
A: 	en twee van die voe aan de zijkant 
B: 	ja 
A: 	oké 
A: 	dat zijn nummer acht 
B: 	hij bekendstaan eigenlijk bijna helemaal in het midden 
B: 	en dan een klein beetje link misschien een klein beetje boven 
A: 	klein beetje naar links 
A: 	ja 
B: 	ja 
A: 	hebben ik ook 
A: 	ik hebben die een met zo'n balk op zijn hoofd 
A: 	met die voe aan de zijkant 
B: 	ja dat zijn dat zijn bij mij E 
A: 	en die staan vanaf het midden er rechts onder 
B: 	bij mij zijn het rechtsboven 
B: 	rood 
B: 	dit zijn dat balk dat erbovenop liggen en twee dinge aan de aan de zijkant onder 
A: 	ja dat zijn nummer één 
B: 	staan in het midden boven 
B: 	helemaal boven 
A: 	helemaal bovenaan 
B: 	ja 
A: 	ja dat hebben ik ook 
A: 	deze met de balk op zijn kop met de twee voet 
B: 	ja dat zijn bij mij E 
A: 	en dan staan die in het midden helemaal naar links 
A: 	zeggen maar die middel en dan nog één rechtsonder 
B: 	daar staan er nog één onder 
A: 	ja en 
B: 	en ook nog één linksonder 
A: 	ja 
B: 	oké en dat zijn dan dezelfde 
B: 	dit zijn die heel compact met dat balk op het erbovenop horizontaal 
A: 	met de twee voet 
B: 	ja 
A: 	dat zijn zestien 
B: 	het zijn eigenlijk de veel onderste 
B: 	dus 
A: 	vanuit die drie 
B: 	vanuit die drie de veel rechtsonder 
A: 	ja 
A: 	de balk met de twee voet 
B: 	balk met twee voet O 
A: 	en die staan helemaal linksonder 
B: 	ja 
