B: 	oké deze zijn weer dat die basisvorm 
B: 	dan aan de zijkant op al twee de plek dat vierkant dat steeds klein vierkantje worden waar we het over hebben en een groot vierkant blok 
A: 	ja 
B: 	een soort van plaat aan de voorkant 
A: 	ja 
B: 	met nog een soort antenne achterin 
A: 	een ja soort spion hebben ik ervan maken 
B: 	ja 
A: 	dat die aan het bellen zijn dat zijn bij mij nummer twee 
B: 	als je weer even het midden hebben van het scherm dan staan die sowieso helemaal onderaan 
B: 	aan de linkerkant 
B: 	en dan een beetje in het midden 
B: 	klein beetje 
A: 	echt helemaal onderaan staan die bij jou 
B: 	helemaal onderaan 
A: 	nee dat zijn bij mij niet niet het geval 
A: 	dus niet op dezelfde plek 
A: 	dit zijn eigenlijk die spion weer dus met die twee traps toelopen 
A: 	blok tentakel omhoog en een vlak aan de zijkant 
B: 	dat zijn G 
A: 	en die staan tegen het midden aan 
A: 	aan de linkerkant 
A: 	en in de lengte staan die net wel eigenlijk net iets onder het midden 
B: 	ja dan staan die op dezelfde plek 
B: 	dit zijn die spion wat jij zeggen met dat met dat groot vierkant blok voor 
A: 	Blok ja 
A: 	dat zijn nummer negen 
B: 	als je het midden hebben dan staan die aan de linkerkant helemaal onderin maar er er zullen er nog wel één onder kunnen 
B: 	en dan bij de grens van het midden 
A: 	ja 
A: 	oké dan staan die wel op dezelfde plek 
A: 	bij mij staan er nog één onder namelijk 
B: 	ja hier ook 
A: 	ja geel 
A: 	dit zijn de spion 
B: 	ja 
B: 	dit zijn D 
A: 	en die staan op de middellijn 
A: 	heel klein beetje naar rechts misschien 
A: 	en in de lengte staan die ook net iets hoog dan het midden 
B: 	beetje naar rechts zeg je 
A: 	ja 
A: 	naar links sorry ik studeer Geneeskunde dus ik zien alles precies andersom 
B: 	ja 
B: 	precies andersom 
A: 	maar hij staan dus net iets naar links 
B: 	nee 
B: 	ja dan staan die op dezelfde plek 
B: 	dit zijn die spion 
A: 	de spion die staan ja nummer één 
B: 	dan staan die als je het midden hebben aan de rechterkant ertegenaan plakken 
B: 	en dan ook in de hoogte in het midden 
B: 	dus aan de rechterkant in het midden tegenaan plakken tegen het midden 
A: 	oké 
A: 	ja 
A: 	hij zitten er niet tegenaan plakken bij mij 
A: 	dat zijn niet hetzelfde 
A: 	dit zijn de spion 
B: 	even kijken waar zijn die 
B: 	ja dat zijn B 
A: 	en die staan bij mij als je het midden hebben staan die eigenlijk bijna tegen de middellijn aan 
A: 	en daaronder zullen er net wel net niet één onder kunnen 
A: 	twee drie vinger toepassen eronder 
B: 	aan de rechterkant 
A: 	aan de rechterkant ja 
B: 	dan staan die op dezelfde plek 
