B: 	oké 
A: 	deze zijn ook wel uniek 
B: 	oké 
A: 	hij hebben er zijn er zijn eigenlijk maar twee die die die zo'n staaf onder zich hebben 
B: 	ja 
A: 	zeggen maar 
B: 	ja 
A: 	en dan zijn het niet die die trofee niet die beker zeggen maar 
B: 	ja 
A: 	dus het zijn die ander met met ook een heel raar hoed zeggen maar op van van van ruiten zeggen maar twee rui met staf eraan 
B: 	zijn die met dat rui 
B: 	ja 
B: 	ja 
B: 	oké dan zijn dat M 
B: 	dat kunnen niet missen 
B: 	denken ik 
A: 	ja 
A: 	oké middellijn zijn die aan de linkerkant 
A: 	en dan als je de horizontaal lijn trekken zitten die onder linksonder 
B: 	oké bij mij zitten die erbof 
B: 	hij staan echt wel hier zeggen maar dus 
A: 	zitten echt wel duidelijk Erboven oké nou ja dan 
B: 	ja 
B: 	dus dan zijn het sowieso rood 
B: 	oké dit zijn die raar met dat poo eronder en dat soort van die twee rui zo erin 
A: 	ja 
B: 	dus die twee ruit en dan met zo'n ja ik vinden het zo'n gewichthefding zeggen maar wat erdoorheen zitten 
A: 	ja ja 
A: 	ik snapen die ook ik weten niet hoe ik hem moeten beschrijven ik weten alleen zitten ik zo te denken misschien een zeepaardje of zo dat die hier zo raar maar ik ik noemen het eigenlijk het raar hoed of zo 
B: 	nee 
B: 	ja beetje wel 
B: 	ja maar ja die met die rui zeggen maar en dan dat dat gewichthefding erdoorheen 
A: 	met de rui 
A: 	gewichthefding leuk 
B: 	ja ik vinden dat een beetje zo'n 
A: 	dat zijn nummer negen bij mij 
B: 	zo'n dumbbell of zo 
A: 	gewichthefding 
A: 	ja waar staan die 
B: 	hij staan ja hij staan bij mij linksonder 
A: 	ja 
B: 	en dan klein stuk van het midden af zeggen maar als je kijken verticaal 
A: 	ja 
B: 	klein stuk naar links 
B: 	kunnen niks veel onder 
B: 	het zijn echt onder onderaan 
A: 	nee 
B: 	en hij staan 
A: 	zullen zo'n drie blok naast kunnen nog bijna 
B: 	ja aan de linkerkant kunnen er echt nog wel drie naast 
A: 	ja ja nee hebben ik hetzelfde 
B: 	ja 
B: 	en er kunnen er ook nog wel één boven 
A: 	zeker 
B: 	ja 
A: 	ik hebben de de de de de die die twee ruit 
B: 	ze zijn weer 
B: 	ja 
B: 	ja 
B: 	met met dat gewichtding er 
A: 	met met het gewichtheff 
A: 	ja 
B: 	oké 
B: 	dat zijn H 
A: 	hij staan Linksboven 
B: 	ja 
A: 	en nu worden die wel lastig even kijken hij staan zeggen maar rechts links staan die bijna gelijk 
B: 	ja 
A: 	iets veel neigen die naar de buitenkant toe denken ik 
A: 	hij zitten wel bijna zeggen maar hij neigen wel veel veel naar de onderkant toe hij zitten bijna tegen die horizontaal lijn aan 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	hij staan wel een beetje tussen allemaal ander bij mij dus inderdaad ik snap dat 
A: 	ja ja 
B: 	ja oké ik denken wel dat dat hetzelfde zijn 
B: 	yes 
A: 	dat zijn wel erg 
B: 	ja 
B: 	deze zijn met die twee rui als hoed zeggen maar met dat gewicht erdoor 
A: 	ja 
A: 	ja nummer elf 
B: 	en die staan bij mij Linksboven 
A: 	ja 
B: 	en dan staan er eigenlijk niks veel naast maar er kunnen nog wel één naast 
A: 	ja makkelijk 
B: 	en er kunnen er misschien nog wel anderhalf naast en er kunnen misschien nog wel een half boven 
A: 	ja 
A: 	ja 
A: 	ja oké staan goed 
B: 	ja 
A: 	oké 
A: 	de de de drie twee ruit 
B: 	ja 
A: 	met het gewich 
B: 	ja die staan bij mij links onderin dat zijn D 
A: 	sorry 
A: 	linksonder 
B: 	ja 
A: 	nee maar die zijn omgedraaien met de Pinokkio hè ? ja 
B: 	maar bij jou staan er niks veel naast dus dat kunnen niet ja 
A: 	maar bij mij zitten er nog één naast zeggen maar 
A: 	oké 
B: 	met die ruit en dat gewicht 
A: 	ah 
A: 	nummer veertien 
B: 	en die staan bij mij helemaal aan de linkerkant 
A: 	nee 
B: 	echt bijna tegen de wand aan 
B: 	maar daar staan die bij jou niet 
A: 	nee hij staan hij staan staan die hoog of laag 
B: 	hij staan eigenlijk op het midden 
B: 	horizontaal staan die op het midden 
A: 	ja nee daar staan mijn dienblad 
B: 	verticaal staan die helemaal tegen de linkerkant 
B: 	oké 
A: 	dus dat kloppen niet 
B: 	nee 
