A: 	ja ik hebben bij deze ik denken iets van een een cactuspot of zo 
A: 	in ieder geval je hebben dan wat je over over hebben die basis zeggen maar en dan zitten er één dinge in 
A: 	en dan uitsteken er aan de zijkant nog twee uit en nog voor één uit 
A: 	en dan zijn het twee van die ovaal ding die ja een soort kegelachtig 
A: 	en dan aan één zijkant zitten wat ja lompig 
B: 	zijn het van die blok die steeds groot worden aan één kant aan de voorkant zeggen maar rechts 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	en dan aan dat ander kant zitten nog zo'n uitsteeksel 
B: 	ja 
B: 	ja dan zijn het E 
B: 	ja 
A: 	en hij staan bij mij rechts 
A: 	en even kijken ja als je de horizontaal lijn in het midden hebben staan hij daar denken ik iets boven 
B: 	dan zijn het wel hetzelfde denken ik want staan zeggen maar halverwege tussen helemaal het midden en rechts 
A: 	oké 
A: 	ja 
B: 	ja 
B: 	deze hebben midden bovenaan een soort van vlammetje dat kegel 
B: 	dan rechts die blok 
B: 	link zo'n soort van kegel en naar achteren zijn ook nog een soort van raar armp 
A: 	even kijken 
B: 	dat vlammet staan zeggen maar er recht bovenop 
A: 	en dan met die blok dat dat na en dan 
B: 	ja aan de rechterkant en links nog twee van die raar ding 
A: 	ja oké 
A: 	nummer elf 
B: 	het staan heel iets naar links en heel iets naar boven 
A: 	ja bij mij ook 
A: 	dit zijn die die wat ik op zo'n cactus plaatsvinden lijken 
A: 	met die kegel boven en dan die blok aan de zijkant rechts die iets groot worden 
A: 	en dan nog zo'n armp links en nog zo'n kegel vooruit 
B: 	ja die raar ja 
A: 	ja die raar 
B: 	ja 
B: 	J 
A: 	en hij staan rechts van het midden en dan daar ook in het midden 
B: 	ver naar rechts of heel klein beetje 
A: 	dus 
A: 	ja best wel stuk 
B: 	nee bij mij staan die bij mij staan die heel bijna gelijk rechts dan zijn het niet hetzelfde 
A: 	tussen rechts en link in het midden 
B: 	dat zijn die cactus met die blok aan de zijkant en vlamme omhoog 
A: 	ja 
A: 	nummer negen 
B: 	hij staan ja best wel ver naar rechts en een klein beetje naar onderen 
B: 	niet helemaal rechts 
A: 	ja bij mij staan die veel naar boven 
A: 	die cactusplant 
B: 	met die blok aan de rechterkant 
A: 	ja 
B: 	ja B 
A: 	en hij staan halverwege rechts en dan 
B: 	nee bij mij helemaal rechts 
B: 	de cactus 
B: 	met die blok aan de rechterkant 
A: 	ja nummer vier 
B: 	die staan bijna helemaal Linksboven 
A: 	ja 
