A: 	ja ik weten niet waar ik dit op plaatsvinden lijken veel een soort van bak met zo het zijn een de die basisvorm en er zitten dan aan de zijkant zitten van die twee van die ding en er zitten bollet aan het uiteinde 
B: 	even loeren 
A: 	aan de achterkant zitten een schuin 
B: 	ja ik noemen dat de theepot maar 
A: 	oké zijn goed 
B: 	ja die zitten bij mij Linksboven 
A: 	je moeten eerst zeggen nummer en geel knop 
B: 	K sorry 
B: 	K geel knop 
A: 	ja bij mij zitten die ook Linksboven dus veel linksboven die er zijn 
A: 	niet echt echt in de hoek het zijn een centimeter of zes zeven misschien wel 
B: 	ja daar zitten die bij mij ook 
A: 	oké 
B: 	wat ik beschrijf als een theepot 
B: 	weten je die nog 
A: 	ja zijn dat diegene met die twee stok met die bollet 
B: 	ja ja 
A: 	oké ja dan zijn het nummer negen 
B: 	hij zijn rechts en dan op de op éénnabovenste 
A: 	ja 
A: 	ja dat zijn hem 
B: 	oké 
A: 	dit zijn diegene met die twee uitstekend stok met die bollet ik weten niet wat jij daarop vinden lijken 
B: 	ja 
B: 	F 
A: 	wachten 
A: 	ja 
A: 	en hij staan van die acht zijn het de onderste de alleronder 
B: 	nee bij mij zijn het zeggen maar je hebben dan die je hebben dan één rij rij en dan bij mij zijn het de middel dus dan zullen het niet dezelfde zijn 
A: 	ja 
A: 	wachten ja nee inderdaad 
A: 	ze gaan weer veranderen wat leuk 
B: 	ik vinden dit dus een theepot 
B: 	of een gieter 
A: 	wat welk zijn dat ook alweer 
B: 	met die armp en die bollet eraan 
A: 	ja theepot en gieter 
B: 	het lijken alsof 
A: 	zeggen maar twee van die arm en zo'n bolle zo 
B: 	ja 
B: 	het lijken alsof die aan één kant dus zeggen maar een soort van handvat hebben en dan met de ander kant zijn het een schenktuit 
A: 	dat zijn zo'n ah 
A: 	oké nummer drie 
A: 	hoe gaan we het indelen 
B: 	onderste rij 
A: 	ja 
B: 	en dan de middel 
A: 	nee bij mij zijn het helemaal links dus hij zijn niet op dezelfde plek 
A: 	deze vinden je op een theepot lijken 
B: 	ja vinden L 
A: 	hij zitten best wel in het midden eigenlijk 
B: 	bij mij niet 
A: 	degeen die we net zeiden dat die rechts boven de Q zitten 
A: 	deze zitten er iets rechts van en en vijf zes centimeter Erboven 
B: 	ja dan weten ik welk je bedoelen maar die van mij zitten er tien centimeter rechts naar beneden van 
A: 	oké nee dan zijn het niet hetzelfde 
A: 	we gaan weer switchen 
B: 	gieter of theepot 
A: 	ja 
A: 	even zoeken 
A: 	kunnen hem niet ja vijf 
B: 	bij mij staan 
B: 	ja hij staan bij mij recht boven het BenQlogo 
A: 	ja 
A: 	en dan onderin een beetje 
B: 	ja 
A: 	ja 
