B: 	even kijken deze doen me een beetje denken aan een robot 
B: 	of waar we het net over hebben van die steeds klein worden blok maar dan zijn het er twee 
A: 	ja met die plaat 
B: 	ja met de plaat ervoor ja 
A: 	ja dus die doen me ook denken aan robot 
A: 	dat zijn twee 
B: 	bij mij zitten die even denken kijken linksonder 
B: 	eigenlijk veel linksonder die die er bij mij zijn 
A: 	dit zijn degeen die het veel naar de zijkant van het scherm komen links 
B: 	nee dat niet maar wel veel onderaan 
B: 	ik hebben een ander die veel naar de naar links zitten 
B: 	maar die zitten hoog 
A: 	ja bij mij zijn die wel veel richting het als je zeggen maar op de verticaal as kijken zitten die wel veel naar het midden toe 
A: 	ik denken dat het dat want bij mij staan er hij zijn niet helemaal onderaan 
B: 	bij mij wel 
A: 	oké dan zitten ze niet op dezelfde plek 
B: 	ja 
B: 	nee denken het ook niet 
A: 	dit zijn weer die robot 
A: 	met die vierkant plaat 
B: 	waar zijn die 
B: 	ja 
A: 	rechts 
B: 	ja en met zo'n soort antenne of achtig 
A: 	ja 
B: 	ja dus dat zijn G 
A: 	als je dat vierkantje weer hebben in het midden zijn het linksonder 
B: 	ja 
B: 	dit zijn de waarom krijgen ik deze weer 
B: 	die met de plaat van voor die op een robot lijken 
A: 	ja dat zijn negen 
B: 	die zitten bij mij ook redelijk in het midden 
B: 	tikkel naar links en dan naar wat naar onder 
A: 	en er zitten er nog één best wel rechtsonder 
A: 	of meteen onder 
B: 	er zitten er één recht onder ja 
A: 	ja 
A: 	ja oké dan zitten ze wel op dezelfde plek 
A: 	dit zijn weer die robot 
A: 	met die plaat en die antenne 
B: 	ja dus dat zijn D 
A: 	en dit zijn echt als je het midden hebben gewoon net linksboven daarvan 
B: 	ja op dezelfde plek denken ik 
B: 	dit zijn de robot met de plaat ervoor 
A: 	ja dat zijn één 
B: 	en die zitten bij mij in een groep in het midden een groep van drie in het midden en dan die veel rechts zitten 
A: 	nee bij mij zijn het eigenlijk één volgens mij die er rechtsboven nog 
A: 	volgens mij zijn het niet dezelfde plek 
B: 	nee ik denken het ook niet 
A: 	dit zijn weer die robot 
B: 	ja dus dat zijn B 
A: 	ja en als je vanuit zo naar onder gaan 
B: 	ja 
A: 	dan zijn het de rechter 
B: 	ja 
A: 	de rechteronderste 
B: 	ja 
