B: 	deze hebben het het vierkant aan de voorkant 
B: 	en dan aan de linkerkant van het van die emmer zitten twee van dezelfde ding naar de buitenkant 
A: 	ja ik noemen 
A: 	ja ik noemen dat die robot 
B: 	ja lijken een beetje op een robot ufoachtig Ruimteding 
A: 	ja 
A: 	ja precies 
A: 	dat zijn twee 
B: 	en die staan even kijken van het midden links en dan op de onderste rij de veel linker 
A: 	even kijken het midden 
A: 	even kijken links 
B: 	van de onderste rij 
A: 	ja 
B: 	en dan het veel veel aan de linkerkant maar niet helemaal strak in de hoek 
A: 	ja wachten even 
A: 	oké ik hebben hem zeggen maar niet helemaal op die onderste laag zitten 
B: 	ja bij mij zitten die er zitten echt niks veel onder 
A: 	ja bij mij zitten er rechtsonder nog iets zeggen maar 
B: 	nee dan zitten die op een ander plek 
A: 	nee oké 
A: 	ja dit zijn die robot 
B: 	ja G 
B: 	nu gaan we goed 
A: 	en die ja die zitten dan zeggen maar als je in het midden delen zeggen maar als je dat kruis weer hebben 
B: 	ja 
A: 	dan zitten die zeggen maar link 
B: 	ja 
A: 	linksonder 
B: 	ja maar hij zitten nog wel in het midden van het van het heel in het midden van het heel scherm zeggen maar 
B: 	ongeveer 
A: 	ja 
A: 	ja 
B: 	je hebben die vier je hebben vier plaat in het midden staan 
A: 	ja precies 
B: 	ja en dan daar de linksonder van 
A: 	linksonder van ja precies 
B: 	dat zijn zelfde plek 
B: 	dit zijn de robot met dat vierkant vlak voorop 
A: 	ja even kijken waar staan die 
A: 	negen zijn dat robot 
B: 	en die staan als je het scherm in het midden hebben staan die op die lijn 
B: 	aan de en dan niet helemaal helemaal onderaan maar net iets daarboven 
A: 	ja ja 
A: 	staan nog één figuur onder 
B: 	er staan nog één figuur 
B: 	ja precies 
A: 	die zitten dan ja in het midden misschien net iets link ervan of zo ja ja oké 
B: 	exact 
A: 	ja dat zijn die robot 
A: 	met de vierkant plaat 
B: 	yes 
B: 	d 
A: 	en die zitten dan ja eigenlijk in het midden zullen ik zeggen 
B: 	dat zijn precies in het midden eigenlijk ja ja ja 
A: 	ja precies in het midden 
A: 	ja zijn misschien iets boven 
B: 	ja ja precies 
A: 	ja 
B: 	zelfde plek 
B: 	de robot 
A: 	de robot even kijken één zijn dat bij mij 
B: 	en die staan net iets rechts van de van het midden 
B: 	van het midden van het heel scherm net iets en op en op de horizontaal lijn 
A: 	nee 
A: 	bij mij staan die allemaal even kijken van de zijkant ongeveer zo 
B: 	dat kunnen ik niet eens opmeten 
B: 	dat kunnen ik niet eens ja dan moeten ik echt helemaal ja dat dat past er niet eens op 
A: 	nee 
A: 	nee nee nee 
A: 	nee oké 
A: 	nee dan staan die niet op dezelfde plek 
A: 	dit zijn die robot 
B: 	ja waar staan die 
B: 	ja 
B: 	B 
A: 	en die staan bij mij ja in het midden 
B: 	daar rechts van 
A: 	daar iets rechts van helemaal onderaan 
B: 	ja 
A: 	staan zo'n stuk van de onderkant ongeveer 
B: 	ja zelfde 
A: 	en zo'n stuk uit het midden ook 
B: 	ja we hebben hetzelfde 
