A: 	dit zijn één ja ik willen ik willen deze het feesthoed noemen maar dan met een met een afstolping laten maar zeggen 
A: 	dus het zijn niet helemaal feest 
B: 	met een gek neus erop 
A: 	ja met een gek neus erop wat naar één kant wijzen 
B: 	ja 
B: 	naar de rechterkant kijken die dan 
A: 	ja en hij hebben laten maar zeggen aan aan één arm hebben die twee plaat zitten 
B: 	ja 
A: 	ja 
B: 	een rond en een ja 
A: 	wat ? een rond 
B: 	ja 
A: 	ja 
A: 	nee het zijn een 
B: 	het zijn lijken het op een vogel 
A: 	dat zullen je zo 
B: 	hebben die twee van die stok zeggen maar twee van die 
A: 	twee stok ja 
B: 	ik vinden het op het Twittervogeltje lijken 
A: 	dat zullen ook kunnen 
A: 	ja maar ik vinden hem ja in ieder geval dat zijn hem denken ik met zo'n met zo'n neus wat naar één kant wijzen een beetje raar neusje hebben die 
B: 	ja 
B: 	precies ja 
A: 	en een soort van raar staart wat die dan nog ver hebben 
B: 	precies dus hij hebben vier uitstulping 
A: 	ja 
A: 	ja 
B: 	waarvan er twee zo 
A: 	ja 
A: 	als je de hoed meetelen dan zijn het er vijf 
B: 	ja oké dan vijf inderdaad 
A: 	ja 
B: 	maar de twee stok dat die lopen parallel aan elkaar 
A: 	ja 
A: 	ja 
B: 	kijken 
A: 	ik denken dat ja 
B: 	oeh dan hebben we niet dan hebben we de I 
B: 	het zijn de I 
B: 	ik zitten even te kijken of het de hoofdletter maar het zijn een hoofdletter 
A: 	bij mij staan die als je de als je de B van het beeldscherm naar boven trekken 
A: 	en net aan de linkerkant bovenin 
B: 	ja 
B: 	bij mij ook er zullen in principe een klein nog Erboven kunnen 
A: 	ja 
B: 	die vorig die we net hebben dat uilt zeggen maar 
A: 	ja 
B: 	die zullen dan nog op de lijn van de B vallen en degeen die het dan niet raken dat zijn dan I 
A: 	ja ja 
A: 	ja 
B: 	oké 
A: 	bij mij ook 
B: 	dan en naast aan de linkerkant kunnen er nog drie ongeveer 
A: 	ja bij mij ook 
B: 	dan denken ik dat we dezelfde hebben dus dat zijn geel 
A: 	oké top 
B: 	dit zijn het vogel zeggen maar met het feestmutsje dat niet helemaal af zijn 
A: 	ja 
B: 	met die twee parallel blok 
A: 	ja 
A: 	ja dat zijn dan Numero twee 
B: 	bij mij zitten die aan de linkerkant 
A: 	ja bij mij ook 
B: 	als jij het beeldscherm in zo zullen gaan verdelen zeggen maar in vierkant dan vallen die link onderin net onder die streep 
B: 	er zullen daaronder zullen er nog één kunnen 
A: 	ja 
B: 	link 
A: 	daarnaast bij mij links daarvan ook nog één 
B: 	één en aan de rechterkant zullen er dus ook nog wat kunnen en aan de bovenkant één twee drie 
A: 	twee drie ja 
A: 	dan staan die op dezelfde plek 
B: 	ja ? top 
A: 	dit zijn die Pinokkio met die twee uitstellingen en een half hoed 
A: 	dat half hoed 
B: 	het half hoed of het 
A: 	het half hoed en die neus aan de zijkant 
B: 	naar rechts 
A: 	ja en van die twee twee plank 
B: 	ja maar het zijn het heel hoed wat die hebben volgens hebben 
A: 	en en die twee plank 
A: 	hoe noemen we die ook alweer eens 
B: 	nee de Twittervogel zeker 
A: 	de Twittervogel ja 
B: 	oké dan misgaan het dus met die parallel staafjes 
A: 	ja met die parallel plank ja 
B: 	dan gaan het om M de driepoot M 
A: 	hij staan bij mij aan de linkerkant 
B: 	ja 
A: 	vrij onderaan 
B: 	ja 
A: 	er zullen er misschien nog één helemaal links kunnen 
A: 	zullen misschien net passen bij mij 
B: 	bij mij zullen dan zeggen maar het toren het uitstulpsel van het toren zullen daar dan net een beetje tussen kunnen 
B: 	ongeveer ik hebben ongeveer zoveel ruimte 
A: 	ja ik weten niet of je dat mogen doen eigenlijk ja dat hebben ik ja dat weten ik niet 
B: 	mogen dat niet 
A: 	maar in ieder geval zoveel ruimte hebben ik denken ik ook nog wel 
A: 	ja het moeten geen heel groot zijn nee als het kanon ertussen gaan dan past het niet 
B: 	nee 
B: 	nee en bij mij passen er niks veel onder 
A: 	nee bij mij ook niet 
B: 	en ja hij staan zeggen maar in het als je het beelscherm in vier zullen delen of vijven dan zullen die in het één gedeelte vallen 
A: 	maar ik denken dat die op dezelfde plek staan dan 
A: 	ja bij mij ook 
B: 	ongeveer voor jou 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn het vogel Twittervogeltje 
A: 	het Twittervogeltje 
B: 	met de parallel stok 
A: 	ja dat zijn Numero negen 
B: 	bij mij staan die link bovenin of nou ja in ieder geval boven en dan links 
A: 	ja 
A: 	ja 
B: 	stellen dat je 
B: 	B omhoogtrekt de lijn naar links daartussen kunnen niks veel daar komen het vogel zitten dan ongeveer nog drie vingerlengte daarboven drie vingerlengte aan de rechterkant 
B: 	eronder kunnen er een stuk of drie en een half vier 
A: 	ja 
A: 	ja boven niks veel 
B: 	aan de linkerkant 
B: 	nee ja de je hebben drie vingerlengte ongeveer 
A: 	je hebben wel wat ruimte maar er kunnen niks veel 
A: 	ja 
A: 	en aan de linkerkant een stuk of twee en een half ja 
B: 	twee en een half 
B: 	ja 
B: 	staan die op dezelfde plek 
A: 	ja 
A: 	jou Twittervogeltje 
B: 	ja dan gaan het om F 
A: 	hij staan bij mij als je het midden hebben vrij snel aan de rechterkant 
B: 	ja 
B: 	er kunnen niks veel onder 
A: 	kunnen niks veel onder 
B: 	drie vingerlengte ongeveer als je de Q omhoogtrekken dan vallen die bij mij zeggen maar naar rechts vallen die daar eigenlijk vrijwel snel daarna 
A: 	ja 
A: 	ja 
A: 	je hebben de ja er kunnen niks veel tussen laat maar zeggen 
B: 	nee 
A: 	en dan vrij onderaan 
B: 	ja 
A: 	ja 
B: 	staan die op dezelfde plek 
B: 	het nee stoppen het vogel 
A: 	jou jou Twittervogeltje 
B: 	ja 
A: 	dat zijn Numero zes 
B: 	als je 
B: 	stellen je zullen het scherm in vier delen en je zullen dan delen vanaf B omhoog met de rood pin 
A: 	ja 
B: 	dan in het rechterhoek 
B: 	van link zeggen maar links onderin 
B: 	dus je creëren je creërt vak 
A: 	maar bij mij staan die vrij eigenlijk in het midden 
B: 	je creëren ja maar hij vallen namelijk precies op die lijn 
B: 	als je B omhoogtrekt 
A: 	ja 
B: 	en je nemen de rood pin neem je zeggen maar die dat kruisen elkaar zo 
A: 	ja 
B: 	dan hebben je vier vak en dan hebben je Linksboven rechtsboven linksonder 
A: 	dan dan vallen die 
A: 	ja 
A: 	en dan vallen die link onderin 
B: 	linksonder en dan echt in het hoek 
A: 	van linksonder ja 
B: 	het het het vakje van linksonder rechts bovenin 
A: 	ja 
B: 	snapan je wat ik bedoelen 
A: 	ja ja ja ik snapen wat je bedoelen 
B: 	daar vallen die precies mooi in 
A: 	dan staan die denken op dezelfde plek 
