A: 	ik hebben nu ja er steken zeggen maar links en rechts een soort van pilaar uit 
A: 	het lijken een beetje op een zoutpo met zo'n bol zeggen maar nog erbovenop op die pilaar een soort van 
B: 	ja 
A: 	en aan de achterkant steken een soort van klep uit en daaruit steken weer een soort van buis 
B: 	ja 
B: 	dat zijn bij mij K 
A: 	oké 
A: 	ja en die staan bij mij links bovenin er passen denken ik precies één naast en één boven maar er staan 
B: 	ja 
A: 	ja er staan rechtsond staan er één maar voor de rest niks eromheen 
B: 	nee bij mij staan er recht onder één 
B: 	maar dan zullen er inderdaad aan al kant zijn zijn ongeveer evenveel ruimte waar nog één zullen passen 
A: 	ja 
A: 	ja recht eronder staan inderdaad nog één figuurt 
B: 	ja 
A: 	ja 
B: 	dan zijn het denken ik dezelfde 
A: 	ja 
B: 	deze hebben die soort zoutpo aan de zijkant 
B: 	en het kle aan de achterkant met nog iets eraan 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	en die staan bij mij een beetje rechts bovenin best wel in het midden passen nog wel een groot boven en één ernaast 
B: 	ja 
B: 	ik denken dat het dezelfde zijn 
A: 	oké 
A: 	even kijken dit zijn die een met die zout pott zeggen maar aan de zijkant 
B: 	ja 
A: 	en achteruit die klep met weer dat daaruit weer dat aansteeksel uitsteeksel 
B: 	ja 
B: 	dat zijn bij mij F 
B: 	en hij staan beetje linksboven van het midden 
A: 	nee dat denken ik niet want bij mij staan die hij staan wel zeg maar op een kwart van het scherm ongeveer 
A: 	qua links rechts 
A: 	maar wel een heel iets onder het midden maar ik denken dat de middellijn erdoorheen doorgaan nog 
B: 	ik denken dat de mijn iets veel naar rechts staan dan een kwart 
B: 	en dat die net boven het midden staan 
B: 	op het midden of net Erboven 
A: 	oké 
B: 	of zullen 
A: 	staan die van jou dan zeggen maar ook best wel heel dicht bij het midden 
A: 	toch nog wel 
B: 	ja 
A: 	oké ja dat zijn niet dezelfde 
B: 	oké 
A: 	denken ik 
B: 	deze zijn met die zout ding 
B: 	aan de zijkant 
A: 	ja dat zijn nummer drie 
A: 	en die staan bij mij helemaal links best wel onderaan 
B: 	er staan er nog één link van bij mij 
A: 	nee dat zijn niet hetzelfde 
A: 	of ja zeggen maar op dezelfde hoogte staan er één link van 
B: 	er zullen 
B: 	ja 
B: 	er zullen er nog er zullen er daarnaast zullen er nog één link passen 
A: 	ja 
A: 	ja dan hebben jij denken ik want er afstaan er twee daar zo onderaan en ik hebben dan denken ik de linker en jij de rechter nu denken ik ja 
B: 	die er 
B: 	ja 
B: 	ik denken het ook 
A: 	oké dus rood 
A: 	dit zijn met die zoutding zeggen maar aan de zijkant 
B: 	ja 
B: 	even kijken 
B: 	dat zijn bij mij L 
B: 	en hij staan rechtsonder 
B: 	niet echt in de hoek 
B: 	maar zeggen maar wel in één lijn zo met de hoek 
A: 	nee bij mij zijn 
B: 	als je een kruis zullen trekken door het scherm 
A: 	ja nee bij mij staan die echt wel tegen het midden aan 
B: 	oké 
B: 	dan zijn het niet dezelfde 
B: 	met die zoutpo 
A: 	ja dat zijn nummer vijf 
A: 	en die staan van links naar rechts best wel in het midden en dan ook best wel naar onder maar er past er nog wel één onder 
B: 	ja 
A: 	oké 
B: 	staan er zo één schuin rechts van nog 
A: 	ja 
B: 	onder 
A: 	ja 
