B: 	ja deze hij hebben aan het zijn ook weer zo'n zo'n kop natuurlijk aan de voorkant een rond en aan beide kant drie van die kraal 
A: 	beetje als Pippi Langkousvlechtjes 
B: 	ja ja precies ja 
A: 	ja 
A: 	oké dat zijn vijf voor mij 
B: 	en dan als we weer een kruis trekken dan vallen die in dit geval aan de linkerkant en halverwege het linkervak onder 
B: 	en daar bovenin 
B: 	dus een kruis 
B: 	linkerhelft van van het het verticaal vlak en dan het horizontaal vlak onder 
A: 	oké nee die van mij zitten aan de bovenkant dus dan zijn het duidelijk wat ander 
B: 	oké dan hebben we niet dezelfde 
A: 	dit zijn degeen met die Pippi Langkousvlechtjes en dat groot cirkel wel 
B: 	yes dat zijn voor mij nummer J of letter J 
A: 	die zitten voor mij zo rechtsonder als het maar kunnen 
B: 	nee voor mij niet er zitten bij mij nog ook iets rechts naast 
A: 	nee bij mij kunnen er heel duidelijk niks veel naast 
B: 	oké dan hebben we het niet over dezelfde 
B: 	dit zijn wederom die met die Pippi Langkous vlechtjes 
A: 	check dat zijn elf 
B: 	staan in ieder geval aan de linkerkant 
B: 	en ik denken dat de horizontaal lijn erdoorheen lopen 
A: 	daar hebben ik er veel van staat daar als je in diezelfde linker bovenvlak blijven staan daar bij jou nog rechts iets van 
B: 	ja maar wel boven de lijn 
A: 	ja maar wel iets naar boven ja 
B: 	ja dat zijn die met die waterval aan de achterkant 
A: 	ja nee want daar staan die bij mij dus dan hebben we niet dezelfde 
B: 	dan hebben we niet hetzelfde 
B: 	nee 
A: 	dit zijn die met de Pippi Langkousvlechtjes 
B: 	ja 
B: 	dat zijn P voor mij 
A: 	die zitten voor mij in het rechterbovenvak en dan Linksboven 
A: 	er zullen nog wel iets naast kunnen maar de veel linksboven van het rechterbovenvak 
B: 	ja 
B: 	dan hebben we niet hetzelfde links en rechts staan voor mij 
A: 	nee dan heel duidelijk niet 
B: 	dus dat worden dan rood 
B: 	dit zijn weer de Pippi Langkousvlechtjes 
A: 	ja dat zijn negen voor mij 
B: 	ja 
B: 	hij staan wel hij staan echt mooi mooi in het midden en de lijn lopen erdoorheen ja 
A: 	ik zitten ook even 
B: 	even kijken de verticaal lijn lopen er echt precies doorheen hij staan helemaal bovenin 
A: 	nee staan niet helemaal bovenin bij mij 
B: 	oké 
A: 	maar volgens mij nee want jij hebben daaronder die tafel 
B: 	ja 
A: 	ja nee die tafel staan bij mij andersom volgens mij 
A: 	Pippi Langkous 
B: 	L 
A: 	die zitten voor mij in het linkerbovenvak en dan in de rechterbovenhoek 
B: 	nee totaal niet 
B: 	bij mij staan die zelfs rechts 
