A: 	oké dit vinden ik wel met de dansen been ik noemen het een Pinokkiokopje met dansen been 
A: 	dus het zijn echt een kop met een lang neus als het zijn en achter op het hoofd zitten ook nog één of ander gek figuur 
A: 	maar het hebben zeggen maar één been aan de onderkant en één aan de zijkant en die vinden ik het lijken of ze aan het dansen zijn 
B: 	hebben die een punthoofd 
A: 	nee 
B: 	oké 
A: 	echt een lang hexagonfiguur aan de als neus zeggen maar of aan de voorkant 
A: 	en dan één zeggen maar been aan de onderkant 
A: 	en één zo'n zelfde been aan de rechterkant 
A: 	volgens mij zijn er zijn er daar maar één van 
A: 	en dan bovenop zijn zijn het zeggen maar twee dun 
A: 	vierkant naast naast elkaar met aan de beide kant zo'n uitsteeksel 
B: 	ja ja ik weten welk het zijn 
B: 	dat zijn M bij mij 
A: 	oké die staan dan 
A: 	als we vanaf links gaan dan hebben we één helemaal links dan twee daarboven en dan twee wat veel naar beneden en daarvan zijn het de boven 
B: 	van die naar beneden 
A: 	ja 
B: 	oké dan staan die bij mij op een ander plek 
B: 	dit zijn die Pinokkio van jou 
A: 	die dansen Pinokkio 
B: 	ja 
A: 	oké dat zijn nummer negen 
B: 	en hij staan op de onderste rij de linker 
A: 	dat zijn hetzelfde 
A: 	dit zijn dansen Pinokkio maar zijn been zijn een beetje afgehakt 
A: 	maar die 
B: 	ja ja 
B: 	dat zijn H 
A: 	en die staan niet de veel linkerrij maar de rij daarnaast en daarvan de boven 
B: 	ja 
B: 	dit zijn Pinokkio 
A: 	oké dat zijn elf 
B: 	en dat zijn de bovenste rij van die vijf de veel 
A: 	ja ja 
A: 	gelijk 
A: 	dit zijn dansen Pinokkio 
B: 	ja dat zijn D 
A: 	die staan niet helemaal links maar dan die twee die daarnaast staan en dan de onder 
B: 	oké dat zijn niet gelijk 
B: 	de Pinokkio 
A: 	dat zijn veertien 
A: 	en ja jij zijn 
B: 	en de aan de linkerrij de middel 
A: 	helemaal linker 
B: 	helemaal links en dan in het midden 
A: 	oké dat zijn niet gelijk 
