B: 	oké deze hebben zo'n plaat vierkant maar dan halverwege 
B: 	en het lijken een beetje alsof die zo'n armp opsteekken en dan zo'n slurf hebben aan de voorkant 
A: 	en dan twee van die dinget 
B: 	ja 
A: 	dan zijn dat nummer zes 
B: 	hij staan bij mij helemaal bovenaan 
B: 	en dan iets veel dan over de helft naar rechts toe 
A: 	nee zeggen maar de drie het drie kop van rechts als je het zo zullen 
B: 	ja 
A: 	drie rij van rechts 
B: 	er staan zeggen maar nog twee kop rechts 
A: 	en dan 
A: 	en ja en dan helemaal bovenaan 
B: 	ja 
A: 	dan hebben wij hem op dezelfde plek staan 
A: 	en dat zijn geel toch 
A: 	of zijn dat nou 
B: 	geel ja 
A: 	dat zijn geel ja 
A: 	ja dit zijn die met die plaat die zeggen maar op een kwart van de onderkant zitten 
A: 	met die twee klein staafjes aan de bovenkant 
B: 	ja 
A: 	dat armdinge en één en die glijbaan 
B: 	en die slurf ja 
B: 	ja 
B: 	dat zijn C 
A: 	en hij staan helemaal bovenaan en dan iets veel 
A: 	ja dat zijn misschien niet veel maar iets veel naar links dan de vorig maar nog steeds wel best wel naar rechts zeggen maar drie lijn 
B: 	ja 
A: 	weten je nog waar de vorig ongeveer staan met het piramide 
B: 	nee 
A: 	ja helemaal bovenaan en dan 
B: 	maar 
B: 	ja hij staan helemaal bovenaan en dan ongeveer op de helft van de helft zullen ik zeggen 
B: 	zeggen maar op op driekwart van het scherm 
A: 	ja ja ja ja ja 
A: 	ja 
B: 	ja dan staan ze op dezelfde plek 
B: 	dit zijn weer die met die vierkant plaat op op ongeveer een kwart van het kop 
B: 	met dat armp omhoog met die twee klein stokjes op een kop 
A: 	ja 
A: 	nummer dertien 
B: 	en hij staan Linksboven 
A: 	hij staan bij mij links in het midden 
A: 	dus dat zijn rood 
B: 	ja 
A: 	ja dit zijn die met dat vierkantje op een kwart van onder 
A: 	de twee klein staafjes aan de bovenkant 
B: 	ja 
A: 	de glijbaan en het zwaaiend armp 
B: 	met de 
B: 	en het armp 
B: 	dat zijn J 
A: 	en dan staan die bij mij zeggen maar bijna op de middellijn onderaan iets rechts van het midden onderaan 
B: 	ja 
B: 	die staan op dezelfde plek 
B: 	dit zijn weer met die vierkant plaat op één vier ongeveer met die twee klein cilindertjes bovenop en dat armp omhoog 
A: 	dinget 
A: 	ja nummer negen 
B: 	en hij staan rechts 
B: 	bijna het veel maar er zijn er één die net iets veel rechts staan en dan iets boven de middellijn één boven de middellijn denken ik 
A: 	ja nee daar staan die niet bij mij staan die helemaal rechts en onder de middellijn 
A: 	het kop met de twee klein staafjes erbovenop de vierkant op een kwart de glijbaan en het armp 
B: 	ja ja dat zijn N 
A: 	en hij bekendstaan eigenlijk bij mij helemaal bovenaan 
A: 	bovenste rij 
A: 	en dan eigenlijk bijna helemaal in het midden iets naar rechts daarvan 
B: 	ja dan staan ze op dezelfde plek 
