A: 	dan zijn het niet gelijk 
A: 	ja dit zijn de mok die aan de linkerkant een een hengsel hebben waarbij het een soort van lijken alsof er een tentharing in opsteken 
A: 	vinden ik 
B: 	zien ja 
A: 	dat zijn een soort van pin met een vierkant 
B: 	ja 
B: 	ja 
B: 	met vierkant bovenkant eraan ja dat zijn bij mij L 
A: 	ja 
A: 	oké 
A: 	en hij staan zeggen maar in het vak linksonder 
A: 	en dan eigenlijk net een beetje naast het midden 
B: 	bij mij staan die richting rand van het scherm 
A: 	onderin 
A: 	aan de onderkant of links of zo 
B: 	ja nee hij het het object zelf er zullen niks veel naast kunnen aan de linkerkant hij zitten veel aan de richting rand 
A: 	oké 
A: 	nee dat zijn 
B: 	dan zijn het 
A: 	dat zijn anders 
B: 	yes 
B: 	ik hebben de basisvorm waar aan de voorkant op een soort plateau een cirkel zijn vormen met een voe daaraan dus aan vast steken 
B: 	en ja ik weten niet hoe ik de maar wat je eerder zeggen als een soort tenthaak die dan met een vierkantje als een soort uitsteeksel op op het ander uitsteeksel 
A: 	zijn dat mijn tentharing 
B: 	vastzetten 
B: 	ja precies ja 
A: 	ja 
B: 	dat wel 
A: 	ja dat zijn nummer zeven hier 
B: 	dat dan zitten die aan de de verticaal lijn Linksboven 
A: 	ja hij zitten hier ergens ander 
A: 	en dit zijn de mok met de tentharing 
B: 	ah 
B: 	ja even zien 
B: 	dat zijn dan bij mij even zoeken ja C 
A: 	en die staan eigenlijk in het midden van de bovenste twee vlak van het van de bovenste helft van het scherm 
A: 	staan die eigenlijk op die scheidingslijn 
B: 	dan staan die bij mij ergens want bij mij staan die als je hem in vier delen het scherm rechts in onder ja 
A: 	in het midden 
A: 	nee 
B: 	ik hebben degeen de tenthaakding en dan 
A: 	ah ja dat zijn nummer één 
B: 	ja 
B: 	en bij mij staan die dan de iets over de horizontaal middellijn aan de linkerkant er kunnen 
A: 	ja 
A: 	hier ook 
A: 	gelijk 
A: 	dit zijn de mok met de tentharing 
B: 	ah ja die staan bij mij even zoeken ja A zijn dat 
A: 	ja 
A: 	en hij bekendstaan eigenlijk op het midden van de horizontaal lijn 
B: 	ja 
A: 	en dan tussen vlak linksboven en linksonder 
B: 	ja ik denken dat dat hetzelfde zijn 
B: 	ik hebben degeen met de de tentharing eruit steken 
A: 	welk zeggen je met de 
B: 	met de tent haaken daar yes juist ja zijn ja 
A: 	de ja 
A: 	ja nummer dertien 
B: 	bij mij staan die dan linksonder 
B: 	veel richting het midden van dat kwart 
B: 	richting de horizontaal lijn denken 
A: 	niet helemaal links aan het scherm dat er niks veel naast kunnen 
B: 	precies ja 
A: 	of wel 
B: 	er kunnen zowel links als rechts nog iets naast 
A: 	oké 
A: 	hier niet 
