A: 	oké ja ik hebben het als met die drie woord hebben ik het eigenlijk beschrijven als een neus neuspiercing je zien gewoon een bol erop en 
A: 	een vierkant staaf gaan erdoorheen met op het einde aan die staaf zitten een cirkel en dan hebben die nog zo'n pluk pluk haar of zo ja 
B: 	ja 
B: 	ja en nog één flap aan de achterkant 
B: 	ja ja 
B: 	oké dan F 
A: 	bij mij staan die aan de rechterkant van het scherm en eigenlijk op de hoogte zeggen maar in het midden van het scherm 
B: 	ja 
A: 	als je het in even kijken ja echt als je zeggen maar de rechterhelft van het scherm pakken precies in de in het midden van de rechterhelft 
B: 	ja 
B: 	dan zijn het niet op dezelfde plek 
A: 	oké 
B: 	de neuspiercing 
B: 	met met het rond aan de ander kant 
A: 	oké 
A: 	ja even kijken ja vijf 
B: 	bij mij staan die eigenlijk als je het veld in vier kwadrant opdeelen in het midden van het Linksbovenkwadrant 
A: 	midden van Linksboven nee 
B: 	oké misschien iets veel naar het midden van het geheel veld maar wel echt daar 
A: 	van het midden van wattuh 
B: 	het midden van het Linksbovenkwadrant 
A: 	ja ja ja 
B: 	en dan iets naar beneden en iets naar rechts 
A: 	iets naar beneden en iets naar rechts 
A: 	oké ja bij mij staan die bij de linksbovenkwadrant echt tegen het rand van de rechterkant aan 
B: 	het midden 
A: 	net tegen het rand van de rechterkant aan zowat 
B: 	nee 
B: 	nee nee nee dat zijn te ver 
A: 	nou of trouwens 
B: 	als je hem in kwadrant opdeelen in vier 
A: 	ja ja ja 
A: 	nee ik denken dat die op zich wel op de goed plek zitten want nee hij zitten wel goed ja 
B: 	oké 
A: 	ja 
A: 	neuspiercing 
B: 	ja A 
A: 	en bij mij staan die in het rechtsonderkwadrant redelijk in het midden van het kwadrant 
B: 	nee nee nee bij mij staan die op de middellijn van de hoogte laten maar zeggen 
A: 	van de echt op de ja nee dan zitten die niet goed 
B: 	als je 
B: 	ja 
B: 	moeten even wat links en rechts zijn de neuspiercing 
A: 	neuspiercing dat zijn vijf 
B: 	en dan staan die in het rechtsbovenkwadrant maar net als je de hoogte gewoon van het heel scherm het midden pakken 
B: 	net iets naar boven 
A: 	ja ja ja 
B: 	en dan ook als je het midden scherm pakken ook aan de rechterkant daarvan 
A: 	ja daar staan die bij mij ook 
A: 	de neuspiercing 
B: 	ja searching H 
A: 	bij mij staan die onderin 
A: 	niet helemaal onderin 
B: 	ja 
A: 	ongeveer zeggen maar vanaf de onderste helft redelijk in het midden een klein 
B: 	ja op één drie 
A: 	ja 
B: 	zoiets 
A: 	ja 
B: 	één drie van de onderste helft 
A: 	en dan en dan net een klein stuk rechts van het BenQteken zeggen maar 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	de neuspiercing 
A: 	nee 
A: 	de neuspiercing 
A: 	ah ja vijftien 
B: 	hij staan rechtsbovenkwadrant 
B: 	en dan ja smak in het midden van het rechtsbovenkwadrant 
B: 	misschien iets veel naar links ja 
A: 	klein tikkelt naar links 
A: 	ik zullen hem ook nog echt bijna op de middellijn of 
B: 	nee nee nee niet op de middellijn nee hij zitten wel echt qua hoogte in het midden van dat kwadrant 
A: 	nee nee nee 
A: 	dan hebben ik daar een ander 
A: 	het zijn de neuspiercing toch 
B: 	ja neuspiercing 
A: 	ja ja 
A: 	nee dan zitten deze fout 
