A: 	dan hebben ik ik vinden deze zelf een soort vogel lijken 
A: 	hij hebben een soort bovenop hebben die een soort kuif 
A: 	en dan twee dezelfde balk naar rechts en dan een soort armp naar links en dan nog een staart eronder 
B: 	ja 
B: 	wachten 
B: 	dus je hebben twee balk aan de rechterkant 
A: 	ja twee 
B: 	en aan de linkerkant een soort pinne en een soort voe 
A: 	ja 
B: 	en bovenop zo'n ja zijn niet echt een punt een punt met een plat dak 
A: 	ja 
A: 	ja veel een soort trapezefiguur 
B: 	ja 
B: 	ja 
B: 	I 
A: 	nou dan staan die bij mij nou ongeveer anderhalf naar links en twee naar boven 
A: 	vanaf het midden zien 
B: 	ja dat zijn weer zo'n tricky 
B: 	ik denken dat die bij mij maar één naar links bekendstaan niet anderhalf 
A: 	ja 
A: 	ja nou misschien ik denken dat het wel zijn want ik weten niet als het midden ongeveer hier zijn 
A: 	ja dan zijn het op zich wel één naar link denken ik 
A: 	ik zullen ik zullen wel doen 
B: 	wel doen 
A: 	ja 
B: 	en je hebben er ruimte boven dat er nog één tussen past 
A: 	ja 
A: 	ja zeker 
B: 	ja dan gaan ik voor wel 
B: 	ik hebben dat wat jij net dat vogel noemen met zeggen maar twee van die flap rechts 
B: 	dat kuifje poo en een 
A: 	dat zijn bij mij nummer twee 
B: 	ja 
B: 	bij mij staan die naar links en er kunnen nog ruim een figuur naast en ruim een figuur onder 
A: 	ja hebben ik ook 
A: 	ik hebben dat vogel weer 
B: 	oké 
B: 	dat zijn M 
A: 	en bij mij staan die helemaal linksonder 
A: 	kunnen nog één link tussen en een half eronder 
B: 	ja dat zijn hetzelfde 
B: 	ik hebben het vogel 
A: 	die zijn 
B: 	met die twee balk aan de rechterkant 
A: 	nummer negen 
A: 	ja 
B: 	en die staan bij mij een goed stap naar links en er passen nog iets klein boven 
A: 	hebben ik ook 
A: 	ik hebben het vogel 
B: 	het vogel 
B: 	dat zijn bij mij F 
A: 	staan die net iets naar rechts en er kunnen nog één onder 
A: 	nog een klein kunnen eronder 
B: 	ja heel klein 
B: 	centimeter of drie vier 
A: 	ja 
B: 	oké 
A: 	ik zullen zeggen van wel 
B: 	ik hebben het vogel 
A: 	nummer zes 
B: 	en hij staan een stap van het midden af 
A: 	naar links 
B: 	naar links toe en net iets onder het midden 
