B: 	het toren 
A: 	ja 
B: 	dat zijn met het dinge 
A: 	dat zijn Numero vier 
B: 	bij mij staan die helemaal rechts in het hoek 
A: 	bij mij niet 
A: 	bij mij staan er nog tenminste nog wel echt ding tussen dus 
B: 	nee bij mij staan die zeggen maar echt in het hoek 
A: 	ja oké 
A: 	dan staan die niet op dezelfde plek 
A: 	ja dit zijn de kasteel met het spiraal eronder 
B: 	ja 
B: 	dan zijn het A 
A: 	en hij staan bij mij aan de linkerkant 
B: 	ja 
A: 	in het midden eigenlijk eigenlijk best wel in het midden gewoon 
B: 	ja en 
A: 	er gewoon gewoon in het midden van het geheel van het linkervlak 
B: 	ja 
A: 	er kunnen er twee boven denken twee anderhalf onder denken één anderhalf 
B: 	ja en dan wel vol twee eronder 
A: 	vol twee eronder 
B: 	ja 
A: 	bij mij eerder vol ik zullen eerder 
B: 	twee en een half 
A: 	nee nee nee nee dan staan die niet op dezelfde plek 
A: 	bij mij kunnen er echt maar twee onder hooguit 
A: 	echt niet veel 
A: 	en ik denken als je dat figuurt nee echt niet 
A: 	twee onder hooguit bij mij 
A: 	en dat een figuurtje staan er bij mij al heel dicht op 
A: 	dus ik zullen zeggen twee boven twee onder bij mij 
B: 	bij mij net anderhalf boven en dan maar dit zijn net een inschatting weten je ? wat jij anderhalf vinden kunnen ik twee vinden 
A: 	ja 
A: 	ja true ze zijn natuurlijk ook niet allemaal even gelijk 
A: 	maar maar 
B: 	hebben jij een een rood staaf ook aan de zijkant van je computer zitten 
A: 	ja 
B: 	van je beeldscherm 
A: 	ja 
B: 	bij mij zijn dat rood staaf zitten ongeveer op de helft van het toren 
A: 	nee daar zitten die bij mij echt niet 
B: 	zitten die ongeveer op dezelfde hoogte het dinge jawel hè ? ja 
B: 	het zijn zeggen maar waar zeggen maar de dat kronkelding het het het statiefje op het op het kop komen daar zitten ongeveer bij mij het midden 
A: 	nee nee nee nee maar dan staan die echt niet op dezelfde plek 
A: 	nee maar dan zitten die echt niet op dezelfde plek want bij mij raken het staaf hem nog geen eens aan denken ik 
B: 	oké 
B: 	bij jou zitten die veel omhoog 
A: 	veel omlaag 
B: 	veel omlaag 
A: 	bij mij komen die misschien net op dat bovenste blok uit als je het 
B: 	nee 
B: 	nee 
A: 	oké 
B: 	oké 
B: 	dan staan die dus niet op dezelfde plaak plaak plaats 
B: 	het toren 
A: 	het toren dat zijn Numero tien 
B: 	helemaal links onderin zeggen maar in het midden 
B: 	dus we hebben net hebben we die Pinokkio met de met die hanenkam 
A: 	ja 
B: 	hij zitten zeggen maar in het verlengen daarvan helemaal onderaan past niks veel onder 
A: 	ja hij zitten in het midden van de linkerkant helemaal onderaan 
B: 	ja ja zeggen maar in het we hebben net dan Pinokkio dat staan ook op dezelfde plek 
A: 	ja 
A: 	ja 
B: 	vrijwel nou ja naar twee minuut naar rechts zeggen maar 
A: 	ja oké 
B: 	top 
A: 	zelfde plek 
A: 	het toren 
B: 	ja dat zijn L 
A: 	hij staan bij mij rechts in de hoek 
B: 	boven ? onder 
A: 	boven 
B: 	ja 
A: 	en er kunnen er eigenlijk ja je hebben boven nog wel wat ruimte maar daar zullen niks worden plaatsen en aan de je hebben ongeveer 
A: 	aan de beide kant een half kop of zo kunnen je er nog neerzetten denken ik 
B: 	ja maar aan allebei de kant zijn evenveel ruimte ongeveer 
A: 	ja 
A: 	ja 
B: 	ja bij mij ook 
A: 	oké dan staan die op dezelfde plek 
B: 	het toren 
A: 	dat zijn Numero vier 
B: 	als je de letter of als je de B omhoogtrekt 
A: 	ja 
B: 	dan val 
A: 	raken je hem net misschien 
B: 	dan raak je hem echt net 
A: 	dat blok misschien 
B: 	ja 
A: 	en dan aan de linkerkant en dan in het midden 
B: 	hij nou 
A: 	bij mij kunnen er denken ik anderhalf onder of zo 
B: 	ja en dan ongeveer twee daarboven 
A: 	ja 
B: 	ja maar goed als je de B omhoogtrekt dan raken die het blok en dan in het midden staan die 
A: 	ja 
B: 	als je de pin omhoogtrekt dan raken die hem net niet 
A: 	nee 
B: 	goed 
A: 	oké 
A: 	dan staan die op dezelfde plek 
A: 	het toren 
B: 	ja dat zijn F 
A: 	de N en Q raken hem wel 
B: 	de 
A: 	hij staan vrij 
A: 	de N en de Q 
B: 	bij mij helemaal niet 
B: 	bij mij hebben je net het vogel en daar staan die dan net daarboven dus dan hebben je weer die vak en dan staan hij zeggen maar links bovenin rechts 
A: 	oké 
A: 	nee nee nee nee dan staan die niet echt niet op dezelfde plek 
B: 	oké 
