B: 	dit zijn je hebben weer zeggen maar dat basisvormpje en dan komen er een stok 
A: 	ja 
B: 	achter vandaan of zo met allemaal soort van bollet 
A: 	ja ja 
B: 	en er zitten een rond voor 
A: 	en aan de voorkant zitten zo'n rond met zo'n 
B: 	met een blaad of weten ik veel 
A: 	ja 
A: 	en hij zitten ook op een vierkant vlak 
B: 	ja hij zitten ja 
A: 	ja oké dan weten ik het 
B: 	oké 
A: 	dat zijn vijf 
B: 	hij zitten bij mij links maar niet helemaal links hij zijn ongeveer de drie van link 
B: 	en dan iets veel naar onder dan naar boven 
A: 	bij mij zijn die wel echt de twee van link 
A: 	en dan de van boven naar beneden zitten die net iets boven naar ja op de middengren maar net iets Erboven 
B: 	oké dan zitten ze niet op dezelfde plek 
A: 	nee dat denken ik ook niet 
B: 	nee 
A: 	oké dat moeten ik dan doen ja 
A: 	zijn niet 
A: 	ik hebben die een met die balle aan de achterkant 
B: 	de balle aan achterkant 
A: 	of ja wat zijn het ? het zijn allemaal van die losse stuk 
A: 	die jij die jij ook wel vrij snel in het begin hebben 
A: 	die hebben een soort bomme als neus 
B: 	ja 
A: 	en hij hij zitten op dat vierkant plateau dat zijn misschien het makkelijkst om te zeggen 
A: 	dus dat vierkant plateau zitten er niet doorheen maar die zitten eronder 
B: 	ja 
B: 	die zitten eronder en er zitten zo'n blad voor 
A: 	ja ja 
B: 	met zo'n steel dat naar beneden gaan 
A: 	zo'n 
A: 	ja precies 
B: 	ja oké dat zijn J 
A: 	bij mij zitten die rechts onderin 
A: 	helemaal 
B: 	helemaal rechts en helemaal onderin 
A: 	ja 
B: 	oké hij zitten bij mij wel helemaal onderin maar niet helemaal rechts 
B: 	er zitten er nog één en een half naast 
A: 	nee dan dan zijn het sowieso niet de goed nee 
B: 	oké 
B: 	ik hebben die met die die bal die bollet die zo aan de zijkant eruit komen 
A: 	ja 
A: 	en dat dinge aan de voorkant 
B: 	ja 
A: 	ja dat zijn elf 
B: 	en hij zitten ik denken één link van het midden 
B: 	en hij zitten iets veel onder het midden 
A: 	eronder 
B: 	ja onder 
A: 	nee dat hebben ik niet 
A: 	en hij zitten ook hij zitten eigenlijk vrij dicht tegen het midden aan 
B: 	nou nee dan zijn het niet dezelfde plek 
A: 	ik denken het ook niet nee 
A: 	ik hebben diegene met die balle noemen ik het bollet aan de achterkant 
B: 	aan de zijkant 
A: 	ja 
A: 	ook aan zijkant ja 
B: 	ja oké dat zijn P 
A: 	bij mij zitten die aan de bovenkant wel 
A: 	niet helemaal bovenin 
A: 	en hij zitten als je de middellijn weer hebben dan zitten die ja zeggen maar rond de zes op die schaal weer 
B: 	oké 
B: 	oké 
B: 	zullen er nog hoeveel zullen er nog naast passen aan de rechterkant 
A: 	nou twee passen sowieso want die zitten er al naast 
A: 	ik ik denken wel bijna drie 
B: 	oké drie weten ik niet maar twee past sowieso wel 
A: 	en twee en een half 
B: 	ja ik hebben die helix en die die die armpjesding met dat blok ervoor 
A: 	ja 
B: 	maar die zijn best wel breed dus dat zijn een beetje moeilijk inschatten 
A: 	ja 
A: 	ik hebben er nu ja één zitten nog een beetje op dat deel van dat product wat we nu aan het beschrijven zijn maar er zitten er bij mij echt vier 
A: 	sowieso al maar eigenlijk zitten er twee en een half die sowieso al ernaast toepassen bij mij 
B: 	nou ik de ik denken het eigenlijk niet 
A: 	dat kunnen ik al zo zien 
A: 	als je hem op een schaal moeten zetten 
B: 	ik denken dat die dan wel bij bij zeven zitten 
A: 	ja 
A: 	ik hebben ik hebben er ook nog één naast staan bij hem met zo'n half rond ding aan de bovenkant van de van de mok 
A: 	of hebben je die niet 
B: 	die 
B: 	ja die maar die staan er aan de linkerkant naast 
A: 	ik hebben hem dus rechts 
B: 	oké 
B: 	nou dan staan die sowieso niet op dezelfde plek maar ik denken dat deze dan ook niet op dezelfde plek zijn 
A: 	nee 
A: 	nee denken het ook niet 
B: 	ik hebben de balk door het kop en het rond ding ervoor 
B: 	met het steelt eraan 
A: 	ja die balle allemaal toch 
B: 	ja 
A: 	ja 
A: 	zijn nummer negen 
B: 	en hij zitten ik denken iets rechts van het midden 
B: 	en wel best wel bovenaan ik denken dat er nog krap een half boven kunnen 
A: 	nee dat hebben ik niet bij mij passen er sowieso één heel boven en nog wel veel denken ik 
B: 	nou dan zijn het niet 
A: 	en hij zitten veel naar links 
A: 	nee 
B: 	niet dezelfde 
A: 	ik hebben die met die bollet 
B: 	ja 
A: 	die die staaf 
B: 	oké dat zijn L 
A: 	hij zitten niet helemaal bovenin maar er past nog een half boven denken ik 
B: 	bij mij passen er echt nog wel één en misschien nog wel veel boven 
A: 	nee dat hebben ik niet 
B: 	oké 
A: 	hij zitten boven de kip in ieder geval 
B: 	ja dat wel maar 
A: 	ja 
A: 	ja 
B: 	echt net Erboven 
A: 	maar niet 
A: 	nee dat hebben ik niet ik ik hebben er echt veel tussen zitten 
B: 	ik hebben al kliken 
A: 	ja nee kloppen 
A: 	zijn goed 
B: 	oké 
A: 	hij zijn sowieso goed nu 
