A: 	deze ik ik beschrijfen hem als zeggen maar zijn een dakraam die die licht weergeven 
A: 	op op het blok zeggen maar 
B: 	ja dat zijn bij mij L 
B: 	met zo aan de zijkant nog zo'n soort dienblad 
A: 	ja hebben een leuk ja 
B: 	ja 
B: 	ja 
B: 	oké dat zijn L 
A: 	ja 
A: 	staan die links onderaan 
A: 	aan aan echt precies in het midden van dat blok eigenlijk dus nou niet niet rechts en link zitten evenveel ruimte zeggen maar naar het ding toe 
B: 	als je zo een kwartje 
B: 	ja 
A: 	hij zitten wel onderaan van het blok als je boven en onder kijken 
B: 	oké nee dan staan die bij mij staan die namelijk echt helemaal tegen de rand aan de linkerkant 
B: 	dus dan denken ik niet dat die hetzelfde zitten 
A: 	nee oké 
B: 	nee oké rood 
B: 	oké dit zijn die met dat oberdienblaad en dat dakraam met dat schijnsel 
A: 	ja 
A: 	dat zijn 
B: 	ik vinden het een beetje zo'n Pacmandingetje wat daaronder zitten maar 
A: 	Pacman 
B: 	ja omdat die omdat die zo driekwart rond zijn zeggen maar dat die zo 
A: 	leuk 
B: 	maar 
A: 	juist ja 
A: 	dat zijn het dakraam met het dienblad 
B: 	ja die 
A: 	dat zijn de Pacman oké 
A: 	zijn nummer zeven 
B: 	die staan bij mij in het linksbovenste kwart zeggen maar 
A: 	ja 
B: 	en dan bijna tegen de middellijn aan 
B: 	niet helemaal maar bijna 
B: 	tegen de verticaal middellijn aan 
A: 	nee bij mij staan die bijna halverwege 
B: 	oké nee 
A: 	oké 
B: 	nee 
A: 	zijn het dakraam en en het dienblad 
B: 	ja 
B: 	en het die 
B: 	zonder te praten lukken het 
A: 	ja 
B: 	dat zijn bij mij C 
A: 	ja hij kruisen bijna de middellijn de verticaal lijn sorry 
B: 	ja 
A: 	iets veel neigen die dan naar de rechterkant toe 
A: 	en dan de de de verticaal de horizontaal lijn sorry 
A: 	daar staan die ja net boven 
B: 	net boven 
A: 	ja 
B: 	rechtsonder staan die bij mij 
A: 	nee nee boven 
A: 	sorry oké duidelijk 
B: 	rood 
B: 	nu hebben ik die met dat dienblad en dat dakraam 
A: 	nummer één 
B: 	en die staan bij mij aan de linkerkant 
B: 	ik denken dat het midden eigenlijk wel kruisen door het vak 
B: 	door het dakraam 
B: 	niet door de rest van dat ding 
A: 	ja oké 
A: 	het dakraam kruisen inderdaad ja 
B: 	en dan 
B: 	ja 
B: 	en dan aan de linkerkant 
A: 	hij neigen veel veel naar links naar de buitenkant toe dan naar de middellijn toe 
B: 	ja 
B: 	ja 
B: 	hij staan echt wel zo twee drie of zo naar 
A: 	ja zullen zullen net één blok misschien nog naast kunnen 
A: 	ja oké dan kloppen dat wel 
B: 	ja 
A: 	oké 
A: 	ik hebben het dienblad 
B: 	ja die dat zijn A 
A: 	ja hij staan links onderaan maar ja maar hij kruisen met de met met de lichtinval 
B: 	ja 
A: 	de de de horizontaal lijn 
B: 	ja 
A: 	hebben we deze niet al hebben 
B: 	bij mij ook denken ik 
B: 	ja dat denken ik ook dat die op dezelfde plek staan als net want volgens mij hebben ik hem ook zo omschrijven 
A: 	ja 
A: 	ja precies dat want dat lichtinval doorkruissen de horizontaal 
B: 	ja 
B: 	ik denken dat die hetzelfde staan 
A: 	ja 
A: 	dan staan die hetzelfde 
B: 	en dat die ook hetzelfde staan als twee opdracht geleden maar goed 
B: 	nu hebben ik die met dat dienblad en dat dakraam 
A: 	ja nummer dertien 
B: 	en die staan bij mij schuin boven die met die hanenkam 
B: 	eigenlijk daar dus die hanenkam die staan links onderin 
B: 	en deze staan een stuk er rechts van en eigenlijk een stuk naar boven 
A: 	nee hij kruisen bij mij de horizontaal 
B: 	nee 
A: 	nee zijn geruild met het met de rui 
B: 	ja oké ja 
A: 	ja 
A: 	dus dat kloppen niet 
B: 	nee 
B: 	dan hoeven ik niet te drukken natuur 
