B: 	goed de volgen zijn een een koffiekopje weer met een ja ik zien het een beetje als een een plank die je ook aan de muur zullen kunnen hangen 
B: 	en daar staan dan een een soort schaalt op 
B: 	er zitten voor het koffiekopje zien je een een soort houten stelsel 
B: 	met twee poot eraan 
B: 	en daar staan een bak op 
B: 	en aan het koffiekopje vast zitten een klein uitsteeksel 
B: 	aan de linkerkant 
B: 	het zijn best wel een groot gestelte wat ervoor zitten 
B: 	ja waarschijnlijk zien jij het niet als een plank 
A: 	hebben die een soort een soort piramideachtig op de bovenkant 
B: 	ja maar dan omgedraaien 
B: 	het zijn een een soort schaal een een vierkant schaalt wat dan een beetje naar elkaar toe lopen 
A: 	dus de 
B: 	waar je ook je ontbijt misschien in eten 
A: 	een soort dienblad 
B: 	ja een dienblad kunnen je het wel zien 
A: 	dienblad met twee schuin poot eronder 
B: 	ja 
A: 	oké en dan staan daar nog een soort bakblik op 
B: 	ja een soort bak erop 
A: 	ja en aan de achterkant een soort haak omhoog 
B: 	een een klein haak 
A: 	oké ja 
B: 	ja 
A: 	dat zijn nummer zestien 
B: 	oké 
B: 	nou bij mij als je het scherm weer door het midden delen met een horizontaal lijn staan die precies net iets onder die middellijn 
A: 	nee 
B: 	nee 
A: 	nee het zijn ook al net hebben je er één die rechtsboven staan en die kloppen ook al niet en deze staat bij mij helemaal rechtsboven 
B: 	ja 
B: 	nee 
A: 	dus nee dat 
B: 	ander plek dan 
A: 	het vierkant dienblad met de poot en de bakblik erop 
B: 	vierkant dienblad met poot en het bakblik erop 
B: 	waar hebben we die ook alweer 
A: 	en dienblad staan vrij hoog aan het koffiekopje 
B: 	ja ik weten welk je bedoelen maar ja ja 
B: 	en daar nee wachten 
B: 	ja 
B: 	met die twee poot eraan vast 
A: 	ja 
B: 	en zo'n klein uitsteeksel aan de linkerkant 
A: 	haak aan de achterkant 
A: 	ja 
B: 	ja 
B: 	dat zijn letter P 
A: 	als we in de rechterkant van het scherm kijken hebben we net dat er drie bijna recht onder elkaar staan 
B: 	ja 
A: 	en hij staan zo in het midden qua hoogte dat ik hem niet echt aan een hoog of laag kwadrant zullen geven 
B: 	nee hij staan echt precies op die lijn 
A: 	ja 
B: 	ja 
B: 	en dan zijn het de onderste van die drie 
A: 	van die drie ja 
B: 	ja het zullen dezelfde plek zijn 
A: 	ja 
B: 	ja dit zijn dat dat koffiekopje met een een schap ervoor met twee poot en een bak erop 
A: 	dienblad 
B: 	ja 
A: 	ja 
A: 	nummer veertien 
B: 	hij staan in het kwadrant linksonder het veel onder en het veel rechts 
B: 	dat zijn het veel tegen 
A: 	tegen het midden aan 
B: 	ja 
A: 	de middellijn doorkruissen het blad 
B: 	ja 
B: 	ja 
A: 	ja dat zijn hetzelfde 
A: 	dienblad 
A: 	aan de bovenkant met twee poot met het bakblik erop 
B: 	ja 
B: 	dat zijn letter N 
A: 	staan bij mij rechts boven de het oor wat we net hebben 
A: 	zullen het kwadrant Linksboven zijn 
B: 	ja 
A: 	vrij in het midden van dat kwadrant 
B: 	ja 
B: 	bij mij ook 
B: 	de schap het dienblad voor het koffiekopje met een een schaalt erop 
A: 	wat wat voor dienblad ? sorry 
B: 	zijn met die poo eraan 
A: 	het Ronde 
B: 	en er staan zo'n schaalt op 
A: 	een een bakblik 
B: 	met dat bakblik wat jij zeggen ja 
A: 	ja 
A: 	dienblad bakblik 
B: 	ja 
A: 	nummer tien 
B: 	hij staan redelijk tegen de verticaal middellijn aan die zullen hem doorkruisen 
A: 	check 
B: 	en qua hoogte staan die net iets onder nee net iets boven de middellijn zo 
B: 	maar net iets onder het midden van dat vlak 
B: 	oké ik worden echt steeds onduidelijker 
A: 	de deze ja hij staan aardig in het midden 
B: 	oké je hebben het 
B: 	ja 
A: 	ja zo zien 
B: 	en dan iets boven de horizontaal middellijn 
A: 	nou ik vinden hem vrij hoog staan 
A: 	er zullen niet echt veel iets boven passen 
B: 	er staan bij mij iets boven 
A: 	nee dag nee 
A: 	koffiekopje met hoog dienblad met poo 
A: 	bakblik erop 
B: 	ja bakblik erop 
B: 	letter D 
A: 	kwadrant rechtsboven 
A: 	en daarin staan die wat veel aan de rechterkant er zullen nog een half plaat rechts passen 
A: 	en 
B: 	niks veel boven 
A: 	er vaststaan wel nog iets boven 
B: 	nee 
B: 	bij mij passen er ook niks veel boven 
