A: 	nu hebben ik een vierkant ik denken dat het een soort van bolletje zijn die hebben ik als neus zien met zo'n stok erdoorheen 
A: 	met zo'n pluk 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	ja bij mij zijn dat F 
A: 	oké 
A: 	en bij mij staan die rechts op het scherm midden rechts 
B: 	ja daar staan die bij mij ook 
A: 	oké 
B: 	denken ik tenminste 
A: 	niet helemaal een beetje 
B: 	klein 
B: 	heel klein beetje naar boven vanuit het midden zien 
B: 	nou ja misschien zijn dat ook wel gewoon in het midden en kunnen ik niet goed 
A: 	ik weten niet of het dezelfde plek zijn wachten even het zijn echt zeggen maar halverwege rechts 
A: 	als je de helft hebben en dan het zijn echt op drie vier rechts 
A: 	best wel precies ook best wel in het midden 
B: 	bij mij zijn het zeggen maar je hebben rechts en dan op drie vier van rechts dus op zeven acht van het totaal naar rechts het zijn het veel rechts plaat 
A: 	nee bij mij niet dan zitten die denken ik op een ander plek 
A: 	wat jij ook zeggen dat er bij mij zijn er ook een plaat dat ernaast staan dat iets Erboven zijn dus ik denken misschien niet 
B: 	nee dan misschien niet 
A: 	even kijken 
A: 	want hij staan echt wel 
B: 	jij bedoelen drie vier van het totaal 
A: 	drie vier van het totaal en dan echt wel midden midden precies 
B: 	bij mij zijn er echt een stuk van vijf centimeter vanaf de rand van het scherm 
A: 	ik denken bij mij veel 
A: 	dan doen maar niet 
B: 	oké we gaan voor rood 
B: 	het zijn die met die neus met die stok erdoorheen 
A: 	ja de neuspiercing 
B: 	ik noemen hem ook de neuspiercing 
A: 	zijn bij mij links hebben je ook zo'n slinger van vijf zijn het de boven 
B: 	je moeten eerst nog het ding zeggen toch 
A: 	sorry 
A: 	het zijn vijf 
A: 	ja 
A: 	en bij mij zijn het zeggen maar je hebben link ook een slinger van vijf 
A: 	en dat daar zijn het de bovenste van 
B: 	ja 
B: 	bij mij zijn het de twee 
A: 	oké dan zijn het niet hetzelfde 
A: 	ik hebben degeen met de piercing de neus met dat ding erdoorheen 
B: 	ja 
B: 	vinden A 
A: 	en je hebben die twee rij van drie en het zijn dan de twee rij van drie helemaal aan de rechterkant 
B: 	nee bij mij niet bij mij zitten die er nog één boven zeggen maar 
A: 	oké dan zijn het jij zijn 
B: 	het zijn die neuspiercing 
A: 	ja 
A: 	vijf 
B: 	je hebben zeggen maar aan de rechterkant 
B: 	hebben je er drie twee twee 
A: 	ja 
A: 	ja 
B: 	en dan zijn het die middel twee en daarvan de onder 
A: 	nee 
A: 	dit zijn niet helemaal niet helemaal aan de niet de rechterrij toch ? niet die rij van drie 
B: 	nee 
A: 	je bedoelen een verticaal rij van drie toch 
B: 	ja 
B: 	je hebben drie drie drie 
A: 	dan zijn het hem niet 
A: 	dit zijn degeen met de neuspiercing 
B: 	H 
A: 	ja 
B: 	bij mij zitten die onder in het midden vijf centimeter boven het BenQlogo 
A: 	ja 
A: 	ja 
B: 	van de computer 
A: 	ja best wel recht boven de Q zeggen maar 
B: 	ja 
A: 	ja 
B: 	dit zijn de neuspiercing 
A: 	ja 
A: 	dat zijn vijftien 
B: 	en hij zitten rechts 
A: 	net ietsje boven de middellijn 
B: 	ja 
B: 	en er zitten er nog vier rechts van als je gewoon een streep trekken 
A: 	bij mij vijf 
A: 	hoe ver boven de middellijn zitten die bij jou ? echt maar een heel bij mij kunnen die net zo goed op de middellijn zitten 
B: 	nee bij mij wel echt vijf flink centimeter 
A: 	nee dan niet 
B: 	deze hebben wij net omgedraaien 
A: 	ja 
