B: 	ah deze hebben ik kop met schotel noemen 
B: 	want het zo'n ja een schotel onder het kop eigenlijk 
A: 	met van die raar uitsteeksel aan de zijkant en die driehoekjes die zo op elkaar zitten 
B: 	ja 
B: 	die 
B: 	vierkant 
A: 	ja dat bedoelen ik sorry ja ja die vierkant waar die drie zo op elkaar zitten 
B: 	ja 
B: 	ja ja ja 
A: 	ja dat zijn nummer vijf 
B: 	en hij staan rechts maar niet helemaal rechts een beetje driekwart van het scherm 
B: 	en een beetje veel naar onder dan het midden 
A: 	nee bij mij staan die links en iets veel omhoog dan 
B: 	shit hij staan links sorry 
A: 	link 
B: 	link ja link 
A: 	ja 
B: 	en een beetje veel naar onder dan naar boven 
B: 	dan de dan het midden 
A: 	ik hebben hem juist iets hoog dan het midden 
B: 	oké dan zullen die wel anders zijn 
B: 	want hij zijn hij zijn wel duidelijk onder het midden bij mij 
A: 	nee bij mij zijn die wel echt 
B: 	dat zijn natuurlijk ook zullen we gewoon zo aanwijzen misschien 
A: 	ja 
A: 	deze zitten met die vierkan op elkaar stapelen zo de drie vierkant 
B: 	ja met een schotel 
A: 	ja precies op de voorkant 
B: 	ja oké 
B: 	J 
A: 	en die staan bij mij zo ver mogelijk rechts onderin als je maar kunnen komen 
B: 	oké bij mij zitten die onderin maar niet rechts dus anders 
B: 	staan er nog één rechts van 
A: 	oké 
B: 	dit zijn die een met die vier vierkant aan beide kant 
A: 	ja 
B: 	en schotel 
A: 	ja 
A: 	dat zijn elf 
B: 	hij staan op het midden en naar links 
A: 	heel ver naar links staat die 
B: 	in het midden van link 
A: 	oké bij mij staan die wel iets veel richting het midden dan links 
B: 	oké ja ik zullen zeggen iets veel naar links dan iets veel naar het midden 
A: 	nee bij mij staan die iets veel naar het midden dan naar links 
B: 	oké 
A: 	bij mij staan die wel echt gewoon als hier het midden zijn hierlangs 
B: 	ja 
B: 	ja oké 
B: 	ja best wel op het midden eigenlijk 
A: 	nee bij mij staan er maar echt wel drie op een rij 
A: 	en van die drie staan die zijn wel het veel rechts zijn echt staan maar zo'n stuk denken ik van het midden af 
B: 	oké nee dan dan zijn het anders 
A: 	dit zijn die met die driehoek weer die die vierkant bedoelen ik die vier driehoek 
B: 	ja 
B: 	P 
A: 	en dan staan die iets hoog dan het midden en iets veel naar rechts 
B: 	oké we hebben hem best wel iets best wel veel naar rechts en best wel veel hoog dan het midden 
A: 	nee bij mij staan die wel gewoon echt maar echt zo'n klein beetje 
B: 	oké 
B: 	het kop met die vierkan 
A: 	die zo erlangs 
B: 	ja 
A: 	ja 
A: 	dat zijn negen 
B: 	en die staan helemaal in het binnen helemaal in het midden en helemaal naar boven 
A: 	nee bij mij staan die als je hier het midden hebben zullen ik maar zeggen net zo 
B: 	nee dan staan die anders bij mij 
B: 	ja 
A: 	de vierkant op elkaar 
B: 	ja 
B: 	L 
B: 	dicht in het midden 
A: 	ja hij zijn naar boven van het midden een klein beetje 
A: 	en dan iets veel naar links dus hij zijn 
B: 	bij mij iets veel naar rechts 
A: 	hij zijn wel dichter bij het midden dan sorry ik bedoelen natuurlijk sorry hij zijn dichter bij het midden dan het midden van link 
A: 	wat ik bedoelen 
B: 	dichter bij het midden dan het midden van oké bij mij zijn die echt dicht bij het midden 
B: 	en naar rechts 
A: 	nee nee als die hem aan de rechterkant hij zitten bij mij zitten die link 
B: 	nee dus 
B: 	oké 
A: 	nee dat sowieso 
