B: 	nou zijn ik weer lol ok dit zijn zeggen maar het staan op een vierkantje staan dat bolle en 
B: 	ja er staan ook zeg maar op dat ja dat dat zeggen maar standaard bolletje zijn nog een rond voorop en achter zijn een soort van slinger 
A: 	ja 
A: 	ja ik weten wel welk je bedoelen dan vijf voor mij 
B: 	ja 
B: 	ok bij mij A dan en ja ja 
A: 	ok o dan moeten ik ja 
A: 	ok 
B: 	en hij staan bij mij een beetje link zeggen maar ja beetje ik denken op één vier of zo van de linkerkant en daaronder zitten een 
A: 	ja 
A: 	ja 
B: 	dinge best wel een beetje recht er onder link een beetje schuin zitten ook iets en link wat er boven zitten één en daarboven zitten er ook nog één 
A: 	ja 
A: 	nee dan staan hij niet op dezelfde plek 
B: 	ok 
A: 	ok dit zijn die een met dat plateau en die feestslinger 
B: 	o ja dat zijn J bij mij 
A: 	bij mij tien 
B: 	ok 
B: 	nou wel klikken 
A: 	ja 
A: 	bij mij zijn het de veel rechts in de hoek onderaan 
B: 	o nee dat zijn dan dat zijn niet op dezelfde plek want bij mij zitten er rechts nog één naast 
A: 	ok 
A: 	ok 
B: 	op dit zijn de pan met op het plateau met de slinger 
A: 	ja zijn elf bij mij 
B: 	ok bij mij D 
B: 	en hij staan denken ik op één vier van links en net onder het midden zeggen maar van 
B: 	horizontaal zeggen maar zo 
A: 	dus zeggen maar qua als je zeggen maar kijken naar verticaal staan hij links 
B: 	even kijken hoor wachten ja hij staan zeggen maar eén vier op één vier deel van het linker beeldscherm en dan zeggen maar een beetje in het midden 
A: 	maar van vanaf de zijkant of vanaf het midden 
B: 	vanaf de zijkant link linker zijkant 
A: 	dus je zullen het zeggen maar je zullen eerder zeggen links dan midden 
B: 	ja hij zitten er eigenlijk gewoon beetje tussenin ja 
A: 	ok bij mij zijn het best wel in het midden 
B: 	ok nee dan zijn het denken ik niet zelfde plek nee 
A: 	ok ok 
A: 	dit zijn die dat plateau met die slinger 
B: 	o die P 
A: 	zestien 
A: 	o jij moeten klikken 
A: 	hij staan best wel bovenaan de bovenste rij in ieder geval en 
A: 	een klein beetje naar rechts toe maar er staan daarnaast nog twee en aan de linkerkant zijn een ruimte en dan bijstaan er ook nog twee en dan zijn weer een ruimte 
B: 	o bij mij passen er rechts niet nog twee naast nee dus dan zijn hij 
A: 	ok bij mij echt makkelijk dus dat zijn niet dezelfde 
B: 	o ja nee 
B: 	o dit zijn weten het tafel met slinger zeggen maar 
A: 	o ja negen bij mij 
B: 	ok bij mij K 
B: 	hij zitten zeggen maar wel echt zo in het midden en dan eigenlijk helemaal bovenaan 
A: 	helemaal bovenaan 
B: 	ja er passen niks veel tussen 
A: 	o nee 
B: 	okan top 
A: 	dit zijn dat plateau met die slinger 
B: 	o daar L 
A: 	ja elf bij mij 
B: 	ok 
A: 	hij staan 
A: 	zeggen maar wel op de helft van links maar wel bij het midden in de buurt 
B: 	of aan de maar veel aan de linkerkant 
A: 	nee veel aan de midden kant 
B: 	maar niet zeggen maar van het midden veel naar rechts 
A: 	nee zeggen maar als je het scherm de linkerkant van het scherm hebben dan staan hij veel bij het midden dan helemaal links 
B: 	o nee dan zijn het echt want mijne gaan echt de rechterkant op 
A: 	o nee dan zijn het niet dezelfde 
B: 	nee 
B: 	ok 
