B: 	oké oeh deze zijn deze zijn echt moeilijk er zitten zeggen maar op boven op het basisvormpje zitten een een balk 
A: 	ja zijn die compact zeggen maar ? opsteken er niet veel uit 
B: 	nee er steken eigenlijk niks uit 
A: 	nee oké ja dan weten dan weten ik 
B: 	en er zitten een soort van schuifflapding aan de zijkant 
A: 	ja 
A: 	ik ik zien dat als een soort opveg 
B: 	ja opveg 
A: 	ja 
A: 	ja en en zo'n schuin 
B: 	ja 
A: 	zo'n ding naar beneden ja oké ja ja 
B: 	oké 
A: 	ik weten al 
A: 	acht 
B: 	hij zitten ongeveer in het midden wel misschien iets naar links 
A: 	ja 
B: 	en misschien ook iets naar boven 
A: 	ja dat hebben ik ook 
A: 	ja 
B: 	oké 
A: 	ik denken dat ze op dezelfde plek zitten dan ja 
A: 	ik hebben dat opveger 
A: 	of die stofzuiger achtig 
B: 	ja ja 
B: 	oké dat zijn E 
A: 	bij mij zitten die ook weer rond het midden maar dan rechts onder het midden 
B: 	hij zitten nee hij zitten bij mij echt boven 
A: 	oké 
B: 	wel rechts maar 
A: 	ja 
B: 	ik hebben de veger de stofzuiger 
A: 	ja 
A: 	ja 
A: 	dat zijn één 
B: 	en hij zitten helemaal bovenin 
B: 	en ook helemaal in het midden 
A: 	ja dat hebben ik ook 
B: 	ja 
A: 	ja 
B: 	oké 
A: 	ik hebben de stofzuiger 
B: 	oké 
B: 	daar 
B: 	dat zijn E 
A: 	hij zitten dus sowieso in het linkervlak links onderin 
B: 	ja 
A: 	en als je de middellijn hebben van boven naar beneden zitten die daaronder 
B: 	ja 
A: 	gewoon echt ja gewoon precies één daaronder 
A: 	en als je van links zullen er nog stuk of twee denken ik naast kunnen 
B: 	ik denken wel iets veel dan twee 
B: 	bij mij twee en een half denken ik 
A: 	nee ik hebben die Eiffeltoren er link naast dus die zijn best wel groot 
B: 	ja ik ook 
B: 	ja oké oké dat zijn misschien wel waar 
A: 	dus ik weten niet dan zitten ik ja 
A: 	ik zullen hem 
B: 	maar twee passen er sowieso wel naast denken ik 
A: 	ja 
A: 	ik zullen hem een drie en een half denken ik of vier misschien scoren op de schaal van nul tot tien 
B: 	ja 
A: 	zoiets 
B: 	ja dat denken ik ook 
A: 	ja 
B: 	nou ik denken drie en een half dan 
A: 	ja 
A: 	ja 
B: 	oké ik denken dezelfde plek 
A: 	zoiets 
A: 	ja 
B: 	ik hebben de stofzuiger 
A: 	ja 
A: 	ik hebben hem zestien 
B: 	hij zitten helemaal onderin 
B: 	en er toepassen er denken ik nog twee misschien iets weinig naast aan de rechterkant 
A: 	ja hebben ik ook maar je hebben die groot ernaast zitten nog steeds hè ? met die kegel 
B: 	ja die die kegel 
A: 	ja 
B: 	die zijn best groot 
A: 	ja 
A: 	ik ik ik denken dat die dezelfde plek hebben 
B: 	oké 
A: 	hebben we die net diezelfde plek met die armpjes 
B: 	ja 
A: 	bij mij zeggen maar dat een armp aan de linkerkant vanaf ons zien 
A: 	die raken echt precies als je een lijn naar beneden zullen trekken zullen die dat veger raken 
B: 	ja ja bij mij ook 
A: 	ongeveer ja oké 
A: 	ja 
A: 	staan hetzelfde 
A: 	ik hebben de veger 
B: 	ja 
B: 	oké dat zijn O 
A: 	en bij mij zitten die helemaal onderin 
A: 	ja er zullen een heel klein stuk onder nog kunnen maar links daarvan een half nog 
B: 	ja bij mij ook 
A: 	ja 
B: 	oké 
