A: 	ik hebben nu één die basisvorm met een bol hier of wachten even een bol hier voor jou en dan zitten aan de ander kant zitten zo'n paal naar beneden 
A: 	en daar zitten zo'n arm aan 
B: 	de paal zitten aan de voorkant van het ding 
A: 	ja aan de voorkant 
B: 	oké dan zijn dat nummer D 
B: 	en hij hebben ook nog twee armp 
A: 	ja 
B: 	oké ja dat zijn D 
A: 	van die 
A: 	ja 
A: 	en hij zitten link onderin 
A: 	nou zeggen maar sorry hij zitten zeggen maar van het midden een beetje naar links onderin 
B: 	ja dat denken ik ook 
B: 	echt heel klein beetje ja 
A: 	ja heel klein beetje 
A: 	en wel helemaal onderin 
B: 	ja 
A: 	oké 
A: 	ja ze veranderen 
A: 	nu weer 
A: 	oké 
B: 	dit zijn die met het ei erbovenop en dan de balk aan de voorkant 
A: 	ja vijftien 
B: 	en hij staan helemaal rechts onderin 
A: 	wachten heel even hebben jij ook een soort van vier in het midden en dan een soort van cirkel eromheen 
A: 	zeggen maar dat we wel dezelfde locatie hebben allemaal maar dat ze misschien wisselen zijn 
B: 	ja 
A: 	oké 
A: 	hij staan 
B: 	helemaal rechts onderin 
A: 	nee ik hebben er nog één rechts van dus dan staan hij niet op dezelfde plek 
A: 	dit zijn degeen met de armp en de balle bovenop en de stok aan de voorkant 
B: 	ja L 
A: 	en die zijn van die bovenste rij van die achten de middel twee zijn het de rechter 
B: 	oké 
B: 	ja daar hebben ik hem ook 
B: 	het zijn die met die stok aan de voorkant die verticaal paal 
A: 	ja 
B: 	en een balle erbovenop 
A: 	even kijken hoor 
A: 	ja 
A: 	nummer zes 
B: 	bij mij zijn het twee rij en dan de veel rechts 
A: 	nee 
A: 	deze zitten bij mij op de drie rij dus dat zijn hem niet 
A: 	dit zijn degeen met de paal aan de voorkant het balle erbovenop en de armpjes 
B: 	J 
B: 	die zitten naast die ik net bedoelen aan de linkerkant 
A: 	bij mij zitten die er die jij jij die jij bedoelen net daar zitten die bij mij linksonder 
B: 	ja bij mij ook 
A: 	beetje 
A: 	ja 
A: 	sorry dat kunnen helemaal niet 
B: 	het zijn die met die paal ervoor 
A: 	met die peil ervoor 
B: 	paal 
A: 	sorry ja 
B: 	sorry ik kunnen niet praten 
A: 	nee dat maken me niet uit ja drie 
B: 	en het zijn de veel rechts 
A: 	ja 
