A: 	oké deze hebben een een zeggen maar een soort van piramide aan de bovenkant staan 
A: 	aan de rechterkant ja steken een best wel groot hoekig voorwerp uit 
A: 	aan de linkerkant ja steken ook iets uit wat zeggen maar groot worden naarmate het ver weg zijn van het ding 
B: 	ja 
A: 	en aan de linkerkant onder zitten ook een soort van cirkelt eronder 
B: 	ja 
B: 	ik zien hem het zijn J 
A: 	oké 
A: 	ja en qua locatie zitten die aan de rechterkant van het scherm ongeveer in het midden 
B: 	ja 
A: 	en dan onderaan helemaal 
B: 	nee 
B: 	ja ja ja inderdaad helemaal wel onderaan rechtsmidid onderaan 
A: 	ja 
B: 	kloppen 
B: 	nee 
B: 	dit zijn weer de een met de piramide met het kop met de piramide erop 
B: 	en dan dat een verrekijkerachtig uitsteeksel uitsteekseltje link 
B: 	en nog een groot blok ervoor 
A: 	ja 
B: 	of iets wat ervoor door moeten gaan 
A: 	ja precies dat zijn zes voor mij 
B: 	oké 
B: 	en bij mij staan die in het midden van rechts 
B: 	net één rij boven de de laag geplaatsten 
A: 	ja oké dat zijn dezelfde locatie 
B: 	oké 
A: 	oké deze hebben de piramide aan de bovenkant 
A: 	rechts hebben die dat groot blok en link inderdaad hoe noemen je dat ? dat kijken 
B: 	ja 
B: 	ja dat verrekijker 
A: 	een verrekijker dat zijn het 
B: 	zijn E 
A: 	yes 
A: 	en hij staan een stuk rechts van het midden 
A: 	en en hoe heten het ? onder het midden zeggen maar 
B: 	onder het midden 
A: 	ja 
B: 	in het midden van rechts 
A: 	nee nee echt een stuk net stuk aan de rechterkant 
B: 	nee 
B: 	het zijn dus die een met de cilinder en de verrekijker 
A: 	even kijken waar staan die 
A: 	ja met de piramide zeggen maar 
B: 	ja piramide ja 
A: 	ja oké tien 
B: 	en bij mij staan die helemaal links onder 
A: 	helemaal links bij mij staan die veel in het midden van de linkerkant van het scherm 
B: 	maar wel helemaal onderaan 
A: 	ja wel helemaal onderaan 
B: 	en wel linksmidden helemaal onderaan 
B: 	ja dan zijn die eigenlijk wel goed ja 
A: 	ja dus aan de 
B: 	er zitten niks veel zijn niks veel tussen 
A: 	aan de onderkant of 
B: 	aan de aan de zijkant bedoelen ik 
A: 	aan de zijkant toepassen er bij mij zullen er bij mij nog twee kop tussen passen 
B: 	van 
B: 	oké nee dan zijn het niet nee 
A: 	oké dan kloppen het niet 
A: 	oké dit zijn weer de piramide erop 
B: 	piramide 
A: 	en de uitkijk verrekijker 
B: 	ja G 
A: 	yes 
A: 	en hij staan helemaal linksboven eigenlijk 
B: 	ja bij mij ook 
A: 	yes 
B: 	het zijn de de piramide en de en de verrekijker 
A: 	ja dat zijn tien 
B: 	bij mij staan die net iets onder het midden 
B: 	en aan de rechts van de van het midden van rechts 
A: 	yes 
