B: 	ja eigenlijk deze hebben zeggen maar twee van die uitsteeksel eigenlijk een beetje Pippi Langkousvlechten 
A: 	ja 
B: 	en dan een ronde ja plaat daarvoor 
B: 	en zeggen maar het vaststaan ook op een plaat 
B: 	en aan de achterkant staan zeggen maar nog twee bog 
A: 	ja ik zien hem 
A: 	en die Pippi Langkous die hebben dat zijn veel een beetje wat zijn dat ? van die diamant drie diamant aan de beide 
B: 	ja ja ja 
A: 	ja 
A: 	vijf 
B: 	en hij staan bij mij denken ja ongeveer vrij vrij link denken de twee drie rij link 
B: 	en dan ja vrij in het midden iets iets onder het midden zeggen maar 
A: 	iets onder het midden 
A: 	en de twee of de drie rij 
A: 	bij mij staan die de twee ongeveer 
B: 	ja het zitten een beetje tussen de twee en de drie in 
B: 	tenminste bij mij staan die in ieder geval staan er nog één die staan dan nog linkser 
A: 	ja 
B: 	en dan daarboven staan ding maar die staan dan weer een beetje in het midden tussen die twee 
A: 	oké 
A: 	omdat die welk wij hebben die zijn ook iets bred dan die ander of niet ? daardoor 
B: 	ja 
A: 	dan staan die denken ik wel gelijk 
A: 	ja ik denken het wel 
A: 	dit zijn Pippi Langkous 
B: 	ah ja 
B: 	J 
A: 	helemaal rechtsonder 
A: 	in de in het hoek 
B: 	nee dan zijn die hij zijn wel onder maar niet helemaal rechtsonder 
B: 	dit zijn die Pippi Langkous 
A: 	waar staan je ? ja daar 
A: 	elf 
B: 	en deze staan ja midden link link ja in in eigenlijk gewoon je hebben de linkerkant je hebben de rechterkant en hij staan gewoon in het midden van links dus twee rij van links 
A: 	en dan iets veel boven misschien of misschien omdat het schuin staan dat het lijken 
B: 	volgens mij wel in het midden 
A: 	in het midden oké 
A: 	kunnen zijn dat die een beetje schuin staan dat het dan een beetje optisch bedrog zijn maar ik denken dat die goed zijn 
B: 	ja 
A: 	veel boven bij mij 
B: 	ja 
A: 	Pippi Langkous 
B: 	ja 
B: 	P 
B: 	ah P van Pippi 
A: 	ja 
A: 	er zullen misschien nog net één of een klein stuk boven kunnen 
B: 	ja 
A: 	en hij staan van het midden iets veel naar rechts 
A: 	echt één als dit het midden zijn één kwartje naar rechts er zullen boven nog iets 
B: 	oké 
B: 	oké nee 
B: 	bij mij staan die echt wel rechts 
B: 	Pippi Langkous 
A: 	Pippi Langkous ja 
A: 	negen 
B: 	ja bij mij staan die in het midden en dan naar boven 
B: 	maar er zullen op zich nog één ding boven kunnen maar 
A: 	midden boven en dan iets veel naar links 
B: 	nee gewoon helemaal in het midden eigenlijk 
A: 	helemaal in het midden eigenlijk 
A: 	nee dan deze niet 
A: 	Pippi Langkous 
B: 	L 
A: 	in het midden één blok zeggen maar ongeveer naar links 
A: 	en ook qua hoogte één blok naar beneden 
B: 	nee 
