A: 	ok deze hebben best wel veel uitstekel aan de bovenkant een soort ovaal en ook een beetje aan de voorkant naar links toe dezelfde ovaal 
A: 	en dan aan de rechterkant aan de voorkant een soort van vierkant en dan boven dat ovaal aan de linkerkant zitten ook nog een gek uitsteeksel 
B: 	o ja ik ja ik weten denken ik wel welk je bedoelen dat zijn bij mij E 
A: 	ok bij mij elf 
B: 	ok 
A: 	bij mij staan hij best wel aan de rechterkant van het scherm er onder staan helemaal niks 
A: 	en ook in het midden hij staan in het midden onder helemaal niks en boven staan er nog één 
B: 	okan dan zijn het niet op dezelfde plek denken ik bij mij staan juist een beetje helemaal bovenaan 
A: 	ok 
A: 	ok nee dan nee 
B: 	dit zijn ja weer dat dinge met dat met dat ovaal dinge aan de bovenkant ovaal dinget zeggen maar aan de linkerkant en die 
B: 	blok aan de rechterkant en achter nog iets van een slurf of zo 
A: 	die waar we eigenlijk geen naam voor hebben 
B: 	ja 
A: 	okan ja bij mij zijn dat elf 
B: 	ok bij mij F 
A: 	ok 
B: 	en hij staan ja dit zijn ook weer zeg maar die vierkant in het midden beetje en dan linksboven en daar link daar weer Linksboven zitten ook nog wat 
A: 	ja bij mij ook 
A: 	zitten die neuspiercing 
B: 	ja dat zijn ja nee volgens mij o nee dat maken inderdaad niet uit nee 
A: 	ja dat maken maar dat maken ook niet uit 
A: 	maar hij zitten nu op hij zitten in ieder geval op dezelfde plek 
B: 	ja ja 
A: 	ja ok ja 
A: 	dit zijn weer die een met die twee ovaal uitsteeksel waar we volgens mij de enig waar we niet echt een omschrijving voor hebben en die ja 
B: 	o die met die vierkant ook ja dat zijn bij mij J 
A: 	ja 
A: 	bij mij drie 
B: 	ok 
B: 	ja het doen mij een beetje denken aan een miereneter van achteren of zo ja met vanwege die toet zo 
A: 	Miereneter 
A: 	o nou dan houden we het daar op 
B: 	ja 
B: 	waar staan hij bij jou 
A: 	hij staan moeilijk te omschrijven een beetje 
A: 	zeggen maar van boven en horizontaal en verticaal zien staan hij redelijk in het midden maar wel naar de rechter kant toe 
B: 	maar zijn hij zeggen maar ook zeggen maar op horizontaal niveau zeggen maar 
A: 	in het midden 
B: 	o dan nee dan staan mijne iets ver naar boven want die staan op één vier van boven denken ik 
A: 	o nee nee dan zijn het niet dezelfde 
B: 	ok 
B: 	dit zijn zeggen maar die bij mij op de miereneter zeggen maar op de van achter lijken 
A: 	ja 
A: 	even zoeken waar hij staan ja dat zijn negen bij mij 
B: 	ok bij mij H 
A: 	ok 
B: 	en hij zitten zeggen maar een beetje rechts een beetje in de hoek maar niet echt in de hoek maar er staan ver niks veel omheen maar er kunnen rechts nog iets ok 
A: 	nee 
A: 	dit zijn die miereneter 
B: 	even kijken waar die zijn o daar B 
B: 	h even kijken 
A: 	ja twee bij mij 
B: 	ok 
A: 	hij staan een beetje onder maar niet helemaal onder 
B: 	o maar niet op het midden of zo 
A: 	nee 
B: 	o bij mij wel redelijk in het midden ja 
A: 	ok nou dan zijn het niet dezelfde plek dus 
B: 	nee 
B: 	o dit zijn de miereneter van achter 
A: 	ja zijn vier bij mij 
B: 	ok bij mij E 
B: 	en hij zitten gewoon links bovenin de hoek 
A: 	ja bij mij ook maar als ze zullen willen zullen er zeggen maar nog wel één ver links in de hoek kunnen zetten 
B: 	ja kloppen bijvoorbeeld dat twitter dinge zullen er wel passen nog 
A: 	ja die zullen er wel passen 
B: 	ja ja 
A: 	okan ja zelfde plek dan 
