B: 	deze hebben twee van die blokkenstapel links en dan een vierkant ervoor 
A: 	ja en een soort van paddenstoel bovenop 
B: 	een beetje aan de 
B: 	yes 
A: 	ja dat zijn bij mij nummer twee 
B: 	en hij staan aan de linkerkant aan de midden in het midden van het linkerveld en dan vrij onderaan 
B: 	er passen niks veel onder 
A: 	past niks veel onder 
B: 	nee 
A: 	dan zijn het bij mij niet 
A: 	dit zijn die een weer met dat paddenstoel bovenop en dan dat heel groot vierkant aan de rechterkant erbij en die twee stapel aan de linkerkant 
B: 	die 
B: 	ja 
B: 	dat zijn G 
A: 	bij mij staan die echt ja nee niet op de middelijn als je het scherm laten maar zeggen in twee deellen zo staat die net iets link 
B: 	ja 
A: 	en net iets onder de middellijn denken ik 
B: 	ja ik hebben hem ook onder de middellijn 
A: 	ja 
B: 	ik hebben die een met het paddenstoel bovenop 
A: 	ja nummer en dat vierkant vlak 
B: 	ja 
A: 	ja nummer negen 
B: 	en hij staan net iets link van de middellijn en onder de middellijn 
A: 	past er nog één onder 
B: 	ja daar past er nog één onder 
A: 	ja staan die bij mij ook 
A: 	ik hebben die met het paddenstoel bovenop 
B: 	even kijken 
B: 	who ik kunnen hem niet daar zien 
B: 	dat zijn D 
A: 	bij mij staan die of op of net links van de middellijn 
B: 	ja 
A: 	en wel net Erboven 
B: 	ja dat hebben ik ook 
B: 	ik hebben die een met de twee stapel aan de linkerkant 
B: 	en dan een vlak aan de voorkant de paddenstoel dat zijn hoe de we hem noemen 
A: 	ja 
A: 	nummer één 
B: 	en hij staan net rechts van de middellijn 
B: 	en ik zullen ook zeggen op de middellijn als je naar boven onder kijken 
A: 	nee hebben ik niet 
A: 	ik hebben die een met die paddenstoel bovenop en dat vierkant vlak aan de rechterkant 
B: 	ja 
B: 	dat zijn B 
A: 	bij mij staan die rechts van de middellijn 
A: 	net er rechts van 
B: 	ja 
A: 	en dan er passen er geen veel onder denken ik 
B: 	ja hebben ik ook 
A: 	oké 
