A: 	oké 
B: 	oké ik hebben er één het hebben een soort van rood of een bolle aan de voorkant 
A: 	ja 
B: 	en één soort van kwastje die eruit opsteken en nog een recht 
A: 	en nog één rechthoekig 
B: 	ja en nog een soort van driehoek aan de ja 
A: 	ja ja dat zijn nummer veertien bij mij 
B: 	oké 
A: 	oké 
B: 	en hij staan bij mij als je het scherm weer door de helft doen net iets naar onder 
A: 	ja 
B: 	en net iets naar rechts 
A: 	ja bij mij ook en er staan er dan nog één net linksonder 
B: 	beetje link schuin zo eronder 
A: 	ja precies oké dat zullen dan dezelfde plek zijn 
B: 	ja 
B: 	oké zelfde plek 
A: 	oké 
A: 	en dan hebben we weer die neus aan de voorkant met inderdaad dat rechthoek en het kwast bovenop en dat driehoek aan de zijkant 
B: 	ja ja dat zijn de N bij mij 
A: 	en bij mij zitten die helemaal links en net iets boven de helft 
B: 	oké nee bij mij zitten die niet helemaal links 
A: 	oké 
B: 	dus dat zijn ander plek 
A: 	ander plek 
A: 	oké 
B: 	weer een het bolle aan de voorkant soort van 
B: 	en een soort van kwast erin en dan weer dat recht plaat 
A: 	ja 
A: 	rechthoekigje en 
B: 	ja 
A: 	ja oké 
B: 	en dat driehoek aan de zijkant yes 
A: 	nummer negen 
B: 	en bij mij staan die dit er staan niks veel link van dus helemaal links 
B: 	en hij staan net iets boven de helft 
A: 	oké nee bij mij staan die wel echt helemaal boven de helft 
B: 	oké 
A: 	nee ander plek 
B: 	Alright 
B: 	top 
A: 	deze zijn weer met die neus aan de voorkant en dan het het balk bovenop en het veer en het driehoek 
B: 	en het ja 
B: 	yes dat zijn G bij mij 
A: 	oké 
A: 	en hij staan net iets link uit het midden en net iets onder de helft 
B: 	ja net iets onder de helft of 
A: 	ja net iets 
A: 	echt wel tussen helft en half half zeggen maar hij staan echt wel precies tussen 
B: 	ja oké ja 
B: 	ja dan zijn het wel dezelfde plek denken ik 
A: 	oké 
B: 	denken het wel 
B: 	weer met die neus 
A: 	ja 
B: 	en dan dat rechthoek en de kwast 
A: 	top 
A: 	ja nummer vijf 
B: 	oké 
B: 	oké 
B: 	hij staan boven de helft maar nog net niet helft helft 
A: 	ja 
B: 	net niet helft helft rechts 
B: 	nog net iets veel link 
A: 	nog net iets veel link bij jou 
B: 	ja 
A: 	bij mij zijn die juist net iets veel rechts 
B: 	oké oké ander plek 
A: 	ja oké dus dan zijn het ander plek 
B: 	yes 
A: 	deze zijn weer met die neus en dan het veertjeachtig dinge 
B: 	ja en dan dat staaf en dat driehoek 
A: 	en dat staaf 
A: 	precies ja 
B: 	yes 
B: 	dat zijn J bij mij 
A: 	en die staan bijna op de helft van de helft rechts 
A: 	en dan ook bijna op de helft van de helft naar boven 
B: 	ja ja en bijna helft van de helft rechts maar dan net iets naar 
A: 	ja 
A: 	net iets naar links 
B: 	ja precies 
B: 	bij mij ook 
