A: 	oké 
A: 	ja ik vinden dit een kraan 
B: 	kraan 
A: 	ja 
B: 	beetje met twee van die ding op de voorkant of 
A: 	nee bovenop zien je een een een kantelen vierkant met van die ja echt van die kraan eraan en aan de onder onder alsof het een wasbak zijn 
B: 	hebben die zo'n voet 
B: 	zo'n 
A: 	ja hij hebben een één 
B: 	of die een wasbak zijn even 
A: 	hij hebben één arm 
B: 	wachten 
B: 	ja één die zo en dan één zo 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	M 
B: 	zijn het dan 
B: 	en waar staan die bij jou 
A: 	link 
B: 	link 
B: 	en dan een stuk van de kant af en dan een heel 
A: 	nee echt wel één als je het scherm in het midden zullen verdelen dan staan die weer in het midden van de linkerkant 
B: 	en dan iets veel naar boven toe of iets veel naar onder toe 
A: 	nou nou een klein stuk van de middellijn af 
B: 	nee nee dan staan die bij mij wel ergens ander 
B: 	even kijken deze hebben dat met wat jou aan wat jou aan een kraantje doen denken 
B: 	die met zo'n dinge 
A: 	ja 
A: 	ja en aan de zijkant en ja 
B: 	ja 
B: 	en aan de onderkant ja 
A: 	negen 
B: 	en die staan links onderin er zitten niks veel onder 
A: 	nee 
A: 	het kraan 
B: 	kraan kraan 
B: 	met dat dinge aan de onderkant 
A: 	ja 
B: 	ja 
B: 	H 
A: 	en hij staan links in het midden en hij worden wel zo omringen met door ander 
B: 	hoe 
A: 	ja aan de onderkant vooral 
A: 	hij hebben aan de bovenkant niks veel zitten 
B: 	nee 
B: 	jawel 
B: 	even denken 
B: 	ja dus in het midden van links en dan iets veel naar boven toe 
B: 	ja 
B: 	dit zijn dat kraan 
B: 	met dat dinge aan de onderkant en dat dinge aan de zijkant 
A: 	ja 
A: 	zijn elf 
B: 	dan zitten die links aan de linkerkant bovenaan er zitten er nog één naast 
A: 	ja 
A: 	het kraan 
B: 	d 
A: 	en hij zijn links 
A: 	hij kunnen niet ver naar onderen alleen link van hem zitten nog iets 
B: 	dus niet helemaal tegen de linker aan nee 
A: 	nee 
B: 	dat kraan 
A: 	ja veertien 
B: 	hij zitten helemaal links in het midden van het scherm 
B: 	zeggen maar als je zo de middellijn hebben in het midden helemaal aan de linkerkant 
A: 	nee nee nee 
