B: 	ja dit lijken eigenlijk een beetje een soort van op een hond die helemaal zo in de grond aan het eten zijn of zo die hebben een staart op het 
B: 	op het lijfje zitten met een rond dop en dan twee poot aan de zijkant en dan nog een vlak aan de zijkant 
A: 	oké wachten even hoor 
B: 	dus hij hebben op de bovenkant hebben die een soort van spijker of schroef lijken het wel 
A: 	je moeten hem zo links draaien 
B: 	ja ja 
A: 	dus hij hebben inderdaad twee poot maar en dan zo'n vierkant ding aan de zijkant 
B: 	twee poot 
B: 	ja 
B: 	ja 
A: 	ah ja oké 
A: 	dan zijn het twee 
B: 	en hij staan als je de computer opdeelen in vier vlak 
A: 	ja 
B: 	aan de linkerkant 
B: 	en dan helemaal onderin in het midden 
A: 	nee bij mij staan die helemaal links 
A: 	veel links wat er kunnen zijn 
B: 	oké 
B: 	nee 
A: 	dus hij staat niet op dezelfde plek 
A: 	dit zijn dat een hond maar dan kantelen 
B: 	ja 
B: 	dat zijn G 
A: 	als je het weer in die vier vlak verdeelen staan die in het linkeronder vak vlak en dan het dicht bij zullen ik maar zeggen 
A: 	de kruising van die twee lijn 
B: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn dat omgekeerde hond 
A: 	ah ja 
A: 	even kijken 
A: 	ah nummer negen 
B: 	en hij staan tegen deze middellijn aan 
B: 	en dan daar links daarvan 
A: 	oké 
B: 	en dan in het onderste vlak 
A: 	oké en er zitten er nog één onder 
B: 	ja er zitten er nog één onder 
A: 	oké dan staan die op dezelfde plek 
A: 	dit zijn dat kantelen hond 
B: 	oké 
B: 	dat zijn D 
A: 	en deze staat zitten dicht bij deze middellijn 
B: 	ja 
A: 	en dan ja eigenlijk zitten die best wel in het hoek dus van die kruising 
A: 	en wel in de ja Linksboven 
A: 	in het vak Linksboven 
B: 	ja ik twijfel of die bij mij 
A: 	want waar zitten die bij jou 
B: 	ja hij zitten ongeveer op deze middellijn 
B: 	en net iets boven deze middellijn 
A: 	ja bij mij ook 
B: 	oké 
A: 	dus in die in dat hoek eigenlijk 
B: 	ja 
B: 	ja 
B: 	dan zitten die op dezelfde plek 
B: 	dit zijn dat omgekeerde hond 
A: 	zijn nummer één 
B: 	en hij staat ongeveer op deze middellijn 
A: 	oké 
B: 	en dan net tegen deze middellijn aan 
B: 	maar veel naar de rechterkant 
A: 	oké 
A: 	ja 
A: 	en er zitten ongeveer nog twee figuurt naast in dat vlak 
B: 	in het rechtervlak bedoelen je 
A: 	ja rechtsboven 
B: 	ja de ja hij staan bij mij niet hij staan wel echt in het midden zeggen maar van zo 
B: 	dus hij staan op deze lijn 
B: 	en dan als je de middellijn hebben dan staan die daar precies tegenaan aan de voor jou dan even aan de rechterkant 
A: 	ja 
A: 	oké 
A: 	nee ik denken het niet want er staan er bij mij nog wel één naast voordat de middellijn beginnen 
A: 	althans deze middellijn 
B: 	oké 
A: 	dus dan denken ik niet 
B: 	nee 
A: 	dit zijn dat kantelen rond 
B: 	oké 
B: 	dat zijn B 
A: 	bij mij zitten die in het vlak rechtsonder 
A: 	en dan dicht bij deze middellijn 
B: 	ja 
B: 	even kijken of dat bij mij ook zo zijn ja ongeveer wel 
B: 	en dan zitten die nog ongeveer als je hem zo kijken 
B: 	dan zitten die in het midden van dat vlak 
A: 	van het nee hij zitten niet in het midden van dat vlak 
B: 	ongeveer ja 
B: 	wel iets ver naar onder maar 
A: 	ja hij zitten echt best wel vlak bij deze middellijn 
B: 	ja bij deze 
B: 	maar als je hem dan zeggen maar ook nog zo doen 
A: 	ja 
B: 	tot hier zeggen maar totdat tot de bodem 
A: 	ja 
B: 	dan zitten die ongeveer op de helft 
B: 	van dat vlak 
A: 	ja ik denken dat we dezelfde bedoelen 
B: 	iets ver naar onder 
A: 	want er passen in principe nog één figuurtje onder 
A: 	als je naar heel het scherm kijken 
B: 	ja 
B: 	ja ik weten niet of daar één onder past 
B: 	denken het net niet 
A: 	oké 
B: 	hetzelfde figuurt zullen er niet onder passen bij mij 
A: 	nee maar er staan in principe nog één figuurt net iets laag 
B: 	ja helemaal links 
A: 	ja 
A: 	dat zijn het enig die net iets laag staan 
B: 	oké 
A: 	dus dan zijn het denken ik wel dezelfde 
B: 	dan oké dan zullen die wel op dezelfde plek staan 
