A: 	ok het zijn gewoon een mok daar zijn niks aan veranderen alleen liggen er dan pilaar naast 
A: 	en een iets wat lijken op misschien een zonnepaneel of zo 
B: 	o bij 
A: 	snap 
A: 	zo'n grieks achtig pilaar zullen je het kunnen noemen 
B: 	ik a ja jij jij zien het zo ik hebben ik hebben dat als een soort zijwaarts peper en zout vat denken ik dus 
A: 	ok ok ok 
B: 	kunnen je daar iets bij voorstel of en dan aan de linkerkant zijn hij kort en aan de rechterkant zijn hij dan wat lang en dan inderdaad er achter zo'n soort paneel dat een beetje omhoog worden houden 
A: 	Jajajajajaja Jajaja 
A: 	Jajajaja 
A: 	ja precies 
A: 	jaja 
B: 	ok K 
A: 	nou bij mij staan hij in het links bovenste vak in het midden van dat vak 
B: 	ja er staan ook ver niks veel link boven of rechts van of ja 
A: 	ja 
A: 	nee kloppen 
B: 	ja dus dan staan hij op dezelfde plek 
B: 	ja dit jij hebben die als een grieks pilaar peper en zout vaatje zonnepaneel aan de achterkant 
A: 	ja ja jajaja ja weten ik al ja negen 
B: 	rechts bovenste vak in het midden 
A: 	ja bij mij ook 
A: 	ok dit zijn die een met die zout en peper slash pilaar 
A: 	weten je wel 
B: 	ja 
B: 	o ja F 
A: 	en hij zitten niet ja gewoon aan de linkerkant van het scherm als je het als je het scherm in twee vak zullen opdelen dan en in het middan van de links kant 
B: 	o nee ik zullen hem ik ik zullen mijn locatie omschrijven als het dicht bij het midden 
A: 	nee niet het dichts bij het midden nee 
B: 	nee ok dan zijn hij niet dezelfde 
B: 	peper en zout de balk zonnepaneel 
A: 	ja 
A: 	even zoeken drie 
B: 	link onderste vak in het midden het midden onderin 
A: 	bij mij zitten hij bij mij zitten hij links onder helemaal onderin maar ja zitten er bij jou nog iets link van 
B: 	ja 
A: 	nee bij mij niet ja bij mij hij zijn best wel ja hij zitten niet in het midden maar zeggen maar links onderste vak beneden van het midden 
B: 	ja maar er zitten nog wel iets link van 
A: 	ja bij mij niet ja ik weten niet of dat uit maken maar 
B: 	nee bij maar bij jou zijn hij dus de veel links 
A: 	bij mij zijn hij wel de veel links inderdaad 
B: 	nee nee dat zijn hij dus niet 
A: 	ok 
A: 	met die peper en zout slash lang rond balk grieks achtig balk 
B: 	ja met het zonnepaneel 
A: 	ja 
B: 	L 
B: 	en dan rechts onderste vak midden 
A: 	nee bij mij zitten hij rechts onderste vak link bovenin 
A: 	o wachten o 
A: 	nee laten maar ik zijn even in de war want bij mij staan dat rood vierkan maar jij zeggen iets o jij moeten op de knop drukken 
B: 	o dus niet op dezelfde plek 
A: 	nee 
B: 	grieks pilaar peper en zout met zonnepaneel 
A: 	even kijken 
B: 	o we hebben weer nieuw plaat inderdaad nieuw locatie 
A: 	o ik zien hem al wachten even hoor grieks pilaar 
B: 	of peper en zout met het zonnepaneel 
A: 	jajajaja weten ik ik zijn gewoon blind o ik zien hem al oen ik zijn echt overal aan het kijken behalve daar vijf 
B: 	ok 
A: 	en gewoon onderin in ongeveer in het midden toch ? of gewoon 
B: 	even kijken ja inderdaad midden onderin er zitten er rechts onder nog één ding van ja zelfde plek 
A: 	bij mij tenminste 
A: 	ja kloppen kloppen kloppen 
