A: 	oké 
B: 	oké dit lijken een beetje een soort poppe met vlechtjes aan de zijkant dus een soort raar ringachtig ding 
B: 	en dan een schijf op de voorkant 
A: 	ja 
B: 	en dan een plaat eronder 
B: 	dat zijn nogal kenmerken 
A: 	met nog twee uitsteeksel aan de achterkant 
B: 	ja 
A: 	ja 
B: 	twee tube soort van 
A: 	dat zijn nummer vijf 
B: 	en hij staan even kijken hoe ik dat uit gaan beeld als dit het scherm zijn eerst even zo proberen dan staan hij hier links 
B: 	dus best wel aan de linkerkant 
B: 	en direct link van hem zitten nog een plaat 
A: 	ja 
B: 	en boven hem passen echt nog drie of vier 
B: 	en onder hem passen net niet één plaat tot tot er weer een plaat komen die helemaal tegen de onderkant aan zitten 
A: 	dan staan die denken ik niet op dezelfde plek want bij mij passen er boven net één en daaronder denken ik nog wel twee of drie plaat 
B: 	oké 
A: 	dit plaat zijn die ja wat zeggen je nou met de vlech volgens mij 
B: 	ja 
A: 	met het bolle aan de voorkant die op een plateau staan met aan de achterkant nog twee uitsteekselt 
B: 	ja 
B: 	dat zijn J 
A: 	en hij staan bij mij helemaal rechtsonder in de hoek er zijn geen ruimte veel voor ander plaat daar 
B: 	helemaal in de hoek 
A: 	ja 
B: 	daar staan die bij mij niet 
B: 	meisje met de staart en plaat voorop 
A: 	vlecht 
B: 	vlechtjes dat zijn het 
A: 	ja 
A: 	elf 
B: 	en hij staan vanaf links passen er nog twee plaat 
B: 	ongeveer 
B: 	en vanaf onder oppassen ook twee plaat 
B: 	pretty much 
A: 	oké 
A: 	en hoe staan die te opzicht van het midden 
B: 	anderhalf naar links te opzicht van het midden 
A: 	oké 
A: 	dan staan die bij mij ver naar het midden dus niet op dezelfde plek 
A: 	dit zijn het die met de vlechtjes die op het plateau staan 
B: 	ah B P 
A: 	het rond aan de voorkant 
A: 	en hij staat bijna bovenaan er zullen nog één figuurtje boven passen 
A: 	en hij staan net iets rechts van het midden 
B: 	net iets of echt een kwart 
A: 	nee echt net iets 
B: 	oké dan zijn het hem niet 
B: 	meisje met de vlecht 
A: 	ja nummer negen 
B: 	en 
B: 	bijna helemaal bovenaan 
B: 	in het midden 
B: 	past nog een half plaat tot de bovenkant 
A: 	oké 
A: 	niet dezelfde plek 
A: 	en dit zijn het meisje met de vlecht 
B: 	L 
A: 	link van het midden ongeveer een plaat link van het midden en bijna helemaal bovenaan er passen nog één plaatje boven 
B: 	nope ander plek 
