B: 	een rood 
A: 	oké 
B: 	oké ik hebben er één die hebben een soort van een soort van snijvlak door hem heen 
A: 	door hem heen 
B: 	ja 
A: 	ja dat zijn er maar één 
B: 	ja 
A: 	dat zijn nummer zes 
B: 	oké 
B: 	en hij staan bij mij helemaal bovenaan 
A: 	ja bij mij ook 
B: 	en als je het midden hebben staan die er net wat rechts van 
A: 	net iets rechts van oké en hebben jij daar nog ander omheen staan 
B: 	ja 
B: 	ja ik hebben er er staan er één die staan rechtsonder een beetje schuin onder 
A: 	ja ja precies 
B: 	en één wat ver rechts maar ongeveer op dezelfde hoogte 
A: 	ja 
A: 	bij mij 
A: 	ja dus dan zijn ze staan die wel op dezelfde plek denken ik 
B: 	oké 
B: 	oké top 
A: 	deze hebben weer beetje dat dat plateau zo er dwars doorheen in ja net iets onder het midden en een soor glijbaan 
B: 	ja 
B: 	ja glijbaan 
A: 	hebben we ding echt hetzelfde benoemen 
B: 	ja precies supergoed 
A: 	dat vinden ik echt mooi 
B: 	oké dat zijn C bij mij 
A: 	cool 
A: 	en hij staan bij mij ja ongeveer in het midden midden van het midden rechts 
A: 	en helemaal bovenaan 
B: 	ja bij mij ook 
A: 	oké 
B: 	top 
B: 	het zijn weer die gesneden worden door zo'n vierkant 
A: 	ja met het glijbaan 
B: 	met een glijbaan 
A: 	nummer dertien 
B: 	en hij staan helemaal links bovenin 
A: 	nee bij mij staan die linksmidad 
B: 	in de hoek 
B: 	oké 
A: 	deze zijn weer dat vierkan die hem zo dwars doorsnijden met het glijbaan 
B: 	ja dwars doorheen 
B: 	yes dat zijn J bij mij 
A: 	en ja eigenlijk in het ongeveer in het midden helemaal onderin 
B: 	ja bij mij ook 
A: 	oké 
B: 	top 
A: 	ja 
B: 	weer die met dat vierkantje dat hem doorsnijden 
A: 	ja 
B: 	die erdoorheen gaan 
A: 	ja en het glijbaan nummer negen 
B: 	en de glijbaan 
B: 	yes 
B: 	en hij staan boven de helft als je hem zo kijken 
A: 	ja 
B: 	en bijna helemaal rechts even kijken wel rechts van de helft van de helft 
A: 	rechts van de helft van de ja precies 
B: 	ja 
A: 	maar niet helemaal rechts 
B: 	nou nee er staan nog één onder die zitten nog net iets veel rechts 
A: 	oké nee 
B: 	bij mij maar goed 
A: 	en hoe zitten die zo zeggen je 
B: 	als ja 
B: 	hij zitten laten we maar zeggen als je de helft van de helft hebben 
A: 	ja 
B: 	hij zitten tussen de helft van de helft en het einde van het scherm 
A: 	ja precies en zo 
B: 	boven de helft 
A: 	boven de helft 
B: 	ja net iets boven de helft 
A: 	dan zitten die sowieso op een ander plek 
B: 	oké 
B: 	oké 
A: 	deze zijn met het glijbaan en het plateau erdoorheen 
B: 	ja N bij mij 
A: 	oké 
A: 	hij zitten ja net rechts van het midden en net boven helft helft 
B: 	ja bij mij ook 
B: 	zitten er nog iets boven 
B: 	hij zijn helemaal bovenin 
A: 	nee 
A: 	ja 
B: 	ja ja zelfde plek 
