B: 	met de twee krulle aan de zijkant 
B: 	twee spiraalt naar de zijkant toe 
A: 	en dan staan die op een 
B: 	op op een dienblad 
A: 	ja 
A: 	dan zijn het nummer vijf 
B: 	hij staan als je het vlak in vier delen linksonder in het middel in het midden ongeveer 
B: 	vlak linksonder in het midden ongeveer 
B: 	nee iets misschien omhoog 
A: 	die van mij staan veel link naar boven 
A: 	dus dan staan die niet gelijk 
B: 	oké 
A: 	dit zijn wel die een op met dat tafel met die krulle langs de zijkant 
B: 	met die krulle ja dat zijn bij mij zijn dat J 
A: 	en hij staan helemaal rechtsonder 
B: 	nee bij mij staan die rechtsonder maar dan één naar links 
B: 	rood 
B: 	dit zijn op dat dienblad met die krulle naar de zijkant 
A: 	ja dat zijn nummer elf 
B: 	het plaat aan de voorkant 
B: 	staan als je horizontaal het middenvlak hebben en dan halverwege link 
A: 	nee dat zijn hem niet 
A: 	want daar staan bij mij net die ander 
B: 	oké 
A: 	die een op het vlak met die twee spiraalt 
B: 	ja dat zijn bij mij P 
A: 	als je die een hebben die ik net hebben dus in het midden één Linksboven 
B: 	ja 
A: 	en dan gaan je één naar rechtsboven 
B: 	nee bij mij staan die daar rechts nog langs 
B: 	dat zijn rood 
B: 	de kronkeloort cilindertjes 
A: 	ja dat zijn nummer negen 
B: 	in het midden boven 
B: 	helemaal 
A: 	nee 
A: 	de plaat met de spiraalt 
B: 	de plaat met de spiraalt ja dat zijn L 
A: 	die staan vanaf de middel één naar Linksboven 
B: 	dat dinge die wij als middelpunt definieren hebben zeggen maar 
A: 	ja 
B: 	ja dat zijn hem bij mij 
A: 	nee bij mij niet 
B: 	dan zijn het een ander 
