A: 	dit zijn een soort man en hij staan een beetje zo 
A: 	en hij hebben zo'n balk in het midden en een een bol op zijn kop 
B: 	ja ja ja 
B: 	ja ja ja dat zijn de de balkenknuffelaar hebben ik hem in mijn hoofd 
B: 	dat zijn bij mij d 
B: 	oké 
A: 	en hij staan precies eigenlijk spiegelen hoe de vorig staan dus helemaal verticaal naar beneden en dan één naar links 
B: 	ja 
B: 	ja daar staan die bij mij ook 
B: 	dan hebben we weer de balkenknuffelaar 
B: 	met het bolle achterop 
A: 	ja 
A: 	ja dat zijn nummer vijftien 
B: 	helemaal rechtsonder 
A: 	nee 
A: 	dit zijn de balkenknuffelaar 
B: 	de balkenknuffelaar 
B: 	dat zijn L 
A: 	die een die ik net hebben 
A: 	dus Linksboven en dan gaan je één naar rechtsonder 
B: 	en dan één rechtsonder 
A: 	en dan één naar boven nog 
B: 	ja 
B: 	ja dat zijn dezelfde 
B: 	dit zijn de balkenknuffelaar 
A: 	zijn nummer zes 
B: 	staan het horizontaal middel vlak en dan de veel rechts 
A: 	nee 
A: 	de balkenknuffelaar 
B: 	waar zijn je 
B: 	G 
A: 	als je die van jou hebben net 
A: 	dus de allerrechter en dan de boven 
A: 	en dan één naar linksonder 
B: 	ja zelfde 
B: 	de boom balkenknuffelaar 
A: 	dat zijn drie 
B: 	staan zijn het veel rechts 
B: 	ongeveer op de middellijn 
A: 	ja 
