A: 	ja het hebben zullen ik maar zeggen twee heel ongelijk vlaggenmast alsof je één lang paal en een kort 
B: 	en een 
A: 	en zo'n schuin dakje er of zo achter achter die 
B: 	schuin dakje aan de achterkant 
A: 	ja ja 
B: 	ja 
B: 	K 
A: 	en hij staan veel naar links 
B: 	bij mij staan die helemaal linksboven 
A: 	ja hij staan wel linksboven maar er zullen nog wel nog wel ander blok omheen kunnen staan het zijn dat daar vooral veel ruimte zijn over 
B: 	oké 
A: 	dus 
A: 	het zijn zullen ik maar zeggen al hij staan als je hem zullen verdubbelen kunnen er nog één boven en nog één link van zelfs 
A: 	zoveel ruimte zitten er nog 
B: 	oké maar dat zijn dat zullen krap zijn 
A: 	het zullen passen maar het zullen wel helemaal tegen elkaar aan zitten ja 
B: 	ja 
A: 	zo zo zien het er ongeveer 
B: 	oké dan denken ik ook dat ik hetzelfde hebben 
A: 	ja 
B: 	ja 
B: 	ja deze zijn met die twee handvaat waarvan er één kort zijn dan de ander 
A: 	de waar met dat schuin dakje wel dan nu 
B: 	en 
B: 	ja schuin dak 
A: 	oké dat zijn negen 
B: 	hij staan dicht bij de rechterkant 
B: 	en in het midden van de bovenste helft 
A: 	hoe bedoelen je 
B: 	dus als je het opdeelen in vier stuk 
B: 	dan staan die op de drie 
A: 	ja oké en dan in het midden van de rechterhelft 
A: 	bedoelen je 
B: 	nee hij staan best wel ver naar rechts eigenlijk 
A: 	bij mij staan die wel echt gewoon in het midden van de rechterhelft 
B: 	oké 
A: 	ik denken dat die dan 
B: 	dan dan zijn het anders 
A: 	weten ik niet 
B: 	oké 
A: 	dit dit zijn die een met die twee 
B: 	lang duren 
A: 	uitsteeksel met dat schuin dak waar die niet al twee even gelijk zijn 
B: 	ja F 
A: 	en dan staan die naar links van het midden 
A: 	en eigenlijk gewoon bijna op het midden gewoon ik denken dat het gewoon het midden zijn 
B: 	ja 
B: 	bij mij ook 
B: 	oké 
B: 	dit zijn die een met twee handvaat van ander lengte 
A: 	ja wachten even zoeken 
A: 	zijn ik nou blind of waar 
A: 	daar 
A: 	met dat een raar dakje er nog zo 
B: 	ja dat vierkantig 
A: 	ja 
A: 	nummer drie 
B: 	hij staan helemaal onderaan 
B: 	kunnen er eigenlijk geen veel onder 
B: 	en een beetje in het midden van link 
A: 	ja oké ja dat hebben ik ook wel 
A: 	ja er zijn nog een heel klein stuk onder maar ja net 
B: 	ja er kunnen niet echt iets bij 
A: 	nee 
A: 	dit zijn weer dat met die twee ongelijk staven met dat schuin dak 
B: 	ja 
B: 	L 
A: 	en dan staan die zeggen maar zo op het midden 
B: 	nee bij mij helemaal naar rechts al 
A: 	en dan zo staan die een klein beetje 
A: 	dan nee 
B: 	ja 
B: 	ander 
B: 	het twee handvat van de ander lengte 
A: 	ja met dat schuin dak zo 
B: 	ja 
A: 	nummer vijf 
B: 	en dan staan die in het midden maar een beetje naar onder 
A: 	ja dus in het midden van het midden dat er nog wel allebei ook nog één 
B: 	en 
A: 	bij mij passen er aan al twee de kant nog wel ik bedoelen aan de onder kunnen nog wel één onder eigenlijk 
B: 	ja 
B: 	aan de onderkant past nog één onder ja 
A: 	ja 
