A: 	oké ik noemen deze draaiemmer 
A: 	het zijn een het zijn die emmer voor met een ja staaf erdoorheen met twee rond knopje aan de zijkant 
B: 	ja dat zijn bij mij arm 
B: 	denken ik even kijken 
A: 	en dan ook nog zo'n zo'n paneel aan de achterkant 
B: 	ja ja ja K en bij jou 
A: 	tien 
B: 	tien K 
A: 	Linksboven in de hoek maar er kunnen er link nog één naast en boven ook nog één naast 
B: 	ja maar er de ja de het zullen kunnen in theorie ja dan staan ze op dezelfde plek 
A: 	oké 
B: 	dit dit deze dit zijn mijn armp 
B: 	dus die zeshoekig armpjes 
B: 	met die met dat gek ding 
A: 	met het met dat paneel erachter 
B: 	ja met dat paneel erachter 
A: 	oké ja 
A: 	welk zijn het 
B: 	B 
A: 	B negen 
B: 	en dan staan die bij mij rechts 
B: 	en dan kunnen er nog net één naast aan de zijkant 
A: 	vergelijken met Pinokkio zijn staan die net wat hoog 
B: 	ja 
A: 	echt een tik hoog 
A: 	oké ja zijn zelfde plek 
A: 	draaiemmer degeen de emmer met een staaf erdoorheen die jij arm noemen 
B: 	ja 
A: 	paneel op de achterkant 
B: 	F 
A: 	zeven 
B: 	F zeven 
A: 	net wat onder het midden 
A: 	linkerkant halverwege van het midden naar links 
B: 	en hoeveel zullen er nog naast kunnen 
A: 	twee 
B: 	er zullen nog max twee naast kunnen 
A: 	ja 
B: 	bij mij nog drie wel 
B: 	ja er zullen er nog wel drie naast kunnen hij staan bij mij bijna in het midden midden zeggen maar 
A: 	nee oké zijn niet hetzelfde 
B: 	oké 
B: 	dit zijn met die plat achterkant die ik armp noemen 
A: 	ja 
B: 	K 
A: 	K drie 
B: 	ze zijn weer wisselen ja en deze staan linksonder 
B: 	er zullen er nog misschien zelfs wel drie langs kunnen 
A: 	nee nee nee die 
B: 	helemaal onderin 
A: 	bij mij kunnen er bij mij kunnen er nog één link naast en niks veel onder 
B: 	ja dat zijn dus ja bij mij zijn dat A 
A: 	oké jou arm met dat paneel aan de achterkant 
B: 	even kijken 
A: 	veertien 
B: 	L veertien 
A: 	middel hoogte en één stap naar rechts 
A: 	dus dus als je dat driehoek hebben die je de vorig keer hebben links onder degeen die link bovenaan staan 
B: 	nee ja 
B: 	oké wachten even links nee nee nee dat zijn bij mij een ander 
A: 	oké 
B: 	niet dezelfde plek 
B: 	dit zijn mijn arm 
B: 	met die plaat 
A: 	ja 
B: 	ja M 
A: 	M vijf 
B: 	ja ja midden 
B: 	naar onder ja het zijn weer anders een oké midden en dan eigenlijk een stap naar onder en er zullen er nog één onder kunnen 
A: 	ja 
A: 	je hebben er daar twee staan en dan zijn het de linker 
B: 	ja je hebben er daar twee staan 
A: 	dan zijn het de linker 
B: 	de linker ja 
