B: 	ja nu zijn ik weer het zijn ja eigenlijk het zijn zeggen maar het zitten eigenlijk zitten er een plaat in het midden 
B: 	en eigenlijk lijken het een beetje op een glijbaan 
B: 	tenminste ik zullen het en dan zitten er ja het zijn dat kop dus met de plaat in het midden 
B: 	en boven staan eigenlijk twee punt 
A: 	even kijken hoor 
B: 	of twee streep eigenlijk 
A: 	ja en zitten er ook nog zeggen maar zo'n ding 
B: 	zullen een 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	zes 
B: 	en hij staan helemaal bovenaan bij mij 
B: 	en niet helemaal in het midden 
B: 	maar een beetje aan de rechterkant 
B: 	zeggen maar de drie rij lijn van rechts 
A: 	en echt helemaal bovenaan tegen het beeldscherm of zitten er nog wel een stuk 
B: 	nou ja niet tegen het beeldscherm maar wel de hoog lijn zeggen maar 
A: 	oehlen ja dan zullen die ik denken ongeveer wel gelijk dan zijn want hier zitten die ook zitten nog zeggen maar zo'n heel klein stuk zitten er dan nog boven 
B: 	ja 
A: 	dus ik gaan ervan uit gelijk en rechts zeggen je 
B: 	ja hij zijn de wel de hoog van allemaal 
A: 	ja hij zijn wel de hoog van allemaal en ja 
B: 	ja 
A: 	volgens mij omschrijven jij die als glijbaan 
B: 	ah ja 
B: 	C 
A: 	en hij staan zo goed als of helemaal boven of of ik denken niet dat er nog boven één bij past 
A: 	en dan ongeveer twee à drie van rechts 
B: 	ja 
B: 	dit zijn die glijbaan 
A: 	waar staan je ook alweer eens ? glijbaan glijbaan glijbaan waar staan je ook alweer eens 
A: 	waarom zien ik hem nou niet ? ja met die driehoek Erboven ja 
B: 	ja 
A: 	zes 
B: 	en bij mij staan die Linksboven 
A: 	helemaal boven 
B: 	ja 
A: 	de glijbaan 
B: 	glijbaan waar zijn je 
B: 	ah 
A: 	ons eigen taal ontwikkelen 
B: 	J 
A: 	zo goed als in het midden helemaal beneden 
B: 	ja 
B: 	dit zijn de glijbaan 
A: 	ja 
A: 	negen 
B: 	bij mij staan die rechts ja op zich zullen er nog één klein dinget rechts kunnen 
B: 	en dan ja boven midden boven 
A: 	midden boven rechts nee 
A: 	nee bij mij zullen echt niks veel naast kunnen 
A: 	nee staan echt praktisch tegenaan 
A: 	de glijbaan 
B: 	ah ja 
A: 	je weten nog welk het zijn 
B: 	ja 
A: 	oké 
B: 	N 
A: 	zo goed als boven er zullen boven echt misschien nog wel een heel klein stuk kunnen 
A: 	en dan iets veel naar rechts vanuit het midden 
B: 	ja ja 
A: 	oké 
