A: 	best veel 
A: 	oeh 
A: 	ja zo'n zo'n hu puntig hu 
A: 	op zijn kop 
A: 	een beetje open 
A: 	en dan driehoek zo op zijn kop 
B: 	dat zijn een driehoek op zijn kop 
A: 	ja 
B: 	en aan de zijkant aan de linkerkant zien je daar een beetje zo'n 
A: 	bij mij zijn het een driehoek 
A: 	een kogel zeggen maar 
B: 	ja een kogel 
B: 	ja 
B: 	J 
A: 	van mij zijn rechts beneden 
B: 	ja en dan in het midden of niet ? onderaan 
A: 	alleen 
A: 	zeggen maar midden 
A: 	gewoon heel zeldzaam aan het kamperen 
B: 	ja 
A: 	dus ja als je dit schermpje hebben dus dit gedeelte van mij en dan ja in feit in het midden 
B: 	ja 
B: 	ja hebben ik ook 
A: 	oké 
B: 	dit zijn die met die piramide boven op zijn kop 
A: 	en dan zo'n kogel aan de kant 
B: 	ja 
A: 	oké 
A: 	zes 
B: 	en hij staan even kijken 
B: 	ja je hebben je hebben weer als je als je het scherm in vier zullen delen 
A: 	ja 
B: 	zullen die voor jou zeggen maar hier staan 
A: 	en zijn het dan voorbij dat plaat dat jij net hebben 
A: 	dus waar jij het net hebben 
B: 	ja en maar dan wel een stuk naar boven 
A: 	naar boven 
A: 	oké ja van mij ook 
A: 	ja dat dat dat scherp driehoek en dan zo'n kogel aan de zijkant 
B: 	ja 
B: 	E 
A: 	ja het logo 
A: 	en dan de één object naar rechts 
A: 	zeggen maar 
B: 	nee hebben ik niet 
A: 	nee ? oké 
B: 	die met de driehoek bovenop en de kogel 
B: 	aan de zijkant 
A: 	nummer tien 
A: 	ja midden van het midden tussen die logo en de linkerkant 
B: 	ja 
A: 	dus die jij zeggen maar net wel hebben 
B: 	wachten er hebben jij ook twee plaat daar 
A: 	ja 
A: 	en dan de rechter 
B: 	bij mij zijn het de linker 
A: 	de linker 
A: 	dat dat kogel en dan dat driehoek zo 
A: 	die heel scherp driehoek 
A: 	van mij staan Linksboven maar 
B: 	ja bij mij ook 
A: 	dan zijn dat makkelijk 
B: 	die kogel en de driehoek bovenin 
A: 	jou beurt 
A: 	waar zijn je 
A: 	tien 
A: 	ja de twee zijn hij helemaal rechts van je scherm 
A: 	en dan hebben je waar we dat dat driehoek hebben bovenin 
B: 	ja 
A: 	als we we kunnen misschien zo'n drie driehoek vormen daar beneden 
B: 	ja dat zijn ook een driehoek en dan staan die bij mij linksonder 
A: 	ja 
A: 	van mij ook 
A: 	nee wachten 
A: 	maar dan in in het midden van het midden zeggen maar 
B: 	nee wachten je hebben dat ander driehoek 
B: 	zo 
A: 	want stellen stel je nemen dan 
B: 	nee je kunnen meerdere driehoek vormen daar 
A: 	daarom 
B: 	even kijken 
B: 	nee bij mij staan die 
A: 	welk hebben ik ik hebben een driehoek van zeggen maar dat dat World Trade Center wat je zeggen 
A: 	of die lang gebouw 
B: 	ja 
B: 	die staan helemaal rechts 
A: 	ja 
A: 	en dan links daarvan hebben je ook nog één 
B: 	ja bij mij zijn dat die links daarvan 
A: 	beneden 
A: 	die 
A: 	oké 
A: 	oké dan zijn dat mijn driehoek 
B: 	ja dan kloppen het ja 
