A: 	dit zijn diegene die hebben dat zijn gewoon dat dan hebben die aan de een zijkant komen een soort niervormig uitstulpsel uit en de ander kant hebben die een soort van plateau waarop ik een plant zullen zetten 
A: 	maar en dan bij dat uitstulpsel komen een soort aliending naartoe 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij L 
B: 	mooi omschrijving 
A: 	wel 
B: 	ja 
A: 	en hij staan op vijfenzeventig procent van het midden op link 
A: 	onder linksonder 
B: 	je bedoelen van beneden vijfenzeventig procent 
A: 	nee ik bedoelen dus als dit midden zijn vijftig en dan staan die ongeveer op de helft van naar links en dan onderin 
B: 	nee 
B: 	dat zijn hem 
B: 	dit zijn waar jij je plan op zullen voortzetten met 
A: 	ja 
A: 	mijn cactus 
A: 	dat zijn bij deze waar staan die 
B: 	je cactus 
A: 	nummer zeven 
B: 	naar het centrum centrum en dan een klein beetje naar links 
B: 	en dan nog wel een stuk omhoog 
A: 	klein beetje omhoog 
B: 	ja 
A: 	ja 
A: 	ja daar hebben ik hem ook wel 
A: 	mijn plantenbak 
A: 	die 
B: 	C 
A: 	en dan staan die centrum centrum en dan iets veel naar boven en een heel klein beetje veel naar rechts 
B: 	nee 
B: 	ik hebben jou plantenbak 
A: 	ja dat zijn nummer één 
B: 	ja sorry 
A: 	ja 
B: 	midden midden 
B: 	en dan helemaal naar de bijna linkerzijkant 
A: 	ja 
A: 	die met dat plantenplateau 
B: 	zijn A 
A: 	je zullen zullen ik zeggen midden midden en dan ongeveer op vijfenzeventig procent van links 
B: 	ja 
B: 	bij mij dat plantenbak 
A: 	nummer dertien 
B: 	en waar dus net dat potloodmanne zitten 
B: 	dan iets nog daarboven 
A: 	maar niet in het midden 
B: 	nee dus van dat potloodmanne dus nog iets naar een klein stuk naar rechts iets omhoog 
A: 	oké nee bij mij zitten die echt wel in het midden 
B: 	nee 
