A: 	alsof je kennen je die bankschroef waar waar je als als kind daar doen ik altijd mee spelen waar je hem ieder keer zo 
A: 	moeten je hem ieder keer zo aandraaien dat zitten aan de linkerkant met een plat rond plateau aan de rechterkant 
B: 	zitten aan de linkerkant met een rond plateau 
A: 	ja vag kunnen ik het niet maken 
A: 	er zitten een aan de linkerkant zitten er een pin 
A: 	er zitten een een een nietgeometrisch vorm met een pin 
A: 	en aan de ander kant zitten een rond plateautje 
B: 	ja ja L 
A: 	en die staan bij mij links in het midden van het midden van link 
B: 	nee bij mij staan die toch wel veel naar de kant van het scherm toe 
A: 	oké nee 
B: 	deze zijn die met dat rond plateau met die bankschroef 
A: 	ja even kijken waar die zijn 
A: 	ja zeven 
B: 	hij staan aan de linkerkant maar wel veel naar het midden toe dan naar het scherm en dan helemaal bovenin 
B: 	of ja er de veel bovenst 
A: 	ja de maar er zitten niks boven 
B: 	nee zitten niks 
A: 	nee dan hebben ik hem 
A: 	zijn die bankschroef weer 
B: 	C 
A: 	ja en ik vergeet ieder keer om te antwoorden en hij staan in het midden 
A: 	bovenin vaststaan nog iets maar rechts van hem zitten bijna niks 
A: 	maar hij staan wel in het midden 
B: 	en iets veel naar boven toe of iets veel naar onder toe 
A: 	nee iets naar boven 
B: 	nee nee bij mij niet 
B: 	die zijn met dat plateau die dat bank schroefding 
A: 	die bankschroef 
B: 	ja 
A: 	één 
B: 	hij staan links 
A: 	ja 
B: 	de veel links van allemaal 
A: 	maar bij mij zitten er echt wel nog wel één onder die 
B: 	en dan zitten eronder nog één 
B: 	ja 
B: 	nog één zitten eronder maar die deze zijn toch net iets veel link 
A: 	ja een klein ja 
B: 	ja klein stuk 
A: 	de bankschroef 
B: 	A 
A: 	en hij staan links en hij zijn wel een beetje home alone onderin zitten nog wel iets van hem maar hij zijn wel een beetje zielig 
B: 	in het midden 
A: 	ja 
B: 	ja 
B: 	dit zijn die bankschroef 
A: 	ja 
B: 	met dat dienblaad aan de zijkant 
A: 	dat zijn dertien 
A: 	en wachten jij moeten het zeggen waar die 
B: 	ja en hij zitten link 
B: 	een beetje in het in het midden naar onder toe en dan zitten er nog één schuin onder 
A: 	nee 
